249897-Gaudancio Fiees-8607.90
70579-Sidfnio Frois-14332.85
717077-Heleedsa Marins-18085.91
149099-Jussara Varanda-3940.40
594734-Filomena Barrios-5898.18
202725-Silvio Mata-2723.20
470758-Tibofarcio Camacho-20276.62
819034-Adelina Quadros-13369.29
609734-Ximena Castilho-15093.08
890517-Sidfnio Frois-2956.42
118699-Elisa Themes-19008.92
444697-Zulmira Becerra-14634.79
287433-Mercia Caeira-19271.96
458482-Manuel Capiperibe-3438.61
98590-Esperada Cardoso-1309.73
236732-Joaquim Rufino-5931.75
583218-Heleedsa Marins-6076.46
42561-Jussara Varanda-1439.81
948513-Telma Villalobos-15645.91
72610-Trajano Fagundes-6099.98
547747-Gaudancio Fiees-3246.33
812732-Delfina Perdigon-10530.78
362830-Esperada Cardoso-14193.65
537050-Honorina Lira-4663.40
234912-Zulmira Becerra-11454.39
266803-Nuno Balsemeo-7621.92
618755-Adelino Barra-6832.91
148956-Branco Saraba-19013.34
124163-Cassandra Varejo-4977.99
407954-Eurico Siqueira-21038.71
850199-Antonio Castelo-5819.35
184445-Dulce Froes-10877.48
513975-Sidfnio Frois-7596.27
555865-Cassandra Varejo-14061.64
459216-Fulvio Villegas-12739.16
335114-Angilica Galante-9526.99
902637-Tabalipa Duarte-7148.34
599838-Romo Paranage-4404.99
794807-Tarrataca Soares-14666.23
97280-Liana Cardim-10075.48
881420-Polibe Olivares-15063.98
814984-Quintiliano Sousa de Arronches-5690.99
342667-Anfnia Seixas-18066.13
235552-Filomena Barrios-7036.85
468472-Tabalipa Duarte-18991.44
656369-Feledcia Peassego-12289.96
35977-Heleedsa Marins-14338.98
706865-Micaela Chavez-9740.14
744299-Ximena Castilho-21408.09
64088-Emiliana Foquio-564.23
287900-Carminda Morais-17733.04
447128-Judite Damasceno-11736.36
354506-Antonio Castelo-14579.78
405567-Esperada Cardoso-18982.14
621009-Romo Paranage-8131.99
268450-Eurico Siqueira-14958.55
131043-Spnia ou Sonia Guerreiro-4134.07
827545-Odilia Bello-3966.31
23262-Basilio Pedroso-11993.75
842359-Feledcia Peassego-11719.55
725494-Esperada Cardoso-2707.60
522865-Odete Vasques-12252.07
418919-Carminda Morais-8280.78
443983-Odilia Bello-19864.83
153921-Guida Juca-18116.21
524303-Filomena Barrios-15774.05
406595-Branco Saraba-890.53
187082-Letedcia Gago-2088.80
498306-Urbano Rodrigues-2299.03
135075-Delfina Garcia de Gondim-16187.46
194668-Liana Cardim-10879.88
74858-Odete Vasques-1440.27
590629-Tarrataca Soares-15034.46
601000-Danilo Olaio-5304.06
341524-Daniel Vieyra-760.76
280673-Odilia Camello-20396.01
591167-Branco Saraba-12075.24
308985-Leonidas Mafra-11612.27
657342-Antonio Viegas-7272.42
896891-Celeste Duarte-20463.77
91719-Domingos Pas-8800.88
46078-Aludsio Sosa-11491.63
723450-Henrique Bento-18797.53
994691-Rebeca Neto-2348.71
749018-Romo Paranage-2602.12
640143-Eurico Siqueira-6214.93
452868-Trajano Fagundes-6670.84
318238-Elisa Themes-8103.93
63796-Regina Barcellos-14480.50
712806-Jorgina Bogalho-16319.47
623979-Guaraci Damasceno-3865.55
39161-Gaudancio Fiees-1301.18
964866-Delfim Higuera-20878.41
852716-Anind Zarco-6453.52
663048-Armindo Castalo-20841.01
33430-Flor Portella-17732.58
37222-Telma Villalobos-12902.27
564667-Celeste Duarte-7240.62
319201-Gaudancio Fiees-2836.42
831833-Marilda Leio-1988.71
