442403-Sara Lameiras-4490.25
462421-Micaela Chavez-17394.69
262328-Judite Damasceno-3436.75
394061-Neeamia Arruda-662.95
930710-Angelica Aranha-4012.05
637200-Sidfnio Frois-19444.07
403022-Tibofarcio Camacho-5739.75
276609-Manuel Capiperibe-19176.28
841955-Liana Cardim-20048.21
104103-Trajano Fagundes-14830.52
455963-Quintiliano Sousa de Arronches-9240.11
549647-Tarrataca Soares-14844.73
551764-Domingos Pas-17937.35
75570-Armindo Castalo-10066.46
178991-Camila Gabeira-3190.93
587249-Nuno Balsemeo-19747.30
172933-Zungela Ipiranga-8506.49
354424-Filomena Barrios-19059.26
978787-Sidfnio Frois-20807.68
913898-Eurico Siqueira-7653.88
746291-Zungela Ipiranga-11998.44
603468-Dulce Froes-2509.10
445657-Tibefarcio Colao-10594.62
479540-Artur Grillo-17015.38
291653-Zulmira Becerra-772.33
825424-Emiliana Foquio-4158.20
765794-Fulvio Villegas-11409.93
197645-Melinda Roserio-18953.48
257887-Spnia ou Sonia Guerreiro-13618.43
171823-Camila Gabeira-17617.57
137563-Lina Andrade-3480.19
630214-Jorgina Bogalho-18646.23
595846-Leonidas Mafra-16085.85
813138-Sofras Cuaresma-20710.64
192505-Almor Caiado-11708.72
664655-Nuno Balsemeo-14566.98
383142-Clara Alcantara-5779.80
750987-Gaudancio Fiees-12561.78
561151-Manuel Capiperibe-11139.52
655591-Oliveira Senchez-86.40
138409-Regina Barcellos-15707.77
981921-Andreia Moita-2819.24
735774-Estanislau Beserra-19215.20
468084-Artur Grillo-18408.49
738069-Filomena Barrios-10465.58
241072-Gaudancio Fiees-20052.23
80694-Flor Portella-2491.22
913516-Estanislau Beserra-9238.73
610314-Clara Alcantara-16404.35
149876-Rodolfo Paz-1846.07
478804-Jussara Varanda-16167.45
310684-Flamednia Leiria-6942.43
798041-Domingos Pas-19629.79
870180-Angilica Galante-399.63
522994-Tarrataca Soares-9217.01
564488-Quintino Alcantara-3904.59
303734-Antonio Viegas-10095.40
539230-Regina Barcellos-17724.53
952270-Almerinda Palmeira-2795.80
833444-Augusta Paio-402.46
354577-Ermelinda Quintela-6687.25
653232-Sidfnio Frois-3655.52
392328-Andreia Moita-9953.50
651358-Antonio Viegas-20192.20
792517-Sidfnio Frois-12132.59
975606-Romo Paranage-18958.24
414336-Danilo Olaio-12286.44
975498-Silvio Mata-19371.83
410079-Lurdes Cotrim-9826.52
795581-Melinda Roserio-16264.85
303949-Odete Vasques-17298.40
557238-Artur Grillo-7160.09
53723-Henrique Bento-10144.02
45528-Moaci Mendoa-2515.69
739-Quintiliano Sousa de Arronches-2683.62
173775-Delfina Perdigon-21113.38
805710-Mercia Caeira-13432.68
977236-Emedlia Silvera-3607.60
118223-Oliveira Carmona-876.87
838984-Anfnia Seixas-169.99
805748-Celeste Duarte-3333.02
13671-Moaci Mendoa-5058.60
773437-Estanislau Beserra-12289.13
883087-Clara Alcantara-1704.75
729153-Oliveira Carmona-16654.76
350983-Edgar Carvalheiro-1931.66
796712-Delfim Higuera-4389.72
402779-Odilia Bello-12649.49
224766-Guida Juca-1485.84
182240-Letedcia Gago-16644.23
141349-Neuza Francia-15577.45
456671-Micaela Chavez-4972.75
297789-Sofras Cuaresma-9960.48
540681-Sofras Cuaresma-19019.31
353055-Quintiliano Sousa de Arronches-9391.77
527430-Flor Portella-14685.28
555762-Odilia Camello-10908.41
368741-Silvio Mata-10347.60
941865-Oliveira Senchez-10899.85
685213-Zungela Ipiranga-916.83
