445165-Tibofarcio Camacho-2764.11
465582-Ermelinda Quintela-19625.68
743363-Guida Juca-20808.35
179785-Neeamia Arruda-18415.62
270057-Clara Alcantara-11457.86
237588-Emiliana Foquio-2663.99
954543-Cleusa Goes-10639.25
662662-Almor Caiado-4957.15
51902-Ermelinda Quintela-9291.61
677278-Artur Grillo-15367.52
959581-Emiliana Foquio-13887.13
422424-Lurdes Cotrim-20681.79
402262-Danilo Olaio-1684.39
624062-Cleusa Goes-8476.18
335131-Silvio Mata-10508.88
877605-Heleedsa Marins-4476.42
955240-Ermelinda Quintela-591.13
913816-Marilda Leio-2657.76
344820-Tibofarcio Camacho-19248.28
967957-Sidfnio Frois-8490.21
199523-Fulvio Villegas-16629.81
325658-Tarrataca Soares-1899.20
52071-Urbano Rodrigues-16063.22
612997-Tabalipa Duarte-18779.46
768073-Telma Villalobos-4017.98
192360-Rodolfo Paz-8486.75
532261-Mercia Caeira-1751.47
313650-Augusta Paio-7840.61
294013-Branco Saraba-15934.05
468557-Henrique Bento-11788.90
878441-Armanda Amorim-16860.89
34238-Honorina Lira-12439.31
368827-Almor Caiado-18149.83
658275-Camila Gabeira-11851.13
566016-Marilda Leio-11958.81
362106-Moaci Mendoa-8455.89
316839-Anfnia Seixas-4006.38
868406-Neeamia Arruda-9249.52
712173-Adelina Quadros-7667.62
900043-Tarrataca Soares-8552.31
109293-Judite Damasceno-5796.25
815858-Delfina Garcia de Gondim-13286.60
442161-Oliveira Carmona-8755.45
390464-Basilio Pedroso-15362.03
317534-Sidfnio Frois-20107.69
42150-Armanda Amorim-12026.48
441916-Jorgina Bogalho-17069.64
988426-Urbano Rodrigues-14353.49
595495-Jorgina Bogalho-6535.78
640647-Moaci Mendoa-12864.78
575489-Daniel Vieyra-20355.87
599543-Nuno Balsemeo-2689.19
71171-Gaudancio Fiees-4713.61
558797-Gaudancio Fiees-21017.52
642714-Artur Grillo-5955.86
123698-Feledcia Peassego-6496.28
710463-Angilica Galante-9650.70
935268-Rebeca Neto-17170.58
111765-Delfina Perdigon-15421.70
50318-Nuno Balsemeo-20338.11
735836-Letedcia Gago-759.03
563113-Adelino Barra-16495.02
533683-Liana Cardim-15560.90
81782-Rodolfo Paz-16106.48
832980-Ermelinda Quintela-8508.08
353295-Flor Portella-4724.48
553888-Carminda Morais-13211.58
718895-Neuza Francia-16500.93
749426-Basilio Pedroso-2367.21
357656-Antonio Castelo-21427.72
959978-Urbano Rodrigues-17810.24
665687-Oliveira Senchez-18785.87
290641-Quintino Alcantara-16166.37
277000-Delfim Higuera-18707.19
531581-Trajano Fagundes-20295.52
371918-Leonidas Mafra-19564.21
356514-Esperada Cardoso-7064.92
410933-Emedlia Silvera-21342.11
39953-Guida Juca-12324.76
355421-Edgar Carvalheiro-8023.50
481633-Aludsio Sosa-21303.10
26781-Tarrataca Soares-8094.92
74056-Antonio Viegas-14037.83
727335-Armindo Castalo-895.76
545414-Ximena Castilho-11161.08
687359-Delfim Higuera-7839.96
760518-Gaudancio Fiees-18903.53
508056-Antonio Castelo-11052.80
865243-Jussara Varanda-1458.36
943844-Jussara Varanda-5541.92
310528-Silvio Mata-691.90
217484-Aludsio Sosa-9142.17
711473-Augusta Paio-4438.07
875236-Danilo Olaio-2140.51
757849-Nuno Balsemeo-18355.96
708646-Edgar Carvalheiro-18642.83
597274-Lurdes Cotrim-7725.60
493972-Cleusa Goes-20290.68
601283-Tibefarcio Colao-8414.50
701339-Elisa Themes-17413.94
