368139-Tibefarcio Colao-16334.75
967490-Spnia ou Sonia Guerreiro-2774.22
946769-Emiliana Foquio-1202.65
778483-Artur Grillo-10414.25
554054-Silvio Mata-4400.03
279419-Odilia Camello-1188.95
122936-Artur Grillo-16996.08
36035-Oliveira Senchez-10125.16
412357-Danilo Olaio-19189.07
867284-Oliveira Senchez-4637.29
823944-Rodolfo Paz-12250.97
804836-Antonio Viegas-19030.65
768323-Ximena Castilho-21090.12
767609-Clara Alcantara-9753.06
362375-Delfim Higuera-13108.60
906914-Angilica Galante-11496.56
90987-Branco Saraba-8422.95
571953-Augusta Paio-7378.48
867128-Antonio Viegas-6737.76
383406-Delfina Perdigon-13046.44
10733-Tabalipa Duarte-18784.68
113115-Tarrataca Soares-3747.89
637225-Liana Cardim-400.74
426822-Micaela Chavez-17808.41
157796-Odilia Camello-2117.20
891975-Aludsio Sosa-6716.27
521282-Odete Vasques-13477.18
274952-Quintiliano Sousa de Arronches-17642.90
544367-Eurico Siqueira-15226.73
753129-Eurico Siqueira-11335.73
174558-Edgar Carvalheiro-15065.84
209498-Melinda Roserio-21276.97
825439-Cassandra Varejo-11268.50
969151-Esperada Cardoso-7717.94
419116-Dulce Froes-21039.51
245741-Esperada Cardoso-12683.60
728445-Sidfnio Frois-5313.97
22868-Dulce Froes-15926.72
165045-Antonio Viegas-11697.33
600037-Guaraci Damasceno-11814.86
678777-Micaela Chavez-20916.61
741561-Honorina Lira-8303.87
593226-Armindo Castalo-14482.12
518446-Zulmira Becerra-17591.81
801184-Edgar Carvalheiro-5911.17
803815-Trajano Fagundes-14023.62
949605-Emedlio Pimentel-10476.07
813189-Sidfnio Frois-3691.46
482872-Zulmira Becerra-1048.28
825782-Taercio Mafra-9284.28
258029-Guida Juca-19971.07
790347-Adelina Quadros-8943.64
535850-Flor Portella-1424.74
131763-Estanislau Beserra-19289.93
37614-Henrique Bento-15923.10
411198-Judite Damasceno-14916.30
144491-Almor Caiado-1510.96
791479-Odilia Bello-10659.09
110763-Esperada Cardoso-17053.92
679414-Taercio Mafra-14447.34
734208-Delfim Higuera-14175.09
966056-Celeste Duarte-9828.16
100808-Taercio Mafra-1208.68
447553-Micaela Chavez-21059.99
491792-Odilia Bello-12675.53
168995-Guaraci Damasceno-18569.65
208549-Delfina Garcia de Gondim-8476.25
371605-Zulmira Becerra-9184.17
164677-Tibefarcio Colao-15145.28
301868-Celeste Duarte-16582.07
383214-Regina Barcellos-3834.58
571141-Tarrataca Soares-19294.24
123562-Heleedsa Marins-6840.41
666408-Cleusa Goes-2430.05
718125-Armindo Castalo-2180.13
79898-Joaquim Rufino-12001.82
588245-Emiliana Foquio-2969.07
192773-Flamednia Leiria-7032.78
223023-Neuza Francia-6409.59
645516-Jussara Varanda-2147.78
318737-Judite Damasceno-3531.61
17069-Anfnia Seixas-9057.32
530859-Odilia Camello-6193.72
912308-Feledcia Peassego-17840.38
809532-Judite Damasceno-20337.56
776497-Artur Grillo-8133.53
224401-Cleusa Goes-17619.41
297735-Esperada Cardoso-7356.50
787978-Romo Paranage-9478.73
322247-Gaudancio Fiees-19565.19
579954-Polibe Olivares-9113.54
811661-Ubaldo Mainha-13773.71
467070-Delfina Perdigon-424.18
163343-Clarindo Areosa-13223.30
864385-Filomena Barrios-8806.56
94691-Armanda Amorim-21324.33
506906-Oliveira Senchez-4921.73
825930-Augusta Paio-11024.71
939720-Delfim Higuera-5867.75
12955-Angilica Galante-4596.14
