320367-Emedlio Pimentel-6783.74
575393-Lurdes Cotrim-11136.76
582135-Neuza Francia-930.12
447756-Clarindo Areosa-13952.93
69972-Basilio Pedroso-15767.66
399495-Ermelinda Quintela-7115.01
974128-Cassandra Varejo-5415.03
291336-Telma Villalobos-20795.79
211745-Delfim Higuera-9757.98
346445-Clarindo Areosa-7552.27
631093-Letedcia Gago-14165.48
474730-Delfina Perdigon-20991.23
60343-Leonidas Mafra-672.21
521063-Delfim Higuera-16146.69
642987-Quintino Alcantara-5252.56
637403-Lurdes Cotrim-3971.71
556692-Armindo Castalo-7631.46
677512-Antonio Castelo-6299.53
256155-Andreia Moita-21401.65
19782-Melinda Roserio-4850.28
173057-Estanislau Beserra-7926.59
700766-Leonidas Mafra-3486.50
904196-Armindo Castalo-9897.10
119854-Polibe Olivares-11942.31
145181-Antonio Castelo-19588.74
452511-Trajano Fagundes-9490.28
260372-Jonatas Felgueiras-12825.85
570985-Jonatas Felgueiras-9747.79
493448-Joaquim Rufino-9770.35
213805-Taercio Mafra-5425.71
161370-Romo Paranage-11567.44
656509-Zungela Ipiranga-13504.45
307319-Lina Andrade-898.65
179584-Ermelinda Quintela-17629.85
721060-Adelina Quadros-13226.47
34423-Mercia Caeira-3456.16
519169-Quintino Alcantara-16908.76
149425-Adelino Barra-16049.63
249233-Edgar Carvalheiro-199.73
30338-Flor Portella-591.87
839184-Moaci Mendoa-3303.48
306866-Almerinda Palmeira-1025.21
424466-Silvio Mata-14748.28
768678-Polibe Olivares-2195.24
344215-Zungela Ipiranga-987.62
826768-Elisa Themes-16377.96
821035-Tibefarcio Colao-9388.32
432765-Ermelinda Quintela-9124.97
306766-Romo Paranage-412.63
248250-Edgar Carvalheiro-4652.93
244295-Andreia Moita-5221.33
500661-Silvio Mata-10044.39
718115-Spnia ou Sonia Guerreiro-1133.80
800853-Daniel Vieyra-9861.49
868729-Oliveira Senchez-5220.10
99628-Adelina Quadros-6798.36
946061-Guaraci Damasceno-2611.74
701106-Carminda Morais-5486.06
903043-Polibe Olivares-3694.30
594377-Odilia Bello-7006.78
472561-Aludsio Sosa-20849.22
698966-Henrique Bento-13839.39
446453-Augusta Paio-20956.57
538692-Leonidas Mafra-149.74
155269-Cassandra Varejo-11998.43
533596-Zungela Ipiranga-5304.59
708097-Melinda Roserio-4999.22
746996-Ubaldo Mainha-6516.23
767015-Urbano Rodrigues-4430.42
566443-Ubaldo Mainha-20416.37
142915-Filomena Barrios-12116.25
368319-Adelino Barra-4308.41
549522-Polibe Olivares-19492.87
594637-Almor Caiado-7993.42
305047-Lina Andrade-14954.97
541319-Urbano Rodrigues-19890.31
97518-Zulmira Becerra-17702.55
343735-Judite Damasceno-17780.02
196382-Andreia Moita-7772.86
478578-Sofras Cuaresma-9568.52
438573-Rebeca Neto-6345.12
353367-Estanislau Beserra-3323.96
207269-Aludsio Sosa-10549.46
234745-Lurdes Cotrim-7680.57
236648-Eurico Siqueira-4578.78
81708-Basilio Pedroso-6464.19
902257-Eurico Siqueira-20135.17
644355-Anfnia Seixas-5253.77
525462-Urbano Rodrigues-10255.73
932267-Oliveira Senchez-17360.52
8205-Clara Alcantara-12100.07
709484-Tibefarcio Colao-15323.60
251423-Edgar Carvalheiro-19395.68
596827-Lurdes Cotrim-2323.19
800740-Feledcia Peassego-7205.55
502081-Tabalipa Duarte-3091.53
750797-Angelica Aranha-16760.56
771337-Liana Cardim-10262.16
310698-Gaudancio Fiees-11587.42
135895-Liana Cardim-3691.90
