988459-Letedcia Gago-14580.80
152105-Delfina Garcia de Gondim-7235.93
202576-Zungela Ipiranga-6036.13
74056-Tibofarcio Camacho-5566.21
582887-Esperada Cardoso-10819.47
899047-Delfina Perdigon-21376.74
36785-Trajano Fagundes-10308.08
496288-Danilo Olaio-5690.07
280308-Marilda Leio-2729.96
945610-Quintiliano Sousa de Arronches-21203.20
118919-Clarindo Areosa-21158.25
407476-Gaudancio Fiees-12004.93
536157-Emiliana Foquio-9282.12
737156-Rodolfo Paz-17872.86
885999-Quintiliano Sousa de Arronches-14313.85
265137-Ubaldo Mainha-19242.84
20766-Jonatas Felgueiras-13068.37
195459-Celeste Duarte-4208.50
608737-Anfnia Seixas-18761.30
928152-Anind Zarco-9485.92
410030-Branco Saraba-10177.11
488805-Edgar Carvalheiro-19301.19
676704-Delfina Garcia de Gondim-19336.55
961438-Regina Barcellos-7209.08
383471-Carminda Morais-15787.94
752748-Letedcia Gago-3845.76
828495-Elisa Themes-13905.97
712004-Urbano Rodrigues-13433.08
602425-Cassandra Varejo-4414.33
488935-Judite Damasceno-14873.62
211443-Liana Cardim-10452.88
274760-Feledcia Peassego-5732.93
347345-Delfim Higuera-7949.70
631773-Oliveira Carmona-1664.48
718453-Cassandra Varejo-13918.31
706624-Almor Caiado-12581.00
495333-Jorgina Bogalho-19029.29
121366-Mercia Caeira-621.57
597363-Camila Gabeira-5997.59
236335-Odilia Camello-16412.48
951190-Liana Cardim-10119.76
893549-Judite Damasceno-8277.67
987242-Adelino Barra-1416.31
735722-Esperada Cardoso-20292.63
392496-Zulmira Becerra-18354.98
359916-Angelica Aranha-9917.21
903119-Lurdes Cotrim-14222.16
559225-Celeste Duarte-1388.54
40044-Leonidas Mafra-18574.51
437962-Quintino Alcantara-20116.87
230187-Fulvio Villegas-15501.55
310398-Odilia Bello-14905.65
683752-Ximena Castilho-16155.52
26953-Gaudancio Fiees-17112.88
334143-Adelino Barra-3511.97
472441-Rebeca Neto-12615.56
227299-Flamednia Leiria-5319.76
427213-Oliveira Carmona-17005.35
267834-Carminda Morais-18155.75
384292-Adelina Quadros-13185.29
265522-Clarindo Areosa-16967.60
639319-Urbano Rodrigues-18480.70
264091-Marilda Leio-1982.70
36240-Joaquim Rufino-18372.97
587539-Ermelinda Quintela-4891.48
636440-Telma Villalobos-18406.20
922271-Manuel Capiperibe-7073.64
940367-Armanda Amorim-11397.91
295741-Andreia Moita-10525.75
134812-Lurdes Cotrim-10454.76
177565-Jonatas Felgueiras-6122.58
375188-Heleedsa Marins-7648.97
653936-Ubaldo Mainha-1836.77
484699-Guaraci Damasceno-11577.14
635903-Filomena Barrios-14213.01
983692-Domingos Pas-6624.54
887982-Camila Gabeira-20203.76
768245-Odete Vasques-4748.33
216409-Leonidas Mafra-4596.45
239814-Feledcia Peassego-16847.80
792775-Gaudancio Fiees-18669.57
138183-Nuno Balsemeo-4088.49
553733-Esperada Cardoso-9485.03
755880-Zulmira Becerra-8065.04
255227-Ximena Castilho-16941.40
418621-Emedlio Pimentel-18151.24
202152-Zulmira Becerra-2835.28
865822-Delfina Garcia de Gondim-19262.96
320494-Henrique Bento-20015.12
866704-Ermelinda Quintela-1772.69
888746-Tarrataca Soares-20670.62
684844-Domingos Pas-7777.16
377967-Liana Cardim-3047.86
232205-Spnia ou Sonia Guerreiro-8465.42
832855-Odete Vasques-20927.97
734752-Guida Juca-2377.32
607040-Angilica Galante-14169.34
855638-Marilda Leio-20428.00
453618-Delfina Garcia de Gondim-11076.37
696721-Angilica Galante-18115.04
