126270-Taercio Mafra-6586.81
149939-Letedcia Gago-7359.24
383361-Tabalipa Duarte-11230.50
486448-Ubaldo Mainha-18161.78
82283-Antonio Viegas-5469.18
153030-Fulvio Villegas-11932.84
677720-Armindo Castalo-5939.38
795848-Ermelinda Quintela-14546.94
802813-Melinda Roserio-14207.41
254161-Melinda Roserio-8191.52
945094-Angilica Galante-3117.94
571388-Augusta Paio-284.61
660845-Joaquim Rufino-7808.44
653334-Sofras Cuaresma-17863.30
919081-Delfim Higuera-16089.29
870243-Delfina Perdigon-13415.98
623040-Basilio Pedroso-15042.76
909454-Manuel Capiperibe-17300.72
373391-Moaci Mendoa-4743.91
25655-Marilda Leio-7646.45
756971-Rodolfo Paz-9655.90
169731-Tibofarcio Camacho-13081.62
506546-Artur Grillo-11023.39
410250-Elisa Themes-10085.09
8488-Eurico Siqueira-4139.44
524367-Delfina Perdigon-12978.14
323797-Silvio Mata-15394.37
577965-Flamednia Leiria-20393.47
42079-Armindo Castalo-12332.37
247546-Urbano Rodrigues-9387.79
604709-Clara Alcantara-21195.36
272542-Spnia ou Sonia Guerreiro-11392.22
400985-Zulmira Becerra-8812.45
373399-Guaraci Damasceno-3211.71
192585-Quintiliano Sousa de Arronches-12751.80
940825-Almerinda Palmeira-21427.04
803854-Basilio Pedroso-19695.44
459392-Emedlia Silvera-13496.39
703287-Zulmira Becerra-17376.80
338352-Augusta Paio-2594.44
618748-Jonatas Felgueiras-20290.49
5922-Regina Barcellos-9158.38
71262-Henrique Bento-12432.39
959260-Clarindo Areosa-16446.12
388660-Emedlia Silvera-17588.05
245837-Augusta Paio-10472.62
950092-Flor Portella-8515.82
575408-Telma Villalobos-5285.58
580295-Melinda Roserio-18082.62
338145-Emedlia Silvera-8701.16
358261-Neuza Francia-6262.51
946669-Ubaldo Mainha-20422.57
273102-Jussara Varanda-21313.29
327752-Mercia Caeira-19958.04
69927-Melinda Roserio-4967.09
508115-Esperada Cardoso-1954.71
650330-Moaci Mendoa-2424.21
369427-Esperada Cardoso-295.13
727017-Heleedsa Marins-15960.93
281533-Armanda Amorim-18804.32
280521-Delfina Garcia de Gondim-18213.06
845041-Moaci Mendoa-13907.69
247636-Moaci Mendoa-17280.42
405643-Quintino Alcantara-15668.86
692463-Honorina Lira-12284.73
784327-Armindo Castalo-19879.81
654766-Mercia Caeira-16931.47
623984-Rodolfo Paz-1660.33
635023-Filomena Barrios-9037.60
940224-Heleedsa Marins-13490.42
361589-Branco Saraba-17613.22
34217-Liana Cardim-20221.67
480383-Almerinda Palmeira-8999.31
771349-Henrique Bento-17853.37
382727-Danilo Olaio-20280.29
703178-Neuza Francia-12393.30
11243-Trajano Fagundes-4665.01
224310-Fulvio Villegas-5611.25
466843-Augusta Paio-20517.60
802786-Nuno Balsemeo-3042.17
86635-Gaudancio Fiees-4835.78
193005-Marilda Leio-10686.13
584916-Basilio Pedroso-19540.93
19118-Melinda Roserio-9763.81
856069-Polibe Olivares-1312.80
682047-Mercia Caeira-20629.83
5167-Cleusa Goes-5245.11
475761-Micaela Chavez-532.51
495958-Romo Paranage-6787.18
276425-Clarindo Areosa-18495.21
98695-Jorgina Bogalho-11511.24
275993-Joaquim Rufino-4048.33
620656-Emiliana Foquio-10014.18
413024-Micaela Chavez-3739.54
542389-Oliveira Senchez-893.26
733917-Basilio Pedroso-13760.08
255584-Jorgina Bogalho-19270.13
278508-Adelina Quadros-12880.05
943025-Telma Villalobos-17725.01
367807-Carminda Morais-21367.78
