969303-Guaraci Damasceno-1765.37
377273-Manuel Capiperibe-14328.59
814151-Fulvio Villegas-9192.04
478821-Manuel Capiperibe-209.02
716271-Cassandra Varejo-13212.36
304725-Spnia ou Sonia Guerreiro-2995.48
394727-Cassandra Varejo-8349.82
45198-Andreia Moita-6137.47
777143-Quintino Alcantara-20430.19
760030-Tibofarcio Camacho-6118.09
373029-Aludsio Sosa-11267.79
435129-Emedlia Silvera-10536.72
536591-Anfnia Seixas-3680.03
62337-Edgar Carvalheiro-14864.81
348899-Flor Portella-18521.98
447471-Emedlia Silvera-7130.19
274158-Melinda Roserio-6859.30
634230-Quintiliano Sousa de Arronches-7429.75
109087-Tabalipa Duarte-12837.52
74565-Romo Paranage-3190.29
517457-Danilo Olaio-14524.02
13913-Guida Juca-17468.37
369949-Clara Alcantara-7198.90
929858-Neeamia Arruda-19769.52
908142-Emedlia Silvera-19148.17
122186-Domingos Pas-9187.81
883922-Joaquim Rufino-1555.72
143638-Odilia Bello-9352.06
149968-Tabalipa Duarte-10413.15
691708-Elisa Themes-14783.90
42590-Lina Andrade-5594.23
688269-Basilio Pedroso-6084.37
6017-Melinda Roserio-9108.07
326339-Adelina Quadros-2382.53
160760-Tabalipa Duarte-7591.61
192847-Gaudancio Fiees-16472.84
243677-Augusta Paio-10546.84
224329-Micaela Chavez-19638.28
696354-Honorina Lira-6934.94
436894-Judite Damasceno-14341.86
205979-Artur Grillo-5027.45
376640-Spnia ou Sonia Guerreiro-11734.33
900356-Manuel Capiperibe-2049.55
830072-Taercio Mafra-1127.98
711773-Neeamia Arruda-2359.59
443413-Sara Lameiras-2791.51
439759-Nuno Balsemeo-9553.95
524026-Urbano Rodrigues-8031.36
814092-Telma Villalobos-5653.49
935395-Fulvio Villegas-15257.85
962501-Telma Villalobos-18559.91
896515-Aludsio Sosa-8608.84
784054-Spnia ou Sonia Guerreiro-2873.01
995068-Manuel Capiperibe-8551.31
943063-Henrique Bento-2463.59
568884-Elisa Themes-3758.03
994719-Trajano Fagundes-147.59
104490-Spnia ou Sonia Guerreiro-14662.83
558186-Emedlia Silvera-13706.13
505777-Delfina Perdigon-7690.65
671674-Honorina Lira-11400.28
65764-Basilio Pedroso-8954.40
409020-Esperada Cardoso-6437.41
707459-Elisa Themes-12957.36
803774-Joaquim Rufino-9421.95
858724-Ermelinda Quintela-3422.81
65157-Rodolfo Paz-11432.75
666750-Honorina Lira-1048.96
436890-Camila Gabeira-13384.54
39225-Rebeca Neto-12424.76
943355-Taercio Mafra-12511.48
355258-Clarindo Areosa-18672.14
651574-Antonio Castelo-21166.23
249013-Basilio Pedroso-568.47
493998-Spnia ou Sonia Guerreiro-956.50
98302-Flamednia Leiria-3215.09
505339-Carminda Morais-10135.74
671220-Emedlio Pimentel-9797.57
636324-Tibefarcio Colao-10231.94
731094-Quintiliano Sousa de Arronches-17092.34
374573-Sidfnio Frois-2686.93
78319-Angilica Galante-7050.49
706143-Henrique Bento-17317.00
591154-Jorgina Bogalho-14884.66
728422-Delfina Perdigon-8304.76
61010-Domingos Pas-40.90
674153-Estanislau Beserra-15325.96
78924-Zungela Ipiranga-11357.83
379813-Adelino Barra-2799.36
135005-Quintiliano Sousa de Arronches-3356.67
882983-Liana Cardim-20720.42
295419-Joaquim Rufino-1866.36
921727-Carminda Morais-20173.43
203629-Zungela Ipiranga-17654.50
815882-Rodolfo Paz-7266.95
594964-Micaela Chavez-19907.56
883246-Tarrataca Soares-16049.46
745885-Esperada Cardoso-7125.42
365985-Antonio Viegas-15659.21
696786-Quintiliano Sousa de Arronches-12085.73
