157826-Spnia ou Sonia Guerreiro-14016.16
561873-Odilia Bello-3203.31
485166-Oliveira Senchez-7475.03
250606-Odete Vasques-16494.84
37474-Emiliana Foquio-9800.64
292916-Branco Saraba-383.64
31910-Delfina Garcia de Gondim-7844.48
511154-Oliveira Senchez-17416.41
35250-Leonidas Mafra-8990.37
394525-Edgar Carvalheiro-19307.35
884200-Filomena Barrios-14544.09
723487-Zungela Ipiranga-13724.88
784211-Camila Gabeira-7094.89
964487-Daniel Vieyra-10067.40
159410-Artur Grillo-18137.77
600196-Heleedsa Marins-10025.87
706413-Tibefarcio Colao-4101.35
308694-Oliveira Carmona-5576.46
80169-Celeste Duarte-16316.81
525580-Zungela Ipiranga-21120.76
481512-Almor Caiado-12764.76
569255-Sofras Cuaresma-8827.16
504006-Elisa Themes-16515.00
425424-Estanislau Beserra-12169.81
346749-Cassandra Varejo-4276.57
848815-Basilio Pedroso-8732.57
715216-Oliveira Senchez-19989.63
29709-Estanislau Beserra-3157.89
501935-Almerinda Palmeira-83.85
10656-Feledcia Peassego-11269.11
287307-Elisa Themes-9249.08
973362-Antonio Castelo-8039.94
147047-Jorgina Bogalho-10844.98
326232-Emiliana Foquio-3664.40
761524-Daniel Vieyra-2993.03
974044-Armanda Amorim-18631.52
289412-Micaela Chavez-8013.83
223187-Antonio Castelo-459.29
835579-Rebeca Neto-13384.31
612781-Rebeca Neto-12829.58
498374-Tibefarcio Colao-18102.46
376559-Marilda Leio-797.35
970823-Tarrataca Soares-17588.82
65376-Tibofarcio Camacho-11147.25
173763-Gaudancio Fiees-13014.87
422688-Micaela Chavez-19854.61
445053-Andreia Moita-20217.50
947270-Jorgina Bogalho-18204.90
238033-Ermelinda Quintela-19393.25
913865-Regina Barcellos-18624.54
500344-Dulce Froes-15544.69
511688-Flor Portella-1443.62
517152-Jonatas Felgueiras-6623.33
537093-Adelino Barra-4649.14
996936-Clara Alcantara-7690.88
759782-Spnia ou Sonia Guerreiro-20025.11
190800-Micaela Chavez-7434.72
5205-Romo Paranage-11384.20
749058-Danilo Olaio-13556.58
440647-Jussara Varanda-14035.71
606980-Antonio Viegas-2615.88
19011-Daniel Vieyra-10021.00
682807-Marilda Leio-1341.33
229063-Romo Paranage-8896.71
16717-Antonio Castelo-14876.67
290939-Rodolfo Paz-799.44
542127-Aludsio Sosa-6771.34
576044-Heleedsa Marins-19331.40
99526-Polibe Olivares-17464.05
464504-Carminda Morais-14553.62
800111-Angilica Galante-1954.85
604721-Emedlio Pimentel-19245.04
287599-Basilio Pedroso-2797.03
303214-Telma Villalobos-13149.33
233296-Honorina Lira-18499.49
251608-Ubaldo Mainha-10387.57
813541-Estanislau Beserra-8668.15
847798-Eurico Siqueira-12083.91
301647-Joaquim Rufino-17364.91
929475-Marilda Leio-954.71
645147-Judite Damasceno-2952.72
432654-Anind Zarco-17428.76
352742-Neeamia Arruda-2876.80
889859-Trajano Fagundes-8869.83
613801-Spnia ou Sonia Guerreiro-18582.17
5152-Odilia Bello-18229.85
340048-Sidfnio Frois-6363.15
325639-Tibefarcio Colao-11891.62
967132-Oliveira Carmona-3249.80
13584-Melinda Roserio-15469.10
938347-Armindo Castalo-19635.55
864753-Sara Lameiras-18365.04
295461-Letedcia Gago-203.73
429630-Trajano Fagundes-9442.63
12675-Quintiliano Sousa de Arronches-12028.77
61314-Clara Alcantara-1363.98
866486-Anind Zarco-21197.38
486670-Flor Portella-13875.80
14262-Delfim Higuera-20205.47
548788-Silvio Mata-14700.77
554752-Flor Portella-11915.32
348617-Anfnia Seixas-13803.97
18753-Basilio Pedroso-18136.92
369110-Emiliana Foquio-6236.38
702903-Adelino Barra-12726.51
286132-Odilia Bello-13157.12
854054-Flor Portella-17915.79
736562-Angilica Galante-14195.82
297806-Almerinda Palmeira-14081.12
355786-Elisa Themes-13461.78
323624-Antonio Castelo-13292.49
362821-Taercio Mafra-16525.97
906030-Esperada Cardoso-19116.16
338698-Armanda Amorim-2465.01
34332-Lurdes Cotrim-18392.04
123085-Quintiliano Sousa de Arronches-21054.91
610109-Regina Barcellos-7208.61
835453-Andreia Moita-4691.14
673812-Tibefarcio Colao-3919.28
59614-Odilia Bello-8142.84
39147-Andreia Moita-11356.07
67110-Angilica Galante-11719.70
491904-Manuel Capiperibe-6123.93
125342-Delfim Higuera-16247.31
913406-Guaraci Damasceno-8582.82
352420-Zungela Ipiranga-16634.05
503697-Angelica Aranha-20290.15
266429-Regina Barcellos-19273.67
610934-Lina Andrade-5985.57
67827-Danilo Olaio-631.33
734951-Neuza Francia-17911.72
650708-Regina Barcellos-5317.56
680067-Daniel Vieyra-19602.48
325429-Branco Saraba-14478.89
988608-Flor Portella-17658.03
372507-Letedcia Gago-20391.55
246907-Delfim Higuera-14361.75
498565-Judite Damasceno-17484.42
864045-Gaudancio Fiees-1005.69
673857-Jorgina Bogalho-481.53
251083-Angilica Galante-7898.88
468404-Oliveira Senchez-15075.39
139584-Guida Juca-17062.19
719709-Melinda Roserio-11500.61
547478-Esperada Cardoso-855.66
173575-Edgar Carvalheiro-3519.38
204732-Oliveira Senchez-19071.85
767411-Guida Juca-11772.00
697065-Jonatas Felgueiras-7785.80
700212-Filomena Barrios-11032.54
352817-Regina Barcellos-8180.22
177676-Rebeca Neto-10584.90
758251-Fulvio Villegas-8491.46
102800-Eurico Siqueira-8023.82
853016-Urbano Rodrigues-3954.46
405954-Lina Andrade-4866.19
146738-Romo Paranage-5918.24
62713-Clara Alcantara-5925.92
936662-Anind Zarco-2688.05
895870-Almor Caiado-2190.22
491812-Rodolfo Paz-5063.74
975793-Melinda Roserio-7745.52
514872-Emiliana Foquio-15553.10
789117-Artur Grillo-5139.29
640309-Daniel Vieyra-12457.82
57058-Manuel Capiperibe-12217.05
895518-Regina Barcellos-3333.68
951652-Anind Zarco-169.47
207675-Judite Damasceno-20208.84
560335-Melinda Roserio-32.96
167138-Flamednia Leiria-4547.88
795519-Gaudancio Fiees-20177.63
430235-Jorgina Bogalho-19047.95
727222-Liana Cardim-18221.00
889836-Emiliana Foquio-7722.57
14613-Manuel Capiperibe-9883.14
758776-Rodolfo Paz-6747.26
843408-Micaela Chavez-17386.77
3216-Marilda Leio-10624.01
484323-Dulce Froes-15719.62
986939-Antonio Castelo-756.45
863883-Ermelinda Quintela-16864.41
809181-Silvio Mata-10203.87
64734-Andreia Moita-10741.14
249694-Elisa Themes-5025.21
733428-Odete Vasques-18485.35
438242-Delfim Higuera-13038.10
510875-Spnia ou Sonia Guerreiro-16076.54
14040-Oliveira Senchez-12051.73
433455-Fulvio Villegas-3651.74
148638-Angelica Aranha-14541.61
651402-Esperada Cardoso-6835.41
433891-Letedcia Gago-9753.50
