751334-Rebeca Neto-11046.92
19205-Carminda Morais-15992.13
847196-Guida Juca-10366.52
99681-Rebeca Neto-643.64
559767-Neeamia Arruda-6439.62
569498-Polibe Olivares-13716.12
468637-Esperada Cardoso-977.39
896440-Neuza Francia-20504.06
545596-Emedlio Pimentel-14307.48
160189-Angelica Aranha-18509.64
780857-Flor Portella-6552.32
670488-Augusta Paio-18442.51
94308-Dulce Froes-6006.14
201356-Filomena Barrios-10147.14
755035-Daniel Vieyra-18812.74
862156-Jonatas Felgueiras-11133.60
78132-Jorgina Bogalho-4183.45
755371-Neeamia Arruda-2817.57
406539-Artur Grillo-5093.03
942627-Guida Juca-4669.79
973334-Celeste Duarte-10387.60
728630-Adelina Quadros-12074.31
696697-Oliveira Carmona-19515.25
316629-Domingos Pas-7672.43
300871-Aludsio Sosa-19989.98
763848-Delfina Perdigon-1173.76
354756-Tibefarcio Colao-6564.55
168409-Gaudancio Fiees-16932.10
904078-Ximena Castilho-10211.33
420244-Feledcia Peassego-14290.75
383893-Telma Villalobos-11795.65
611766-Regina Barcellos-13772.94
90366-Daniel Vieyra-14739.90
183241-Dulce Froes-3588.23
506423-Odete Vasques-2436.41
619679-Neuza Francia-17724.04
92509-Zulmira Becerra-20217.59
909901-Henrique Bento-10894.44
999-Filomena Barrios-10258.64
395049-Artur Grillo-11142.85
768590-Odete Vasques-10581.85
902481-Angilica Galante-15127.97
983561-Trajano Fagundes-274.03
106138-Angilica Galante-14975.87
987921-Fulvio Villegas-4956.09
867593-Romo Paranage-10502.29
123661-Polibe Olivares-21273.22
350611-Regina Barcellos-19977.48
787462-Moaci Mendoa-9432.65
873456-Flor Portella-16206.60
551222-Cassandra Varejo-2019.45
794094-Manuel Capiperibe-20208.48
847053-Nuno Balsemeo-18423.48
890446-Cassandra Varejo-16179.70
273606-Urbano Rodrigues-21149.58
781051-Adelina Quadros-10373.42
725685-Micaela Chavez-6499.82
429562-Sara Lameiras-16093.33
93794-Adelino Barra-13136.36
138812-Carminda Morais-7840.26
468508-Delfina Garcia de Gondim-14495.77
983128-Nuno Balsemeo-1948.88
327142-Daniel Vieyra-5447.35
558213-Odete Vasques-18256.25
892285-Esperada Cardoso-1014.15
835781-Zulmira Becerra-20581.96
8382-Clarindo Areosa-8784.38
535299-Anind Zarco-7313.84
810083-Liana Cardim-5589.94
866436-Mercia Caeira-13871.33
99407-Heleedsa Marins-351.18
277588-Daniel Vieyra-18561.01
819810-Judite Damasceno-19204.28
709636-Romo Paranage-2555.03
602259-Basilio Pedroso-5063.95
452897-Jorgina Bogalho-10212.31
161847-Delfina Garcia de Gondim-7027.56
852770-Melinda Roserio-16782.91
392631-Guaraci Damasceno-16506.17
85242-Trajano Fagundes-15630.00
287709-Guida Juca-8886.16
100310-Sidfnio Frois-19768.94
800787-Manuel Capiperibe-4062.30
719842-Jorgina Bogalho-1664.56
296976-Delfina Perdigon-7280.58
289445-Esperada Cardoso-20585.11
994650-Domingos Pas-9001.89
138278-Odilia Camello-505.58
666243-Zungela Ipiranga-11189.51
705042-Micaela Chavez-11240.36
393487-Telma Villalobos-8498.40
683736-Joaquim Rufino-17459.40
591620-Delfina Garcia de Gondim-18597.41
444282-Eurico Siqueira-17359.78
316287-Antonio Castelo-10527.91
67216-Dulce Froes-20590.80
565554-Zulmira Becerra-3705.91
336036-Spnia ou Sonia Guerreiro-11607.30
397609-Lina Andrade-8659.12
593060-Clarindo Areosa-451.34
