245777-Gaudancio Fiees-4897.48
989450-Domingos Pas-11206.41
73301-Quintiliano Sousa de Arronches-20285.06
676975-Andreia Moita-7428.18
513460-Micaela Chavez-19429.36
414361-Celeste Duarte-15293.02
476367-Jorgina Bogalho-19801.03
342144-Carminda Morais-19592.87
633596-Ubaldo Mainha-4968.76
665542-Eurico Siqueira-13521.19
527154-Anind Zarco-13623.64
155400-Sidfnio Frois-19153.54
363982-Feledcia Peassego-599.43
754359-Camila Gabeira-7136.20
188117-Marilda Leio-1126.50
40282-Delfina Garcia de Gondim-14970.65
955155-Guida Juca-4810.57
275360-Daniel Vieyra-19283.99
469331-Nuno Balsemeo-15755.49
615426-Odilia Camello-17312.15
622118-Almerinda Palmeira-19997.42
376379-Emiliana Foquio-17834.14
771663-Mercia Caeira-3892.94
705556-Oliveira Senchez-21180.48
457326-Guida Juca-14187.53
145289-Dulce Froes-13943.10
168070-Edgar Carvalheiro-12287.81
293318-Domingos Pas-17340.56
222244-Polibe Olivares-740.42
543666-Melinda Roserio-17396.58
983639-Angilica Galante-6687.96
787942-Adelino Barra-16461.72
978728-Quintino Alcantara-14974.60
112947-Moaci Mendoa-1036.82
867574-Odete Vasques-3551.40
272423-Manuel Capiperibe-20472.85
741854-Lina Andrade-2669.69
784938-Moaci Mendoa-12892.63
743820-Angilica Galante-6310.01
768448-Clara Alcantara-9365.45
8013-Liana Cardim-14105.29
506020-Cleusa Goes-12678.33
450573-Jussara Varanda-2763.28
172951-Flamednia Leiria-6434.41
460217-Letedcia Gago-9353.08
16840-Armanda Amorim-12645.81
399454-Esperada Cardoso-9808.39
563214-Emiliana Foquio-5651.40
299832-Oliveira Carmona-19458.84
78639-Edgar Carvalheiro-2561.69
31413-Quintiliano Sousa de Arronches-15221.77
780273-Neeamia Arruda-13012.00
217949-Tabalipa Duarte-13766.50
116104-Jussara Varanda-21378.23
212999-Guida Juca-14078.00
449608-Armanda Amorim-6053.33
487573-Emiliana Foquio-11247.32
494963-Taercio Mafra-20472.95
765097-Delfim Higuera-8121.12
552923-Anfnia Seixas-17881.90
885755-Jussara Varanda-2727.38
263584-Clara Alcantara-12295.18
990705-Artur Grillo-20097.36
529494-Letedcia Gago-19633.69
25601-Nuno Balsemeo-11940.98
830249-Cleusa Goes-570.64
732213-Sidfnio Frois-5995.52
989699-Leonidas Mafra-9410.46
871293-Micaela Chavez-2233.28
669873-Melinda Roserio-12248.81
637534-Polibe Olivares-5872.83
782289-Lurdes Cotrim-18685.46
642863-Guaraci Damasceno-20415.37
669829-Tarrataca Soares-13825.83
519787-Sara Lameiras-5351.25
202009-Silvio Mata-4344.72
700633-Lurdes Cotrim-1977.20
447817-Joaquim Rufino-8057.10
6776-Estanislau Beserra-6760.98
193693-Henrique Bento-17547.68
570857-Carminda Morais-29.21
686033-Celeste Duarte-12377.04
835846-Rodolfo Paz-3178.63
238245-Silvio Mata-7675.33
525687-Trajano Fagundes-4295.69
911170-Adelina Quadros-7117.71
877008-Daniel Vieyra-719.88
394422-Urbano Rodrigues-17824.36
958374-Armindo Castalo-14479.59
850313-Jussara Varanda-20281.53
139515-Dulce Froes-10162.40
711735-Heleedsa Marins-8324.42
346908-Domingos Pas-5587.94
519389-Eurico Siqueira-575.49
307728-Telma Villalobos-12920.75
221173-Adelino Barra-11615.02
606325-Fulvio Villegas-18703.79
711750-Liana Cardim-18707.73
527147-Heleedsa Marins-21037.32
956512-Sofras Cuaresma-6450.99
669720-Domingos Pas-8672.38
787951-Anind Zarco-12099.50
126200-Sofras Cuaresma-13942.97
843682-Lina Andrade-13143.32
577523-Odilia Camello-2051.57
396565-Letedcia Gago-7493.78
986466-Almerinda Palmeira-12339.84
564211-Neuza Francia-18566.96
610323-Anfnia Seixas-12757.39
98872-Marilda Leio-1672.12
772609-Sidfnio Frois-2858.82
686039-Tarrataca Soares-16346.70
557900-Judite Damasceno-11563.12
707685-Lina Andrade-13161.56
922697-Ubaldo Mainha-7342.50
728623-Almerinda Palmeira-19876.46
36632-Spnia ou Sonia Guerreiro-14931.49
723734-Clarindo Areosa-14702.30
217055-Andreia Moita-15538.40
958616-Joaquim Rufino-10444.55
