859898-Taercio Mafra-8021.73
691533-Armindo Castalo-10913.54
264361-Leonidas Mafra-2922.19
759624-Emedlia Silvera-5342.40
430560-Micaela Chavez-10509.81
30151-Odilia Bello-13499.30
314162-Neeamia Arruda-588.03
379229-Ermelinda Quintela-1698.66
872611-Guaraci Damasceno-10252.58
996591-Tarrataca Soares-7616.56
304817-Adelina Quadros-8225.16
184063-Delfina Perdigon-15022.07
893277-Armanda Amorim-13619.88
466935-Clara Alcantara-9902.64
588022-Oliveira Carmona-3242.11
568888-Zungela Ipiranga-19032.41
181312-Tabalipa Duarte-13670.71
320081-Polibe Olivares-2559.67
555370-Jussara Varanda-10328.40
186469-Lurdes Cotrim-7093.52
614659-Artur Grillo-5161.74
731959-Jorgina Bogalho-7663.58
720141-Joaquim Rufino-1087.67
927005-Regina Barcellos-17592.34
373579-Neeamia Arruda-3313.39
801153-Lurdes Cotrim-18029.08
675253-Augusta Paio-19250.89
352541-Henrique Bento-13999.25
895617-Guida Juca-4459.97
212824-Esperada Cardoso-6411.83
185686-Guida Juca-1633.15
674100-Nuno Balsemeo-19620.46
402305-Celeste Duarte-6862.83
601958-Liana Cardim-9232.10
581738-Cassandra Varejo-10595.84
288559-Cassandra Varejo-21463.85
236220-Elisa Themes-12385.76
771587-Delfim Higuera-5424.45
273889-Ubaldo Mainha-2278.57
615738-Rodolfo Paz-13200.70
826428-Quintino Alcantara-2857.72
210776-Spnia ou Sonia Guerreiro-949.62
952847-Emedlio Pimentel-1023.65
978620-Flamednia Leiria-16699.67
238680-Quintiliano Sousa de Arronches-14930.65
353752-Basilio Pedroso-20433.53
376372-Lurdes Cotrim-9291.06
4205-Gaudancio Fiees-16648.78
73684-Adelino Barra-2116.68
140180-Elisa Themes-18972.84
390161-Henrique Bento-9886.26
470992-Cassandra Varejo-1493.53
598279-Urbano Rodrigues-1458.23
8515-Rodolfo Paz-10868.01
145058-Andreia Moita-4365.56
381487-Feledcia Peassego-6739.10
518956-Heleedsa Marins-14542.86
232717-Tibefarcio Colao-4078.07
391663-Delfina Perdigon-10818.81
924117-Joaquim Rufino-17750.21
526550-Angilica Galante-9809.27
901000-Estanislau Beserra-10103.98
237921-Neeamia Arruda-16779.97
939617-Odilia Bello-15225.21
640750-Jussara Varanda-14671.83
890356-Telma Villalobos-4240.81
526049-Henrique Bento-5396.00
267698-Augusta Paio-9048.32
403242-Melinda Roserio-20622.24
206572-Gaudancio Fiees-20921.48
809776-Feledcia Peassego-1671.91
555636-Polibe Olivares-8680.92
138575-Filomena Barrios-21423.30
544144-Oliveira Senchez-19447.86
783669-Mercia Caeira-19454.27
63124-Honorina Lira-14898.33
252615-Esperada Cardoso-4738.76
761217-Flamednia Leiria-19741.44
560432-Marilda Leio-12130.63
756648-Adelina Quadros-5497.86
490046-Spnia ou Sonia Guerreiro-18815.96
150787-Danilo Olaio-19021.51
726215-Spnia ou Sonia Guerreiro-7608.06
298257-Basilio Pedroso-7508.67
908133-Flor Portella-8116.51
217252-Edgar Carvalheiro-13797.14
607103-Neeamia Arruda-9814.83
596642-Jonatas Felgueiras-10712.44
934937-Esperada Cardoso-20568.04
13652-Tibofarcio Camacho-7250.77
240552-Odilia Camello-9985.67
174891-Tibofarcio Camacho-17107.18
201317-Sidfnio Frois-17244.44
74104-Danilo Olaio-5702.59
249221-Sidfnio Frois-19181.67
367417-Carminda Morais-7929.01
835402-Neeamia Arruda-19135.08
179223-Tabalipa Duarte-15246.21
182932-Spnia ou Sonia Guerreiro-5310.72
249770-Estanislau Beserra-9950.86
