521155-Anfnia Seixas-10174.01
418217-Danilo Olaio-15601.27
904566-Mercia Caeira-663.35
194057-Marilda Leio-17355.70
700070-Celeste Duarte-6344.25
952602-Lina Andrade-12209.30
66963-Jussara Varanda-20799.25
777118-Sidfnio Frois-17053.07
719910-Emedlia Silvera-5570.89
345412-Dulce Froes-16233.61
372494-Neeamia Arruda-5773.98
423655-Delfina Perdigon-20588.16
690282-Tarrataca Soares-10632.37
180201-Delfina Garcia de Gondim-18614.31
541816-Ubaldo Mainha-6346.48
511337-Anind Zarco-8056.00
376697-Elisa Themes-2301.84
794104-Aludsio Sosa-19769.61
893340-Manuel Capiperibe-1591.97
411027-Branco Saraba-10305.42
766758-Delfim Higuera-3114.31
40028-Angelica Aranha-11228.55
956309-Aludsio Sosa-9910.62
207150-Anind Zarco-3367.58
544031-Silvio Mata-4723.00
306178-Artur Grillo-20468.11
998186-Letedcia Gago-16427.04
647672-Nuno Balsemeo-9790.15
604076-Taercio Mafra-744.24
165990-Sara Lameiras-4488.35
88407-Micaela Chavez-631.19
925186-Almor Caiado-20821.59
578192-Delfim Higuera-16236.31
984697-Joaquim Rufino-9013.55
338757-Taercio Mafra-16508.99
340443-Daniel Vieyra-2117.21
458709-Andreia Moita-20997.19
760518-Telma Villalobos-8048.83
22988-Neuza Francia-1800.04
998735-Daniel Vieyra-7821.70
516818-Eurico Siqueira-20872.58
982435-Emedlio Pimentel-3777.00
786539-Feledcia Peassego-20072.78
684818-Adelina Quadros-15967.79
824771-Tibofarcio Camacho-10076.34
780917-Lina Andrade-8744.91
548242-Mercia Caeira-20029.50
52499-Guaraci Damasceno-3282.27
571442-Judite Damasceno-21222.50
514762-Joaquim Rufino-11017.65
293487-Anind Zarco-4447.98
190727-Almor Caiado-4627.80
762863-Telma Villalobos-1310.83
482556-Oliveira Carmona-4407.68
556957-Carminda Morais-17285.93
46448-Angilica Galante-1718.90
257208-Jonatas Felgueiras-21124.38
703775-Clarindo Areosa-6030.07
550174-Domingos Pas-9175.79
884129-Daniel Vieyra-9830.93
904333-Ermelinda Quintela-12483.87
699193-Sofras Cuaresma-17765.78
193896-Cleusa Goes-3548.57
482986-Romo Paranage-7543.39
67512-Manuel Capiperibe-17288.96
286231-Lina Andrade-6344.59
512290-Honorina Lira-19777.16
688046-Taercio Mafra-14159.36
606721-Delfim Higuera-19014.87
291304-Clara Alcantara-14668.87
740529-Jonatas Felgueiras-8943.08
503918-Camila Gabeira-1235.23
531204-Flamednia Leiria-16797.17
157980-Cleusa Goes-11277.17
552714-Augusta Paio-643.00
56529-Jorgina Bogalho-16445.87
933989-Joaquim Rufino-3006.15
282392-Quintino Alcantara-1828.20
637887-Quintino Alcantara-16194.26
88266-Lina Andrade-2902.34
631941-Oliveira Carmona-15919.75
562397-Emiliana Foquio-16744.79
586715-Flamednia Leiria-10005.26
984110-Esperada Cardoso-18486.84
720787-Ximena Castilho-3647.53
870054-Eurico Siqueira-4248.10
478359-Oliveira Carmona-532.60
802911-Angelica Aranha-13625.42
96541-Antonio Castelo-6606.97
876720-Celeste Duarte-10127.85
576632-Antonio Castelo-12544.17
67906-Cassandra Varejo-4864.96
598793-Elisa Themes-4855.99
846836-Rebeca Neto-16065.83
327726-Estanislau Beserra-3088.20
108975-Regina Barcellos-4686.90
993168-Antonio Viegas-5731.68
976242-Edgar Carvalheiro-4524.88
295300-Taercio Mafra-15225.84
557063-Oliveira Carmona-13899.77
52836-Ubaldo Mainha-15215.54
