340899-Regina Barcellos-17246.44
743247-Clarindo Areosa-6527.59
361610-Trajano Fagundes-4744.69
576507-Armindo Castalo-10712.36
462009-Rebeca Neto-14450.20
134742-Nuno Balsemeo-3926.54
30418-Odilia Camello-1699.71
892831-Angilica Galante-13138.20
702797-Manuel Capiperibe-6024.54
583502-Quintino Alcantara-16724.35
276782-Oliveira Carmona-10702.92
715215-Ubaldo Mainha-19090.35
848738-Esperada Cardoso-12889.13
635383-Neuza Francia-13564.90
842596-Cassandra Varejo-13749.52
784127-Antonio Castelo-15390.86
699998-Honorina Lira-12816.33
507123-Elisa Themes-11250.42
213582-Clarindo Areosa-9762.62
476044-Almerinda Palmeira-6263.61
504074-Elisa Themes-19416.38
176249-Antonio Viegas-2648.70
607444-Zulmira Becerra-10627.18
24234-Flor Portella-12523.54
677102-Guida Juca-7177.13
866575-Gaudancio Fiees-15024.97
194086-Augusta Paio-12167.13
9137-Augusta Paio-5867.37
160223-Basilio Pedroso-6279.50
765698-Cassandra Varejo-4419.43
322253-Liana Cardim-8024.47
170786-Armanda Amorim-12866.23
570896-Jonatas Felgueiras-3997.47
400546-Edgar Carvalheiro-7637.71
719891-Jonatas Felgueiras-13024.48
507291-Liana Cardim-13133.15
897490-Armindo Castalo-11890.25
920905-Tarrataca Soares-10995.51
503072-Guida Juca-2112.27
346788-Judite Damasceno-12739.93
551909-Sara Lameiras-16653.15
427920-Lurdes Cotrim-3080.02
657332-Tabalipa Duarte-12585.73
121589-Ximena Castilho-15109.74
456073-Lina Andrade-2742.10
503381-Guaraci Damasceno-10707.17
563992-Cleusa Goes-11446.15
337905-Esperada Cardoso-17775.36
848595-Delfina Garcia de Gondim-19470.39
825995-Neuza Francia-4819.02
746149-Lurdes Cotrim-1559.70
629485-Eurico Siqueira-7633.98
135898-Mercia Caeira-4215.72
389186-Tarrataca Soares-1932.10
413583-Judite Damasceno-13306.66
402544-Marilda Leio-2566.86
222643-Anfnia Seixas-6212.50
67967-Armindo Castalo-14935.88
980357-Tabalipa Duarte-13129.52
120037-Joaquim Rufino-7072.95
769057-Quintiliano Sousa de Arronches-1185.57
733318-Oliveira Carmona-3491.87
699958-Aludsio Sosa-5383.23
756226-Oliveira Carmona-10857.12
302667-Nuno Balsemeo-6076.42
59174-Gaudancio Fiees-4065.61
533037-Augusta Paio-17957.83
138098-Filomena Barrios-16693.68
795263-Marilda Leio-11268.64
491252-Sidfnio Frois-3795.01
605556-Judite Damasceno-7012.70
690086-Anfnia Seixas-16100.03
172760-Manuel Capiperibe-12662.19
743616-Judite Damasceno-9284.92
7891-Domingos Pas-21077.95
454361-Adelino Barra-7833.70
102759-Neuza Francia-1734.20
484375-Jorgina Bogalho-14225.58
486169-Urbano Rodrigues-20133.53
924032-Delfina Perdigon-17453.61
689368-Odete Vasques-11004.82
495622-Dulce Froes-2346.89
488631-Henrique Bento-20588.62
320646-Zungela Ipiranga-5521.22
864500-Basilio Pedroso-2026.46
566482-Angelica Aranha-1936.17
312784-Silvio Mata-7817.19
875104-Basilio Pedroso-4407.20
805057-Anfnia Seixas-6642.06
115706-Jussara Varanda-6176.47
927087-Lurdes Cotrim-10083.36
8258-Jorgina Bogalho-19548.32
608889-Letedcia Gago-16588.37
945292-Quintino Alcantara-6586.74
773691-Filomena Barrios-400.54
913107-Carminda Morais-4106.21
422714-Anind Zarco-294.50
868252-Odete Vasques-6923.25
871468-Aludsio Sosa-19211.30
743977-Odilia Camello-5477.62
