457743-Adelina Quadros-5759.85
129003-Polibe Olivares-17345.34
629585-Moaci Mendoa-19603.19
100842-Cassandra Varejo-14235.03
355915-Edgar Carvalheiro-13755.99
991112-Emedlia Silvera-13426.09
39454-Tibefarcio Colao-10812.16
220322-Sidfnio Frois-1708.46
574691-Melinda Roserio-6990.75
887934-Lurdes Cotrim-14706.55
418512-Regina Barcellos-4306.29
333764-Regina Barcellos-3712.75
322840-Rebeca Neto-14099.04
396759-Armindo Castalo-13865.21
526779-Moaci Mendoa-10233.94
147663-Tibefarcio Colao-7059.01
41450-Quintino Alcantara-19459.41
36742-Basilio Pedroso-3986.77
368679-Ximena Castilho-19062.52
136743-Odete Vasques-19991.40
10604-Trajano Fagundes-1970.75
386136-Carminda Morais-2894.09
811968-Delfina Perdigon-17717.31
557047-Silvio Mata-21081.28
321560-Antonio Viegas-14461.71
201578-Gaudancio Fiees-18133.19
690270-Tabalipa Duarte-78.77
911300-Jorgina Bogalho-19039.13
978468-Lina Andrade-6437.98
120565-Almerinda Palmeira-15779.35
434189-Jonatas Felgueiras-13344.62
893434-Oliveira Carmona-4893.65
110953-Sofras Cuaresma-7771.77
749035-Judite Damasceno-20107.34
908521-Jussara Varanda-13185.72
494384-Neuza Francia-762.90
465030-Sara Lameiras-17739.80
892619-Tibefarcio Colao-10504.08
513824-Elisa Themes-2239.02
386984-Melinda Roserio-21410.23
432739-Aludsio Sosa-18299.73
36895-Regina Barcellos-18688.67
565922-Polibe Olivares-4814.94
826307-Neuza Francia-12252.43
247513-Daniel Vieyra-11916.68
839969-Lina Andrade-14041.62
751337-Branco Saraba-4211.44
55772-Oliveira Senchez-1885.53
790016-Angelica Aranha-11050.67
322749-Almerinda Palmeira-7819.70
307066-Spnia ou Sonia Guerreiro-12184.03
269922-Leonidas Mafra-4639.56
81102-Sara Lameiras-9555.22
585278-Ubaldo Mainha-1698.65
339499-Rodolfo Paz-2151.12
181676-Zulmira Becerra-3899.52
797036-Zulmira Becerra-3602.20
424905-Celeste Duarte-1337.92
460233-Basilio Pedroso-16145.82
397839-Guida Juca-11514.21
874641-Nuno Balsemeo-3222.44
841180-Tabalipa Duarte-4615.14
190890-Regina Barcellos-20585.95
34726-Rebeca Neto-15956.97
121721-Tibefarcio Colao-10835.53
393102-Odilia Camello-18407.34
343253-Flor Portella-17960.48
437203-Esperada Cardoso-5759.89
83925-Adelino Barra-13784.49
313593-Moaci Mendoa-1323.64
513193-Urbano Rodrigues-11262.38
115464-Heleedsa Marins-18950.79
190004-Jussara Varanda-127.87
786385-Tibefarcio Colao-2558.21
247264-Delfina Garcia de Gondim-17019.43
336508-Tibefarcio Colao-12478.53
861382-Flor Portella-2977.12
122278-Almerinda Palmeira-14201.49
658616-Flor Portella-5087.50
809470-Danilo Olaio-8160.63
381236-Guida Juca-9765.76
197332-Almor Caiado-612.08
44033-Guida Juca-6813.98
486089-Carminda Morais-16451.85
141481-Marilda Leio-9749.48
866062-Manuel Capiperibe-10332.85
325154-Artur Grillo-626.62
348499-Nuno Balsemeo-5707.85
877353-Judite Damasceno-5439.60
855597-Regina Barcellos-15967.69
713775-Joaquim Rufino-5856.67
293824-Spnia ou Sonia Guerreiro-21278.64
985979-Delfim Higuera-2424.25
464779-Aludsio Sosa-12829.11
764950-Gaudancio Fiees-4025.68
8213-Guida Juca-8324.34
620376-Edgar Carvalheiro-1182.76
461042-Taercio Mafra-561.41
451064-Cleusa Goes-12220.18
190719-Quintiliano Sousa de Arronches-6993.90
