63404-Artur Grillo-3637.96
365751-Trajano Fagundes-21090.95
364238-Quintino Alcantara-8331.97
438095-Nuno Balsemeo-299.20
759308-Leonidas Mafra-2803.19
356327-Telma Villalobos-19455.81
586356-Sara Lameiras-8592.77
497926-Oliveira Carmona-20722.21
528288-Anind Zarco-13422.67
617494-Spnia ou Sonia Guerreiro-3472.06
765001-Romo Paranage-19452.69
563915-Odete Vasques-3431.51
561208-Regina Barcellos-3625.16
956887-Melinda Roserio-74.70
719009-Artur Grillo-6112.29
536768-Flamednia Leiria-8125.86
586910-Danilo Olaio-19111.72
742893-Tarrataca Soares-8051.86
998219-Delfina Garcia de Gondim-20657.15
137427-Urbano Rodrigues-2688.48
316914-Celeste Duarte-13136.13
292696-Zulmira Becerra-2596.94
395820-Micaela Chavez-15922.55
180000-Delfim Higuera-13287.28
400117-Zulmira Becerra-14384.47
423331-Ximena Castilho-8175.00
60726-Almor Caiado-18670.87
975053-Emedlio Pimentel-12383.46
626994-Anind Zarco-18923.45
62774-Delfim Higuera-13109.98
187971-Ubaldo Mainha-7838.32
615044-Domingos Pas-6746.41
193394-Danilo Olaio-9450.37
287259-Lurdes Cotrim-2807.33
851087-Judite Damasceno-8591.33
644185-Camila Gabeira-8130.73
539234-Trajano Fagundes-20881.33
606238-Lina Andrade-12486.25
375826-Zungela Ipiranga-3667.68
376286-Camila Gabeira-7848.31
225113-Honorina Lira-7025.35
203660-Edgar Carvalheiro-20651.50
875843-Silvio Mata-9208.60
802869-Eurico Siqueira-19271.47
974331-Antonio Castelo-7965.15
109237-Branco Saraba-2876.75
744355-Henrique Bento-12132.14
982948-Emedlio Pimentel-11893.37
84261-Neeamia Arruda-10212.29
530160-Delfina Garcia de Gondim-6271.22
7130-Leonidas Mafra-2758.63
799381-Sidfnio Frois-12810.67
748666-Andreia Moita-17549.43
734452-Esperada Cardoso-11422.62
453092-Anfnia Seixas-7717.53
821055-Moaci Mendoa-20818.62
261672-Leonidas Mafra-15951.23
352023-Tibofarcio Camacho-11786.22
583511-Honorina Lira-20707.06
583132-Adelino Barra-18687.53
413660-Melinda Roserio-18837.60
295770-Tabalipa Duarte-7520.76
328155-Angilica Galante-12958.24
736912-Guida Juca-1650.75
809302-Carminda Morais-19355.28
396412-Regina Barcellos-10238.66
658778-Guida Juca-3906.44
651988-Melinda Roserio-21239.96
498632-Taercio Mafra-10300.96
574535-Emedlio Pimentel-17706.79
772336-Anind Zarco-8356.09
833500-Manuel Capiperibe-10749.04
478041-Emiliana Foquio-2587.49
581800-Leonidas Mafra-14554.86
947648-Danilo Olaio-1498.12
582620-Adelino Barra-14332.08
595952-Heleedsa Marins-12983.83
732000-Odete Vasques-9585.51
6416-Andreia Moita-16030.50
503462-Cleusa Goes-21056.25
269650-Almor Caiado-9459.13
795759-Aludsio Sosa-5472.63
913873-Lurdes Cotrim-432.58
372660-Romo Paranage-11888.39
390218-Andreia Moita-8313.03
968697-Feledcia Peassego-18898.86
412798-Liana Cardim-39.98
500547-Micaela Chavez-10637.30
100319-Jonatas Felgueiras-19527.37
311976-Rodolfo Paz-4467.56
718652-Ubaldo Mainha-5620.26
734007-Anfnia Seixas-20348.22
653812-Basilio Pedroso-13222.52
322573-Clarindo Areosa-18676.25
509907-Sara Lameiras-16885.31
992412-Marilda Leio-5730.16
199205-Ubaldo Mainha-16924.29
789064-Delfim Higuera-11424.46
446682-Delfina Garcia de Gondim-10470.63
670690-Tibofarcio Camacho-2888.91
