858552-Odete Vasques-19377.34
688537-Oliveira Carmona-14174.52
683184-Rodolfo Paz-7431.22
61235-Quintino Alcantara-4906.01
214774-Andreia Moita-12281.71
735464-Quintiliano Sousa de Arronches-12901.40
42179-Quintiliano Sousa de Arronches-3633.10
392246-Fulvio Villegas-5278.78
283887-Camila Gabeira-14932.84
784313-Clara Alcantara-16734.08
360144-Clara Alcantara-13097.83
609467-Almor Caiado-14424.71
845741-Delfina Perdigon-16511.54
183074-Delfim Higuera-20412.16
556405-Lina Andrade-16999.47
916962-Odilia Camello-16511.99
359939-Sofras Cuaresma-13297.57
407016-Eurico Siqueira-17041.49
516113-Sidfnio Frois-9089.50
287232-Polibe Olivares-13447.34
607806-Cassandra Varejo-4296.11
178280-Judite Damasceno-6902.20
200384-Odilia Bello-1595.82
860465-Daniel Vieyra-10287.65
121292-Jorgina Bogalho-15033.22
69604-Guida Juca-19342.39
158178-Oliveira Senchez-7471.15
556763-Guida Juca-4400.38
350155-Anfnia Seixas-7845.54
427639-Emiliana Foquio-15108.42
429416-Aludsio Sosa-20864.49
730388-Eurico Siqueira-1541.44
19094-Nuno Balsemeo-14263.44
462366-Delfim Higuera-2037.21
637792-Emedlio Pimentel-12718.43
276497-Lina Andrade-15639.12
113945-Oliveira Senchez-2225.87
741373-Angelica Aranha-19061.43
518321-Honorina Lira-7000.10
245030-Regina Barcellos-2449.54
738517-Augusta Paio-669.00
326221-Dulce Froes-14756.30
650313-Romo Paranage-16186.49
40184-Zungela Ipiranga-21471.12
227963-Anind Zarco-8072.66
737351-Odilia Camello-14465.42
485311-Branco Saraba-14211.72
380838-Oliveira Senchez-20609.14
798245-Tarrataca Soares-7749.48
286348-Gaudancio Fiees-6197.10
616029-Carminda Morais-7924.48
427796-Regina Barcellos-17227.75
867227-Tabalipa Duarte-19534.25
167410-Marilda Leio-16439.81
188809-Delfina Perdigon-18232.09
569069-Fulvio Villegas-18469.47
377794-Leonidas Mafra-15019.48
773163-Flor Portella-15353.29
311939-Honorina Lira-2396.44
376980-Feledcia Peassego-5469.30
395926-Adelina Quadros-18205.46
314545-Delfina Garcia de Gondim-18519.74
379577-Clara Alcantara-7953.58
93766-Honorina Lira-770.41
952181-Flor Portella-20482.30
76262-Tabalipa Duarte-15383.16
742507-Ubaldo Mainha-1112.10
97565-Tarrataca Soares-1369.83
882809-Regina Barcellos-13742.95
132913-Odilia Bello-2281.88
92906-Eurico Siqueira-12385.84
501307-Letedcia Gago-1774.15
200687-Judite Damasceno-6677.95
841361-Lina Andrade-334.05
463513-Delfina Garcia de Gondim-4213.57
327809-Melinda Roserio-4914.33
138897-Guaraci Damasceno-16901.76
414792-Gaudancio Fiees-11437.90
536334-Dulce Froes-9131.89
301766-Heleedsa Marins-17733.22
997438-Flor Portella-489.31
755731-Sofras Cuaresma-8274.32
4440-Almor Caiado-15366.33
610794-Estanislau Beserra-19824.74
258555-Jonatas Felgueiras-16614.54
169235-Spnia ou Sonia Guerreiro-2492.98
879199-Oliveira Carmona-17404.37
315299-Dulce Froes-11943.68
734345-Ximena Castilho-1464.21
964628-Delfina Garcia de Gondim-9837.23
383129-Micaela Chavez-21057.20
385774-Manuel Capiperibe-10379.92
319811-Taercio Mafra-17799.97
532114-Estanislau Beserra-8321.24
665505-Henrique Bento-4188.99
155813-Neeamia Arruda-4410.68
79300-Esperada Cardoso-2894.64
694827-Honorina Lira-752.95
616310-Zulmira Becerra-20830.30
726559-Antonio Castelo-12445.11
