704976-Quintino Alcantara-2283.36
662728-Guida Juca-21262.17
808288-Cassandra Varejo-9755.01
49878-Urbano Rodrigues-7060.27
556967-Ximena Castilho-1021.97
5078-Leonidas Mafra-2382.38
939210-Basilio Pedroso-13447.97
246417-Trajano Fagundes-16782.24
348339-Angelica Aranha-577.51
589802-Neuza Francia-12933.94
876575-Emedlio Pimentel-926.15
42053-Odilia Camello-18112.78
681201-Tarrataca Soares-13376.02
488973-Antonio Viegas-1751.69
539769-Edgar Carvalheiro-3137.26
512866-Micaela Chavez-2372.47
84276-Melinda Roserio-17261.86
707844-Zungela Ipiranga-15049.49
774590-Micaela Chavez-19722.97
603496-Daniel Vieyra-2534.04
901316-Manuel Capiperibe-3902.80
534652-Danilo Olaio-6023.22
901326-Sara Lameiras-21300.03
285167-Carminda Morais-10830.09
695829-Celeste Duarte-6870.65
303214-Judite Damasceno-4100.94
148979-Heleedsa Marins-226.95
307996-Armindo Castalo-6604.02
691395-Branco Saraba-11761.77
825560-Clarindo Areosa-7542.97
386137-Aludsio Sosa-3227.15
45399-Estanislau Beserra-1097.66
498778-Delfina Garcia de Gondim-941.83
554561-Filomena Barrios-12514.68
295332-Daniel Vieyra-21401.64
761706-Delfim Higuera-7149.84
475112-Leonidas Mafra-15091.33
374761-Sofras Cuaresma-15724.41
256126-Henrique Bento-4356.49
434843-Augusta Paio-3039.90
17066-Urbano Rodrigues-3233.77
395723-Romo Paranage-5864.22
96514-Gaudancio Fiees-7569.21
316994-Quintiliano Sousa de Arronches-249.92
546136-Telma Villalobos-7132.87
356414-Neuza Francia-9880.49
260693-Danilo Olaio-10865.24
859603-Delfina Garcia de Gondim-5874.15
860988-Quintiliano Sousa de Arronches-9956.71
555790-Telma Villalobos-21361.06
547505-Tarrataca Soares-21146.39
253802-Spnia ou Sonia Guerreiro-13215.51
242036-Marilda Leio-3591.64
897183-Joaquim Rufino-13574.81
537112-Danilo Olaio-11045.44
857654-Judite Damasceno-2874.17
162023-Gaudancio Fiees-14636.77
115549-Zungela Ipiranga-3610.53
26230-Rebeca Neto-19349.14
585459-Judite Damasceno-9189.86
135150-Guaraci Damasceno-2150.50
61439-Basilio Pedroso-1458.20
926078-Zungela Ipiranga-8210.62
711493-Delfina Garcia de Gondim-1874.76
488597-Taercio Mafra-16440.13
552724-Danilo Olaio-8883.87
181930-Aludsio Sosa-7830.65
334977-Sofras Cuaresma-6896.97
902976-Angelica Aranha-332.40
658407-Nuno Balsemeo-13968.25
36113-Eurico Siqueira-7894.77
569513-Marilda Leio-6820.55
654329-Clarindo Areosa-16609.81
419780-Camila Gabeira-1882.09
666508-Quintino Alcantara-5836.97
973355-Tibefarcio Colao-14132.50
696733-Elisa Themes-15174.32
613689-Clarindo Areosa-19827.67
583826-Urbano Rodrigues-12491.86
468133-Regina Barcellos-3123.61
855103-Artur Grillo-13083.97
808595-Estanislau Beserra-20569.67
66059-Taercio Mafra-17321.37
902234-Filomena Barrios-6930.73
697953-Estanislau Beserra-2972.56
539383-Anfnia Seixas-16492.29
767827-Lurdes Cotrim-7414.43
61660-Telma Villalobos-11850.56
569135-Ubaldo Mainha-11936.40
800131-Armanda Amorim-5546.25
889163-Tibofarcio Camacho-1869.96
938677-Emiliana Foquio-3058.05
559168-Liana Cardim-10568.71
676714-Marilda Leio-11137.73
2808-Delfina Garcia de Gondim-6639.87
26048-Adelina Quadros-13515.27
815509-Leonidas Mafra-19172.95
36770-Jorgina Bogalho-9968.72
57512-Danilo Olaio-14274.42
264359-Elisa Themes-10947.58
