601775-Tibofarcio Camacho-6670.78
97710-Judite Damasceno-6721.78
350224-Henrique Bento-16335.37
950493-Tarrataca Soares-19665.83
921903-Ximena Castilho-19397.25
305926-Cleusa Goes-528.17
695567-Flor Portella-14231.62
71418-Anfnia Seixas-6449.08
379645-Edgar Carvalheiro-10320.86
574535-Odilia Camello-21057.80
706705-Basilio Pedroso-3008.98
8396-Odete Vasques-9789.96
24351-Judite Damasceno-16693.46
698153-Neeamia Arruda-928.13
895442-Tarrataca Soares-2357.35
875391-Angelica Aranha-8430.41
591067-Delfina Perdigon-12927.36
170311-Anfnia Seixas-8033.24
253572-Manuel Capiperibe-6322.20
162404-Gaudancio Fiees-7577.94
174429-Letedcia Gago-11595.01
747645-Delfim Higuera-6440.26
15468-Odilia Camello-3875.67
336375-Armanda Amorim-13442.65
240244-Jussara Varanda-10986.76
901885-Clarindo Areosa-19865.52
864291-Antonio Castelo-5486.59
21172-Branco Saraba-2913.46
569382-Odilia Camello-20906.00
720096-Armanda Amorim-20122.78
166995-Anind Zarco-3889.69
511852-Adelino Barra-352.33
368731-Ximena Castilho-16232.49
571504-Zulmira Becerra-3441.01
587017-Feledcia Peassego-3118.58
853524-Delfina Garcia de Gondim-13187.60
160599-Romo Paranage-12701.40
203811-Zungela Ipiranga-15891.62
87280-Feledcia Peassego-7732.47
190653-Eurico Siqueira-20019.68
88465-Cassandra Varejo-9386.51
3774-Fulvio Villegas-316.79
461327-Estanislau Beserra-2600.48
969125-Lina Andrade-11456.19
258023-Delfina Perdigon-6337.23
739817-Edgar Carvalheiro-11075.76
289897-Domingos Pas-12627.37
982979-Adelina Quadros-2444.57
538430-Jorgina Bogalho-10035.44
209824-Judite Damasceno-20247.35
675916-Henrique Bento-19183.40
111136-Henrique Bento-18438.60
779481-Romo Paranage-2978.37
212773-Odete Vasques-19628.06
747385-Polibe Olivares-17405.81
139915-Leonidas Mafra-7298.37
808599-Spnia ou Sonia Guerreiro-9171.27
617729-Rebeca Neto-7036.26
104829-Almor Caiado-3806.81
355634-Rodolfo Paz-20388.91
573888-Quintiliano Sousa de Arronches-12480.83
959290-Zulmira Becerra-5447.11
23693-Guaraci Damasceno-21114.90
135827-Odilia Camello-11292.19
867198-Oliveira Senchez-894.83
837527-Trajano Fagundes-14516.23
383985-Anfnia Seixas-919.48
183524-Angilica Galante-15755.66
439955-Emedlio Pimentel-10491.87
240558-Feledcia Peassego-14335.42
808692-Manuel Capiperibe-4356.33
716469-Clarindo Areosa-11415.92
367-Moaci Mendoa-14356.16
121715-Rodolfo Paz-15777.52
82340-Emiliana Foquio-5661.35
623915-Judite Damasceno-11819.73
2609-Odilia Camello-2378.73
24670-Odilia Camello-11440.56
673077-Almor Caiado-19974.96
2614-Carminda Morais-16542.53
739455-Clarindo Areosa-21390.62
75870-Camila Gabeira-10752.95
122993-Leonidas Mafra-3068.12
176659-Danilo Olaio-1314.50
965993-Tibefarcio Colao-3645.32
722027-Ermelinda Quintela-5991.56
133734-Mercia Caeira-15651.58
977007-Celeste Duarte-20321.83
902281-Romo Paranage-5563.73
530736-Jorgina Bogalho-18133.75
701655-Branco Saraba-13996.31
505278-Adelino Barra-5632.23
417249-Jorgina Bogalho-19963.46
461259-Odilia Bello-13680.39
256785-Edgar Carvalheiro-19550.05
703729-Angilica Galante-16992.44
123266-Flamednia Leiria-20523.77
415733-Heleedsa Marins-9588.71
281006-Edgar Carvalheiro-21417.73
159040-Romo Paranage-2078.20
