865213-Odilia Bello-23.87
49889-Lina Andrade-578.05
14457-Henrique Bento-20484.61
870875-Jorgina Bogalho-18970.84
588421-Aludsio Sosa-11736.74
855367-Angilica Galante-10858.19
498262-Sidfnio Frois-2671.72
569466-Emiliana Foquio-748.62
776069-Leonidas Mafra-2983.70
379918-Estanislau Beserra-10796.64
333945-Fulvio Villegas-18255.29
293669-Carminda Morais-11260.96
932130-Letedcia Gago-21341.10
664132-Melinda Roserio-21389.81
865985-Taercio Mafra-13830.86
484389-Jonatas Felgueiras-10214.58
715597-Edgar Carvalheiro-4414.72
194133-Carminda Morais-2215.58
737767-Delfina Perdigon-3573.34
256277-Melinda Roserio-14557.14
585216-Micaela Chavez-18750.48
300962-Angilica Galante-1218.58
338333-Angilica Galante-7697.90
836790-Romo Paranage-9574.54
935754-Quintino Alcantara-19603.20
225200-Gaudancio Fiees-14743.21
333656-Oliveira Senchez-12385.53
614289-Clarindo Areosa-472.63
756708-Feledcia Peassego-13760.01
785789-Delfina Garcia de Gondim-18882.57
479106-Lurdes Cotrim-8073.59
218223-Marilda Leio-2831.76
53031-Ubaldo Mainha-3735.15
514338-Antonio Castelo-9793.51
989372-Armanda Amorim-18502.87
550202-Almor Caiado-20125.12
568548-Ubaldo Mainha-4043.62
575376-Cassandra Varejo-15879.77
140151-Melinda Roserio-13432.50
38944-Sofras Cuaresma-21160.36
651673-Clarindo Areosa-6910.31
344986-Oliveira Carmona-10412.49
379849-Liana Cardim-21453.02
721096-Silvio Mata-18423.33
516507-Mercia Caeira-1238.39
664771-Heleedsa Marins-5203.89
133927-Tabalipa Duarte-19059.57
155922-Augusta Paio-4270.49
957595-Jussara Varanda-6001.89
760359-Sofras Cuaresma-6352.28
336845-Cassandra Varejo-19878.80
272268-Dulce Froes-907.41
900294-Odilia Camello-15081.21
42905-Andreia Moita-5673.58
536891-Anfnia Seixas-3733.91
834359-Basilio Pedroso-7390.56
160508-Clarindo Areosa-9911.90
848996-Angelica Aranha-2208.62
30464-Eurico Siqueira-6228.20
977971-Odete Vasques-14255.80
960956-Oliveira Senchez-2224.33
491229-Micaela Chavez-21157.06
270660-Aludsio Sosa-9461.22
384986-Flamednia Leiria-13821.65
832191-Tarrataca Soares-1082.19
118001-Angilica Galante-11220.53
308969-Almor Caiado-21412.13
457292-Clara Alcantara-14225.79
171050-Emedlio Pimentel-5541.26
74042-Manuel Capiperibe-8791.04
205214-Edgar Carvalheiro-2185.81
732589-Clarindo Areosa-14110.72
1155-Anind Zarco-12028.59
907111-Henrique Bento-17392.44
171555-Sidfnio Frois-5675.93
827344-Quintiliano Sousa de Arronches-21067.11
55603-Dulce Froes-4345.36
473907-Elisa Themes-17519.93
754529-Zungela Ipiranga-436.81
371418-Tabalipa Duarte-2047.55
568580-Emiliana Foquio-7229.60
199212-Anfnia Seixas-14386.92
51935-Heleedsa Marins-2952.10
543395-Oliveira Carmona-9481.17
200146-Tibofarcio Camacho-18172.89
75430-Lurdes Cotrim-11286.32
519960-Adelina Quadros-17686.88
694243-Sara Lameiras-4336.78
963628-Basilio Pedroso-16394.33
358579-Tibefarcio Colao-17138.04
857067-Elisa Themes-20823.73
936402-Armanda Amorim-8200.88
604163-Zulmira Becerra-426.57
647364-Guida Juca-6962.00
934639-Joaquim Rufino-20154.00
330882-Adelino Barra-19609.92
437744-Angelica Aranha-16550.28
596896-Branco Saraba-10912.39
265632-Antonio Viegas-16922.03
98648-Celeste Duarte-18645.61
