277435-Henrique Bento-14546.75
264992-Flamednia Leiria-16481.54
659535-Polibe Olivares-18496.83
531785-Letedcia Gago-15287.54
289822-Odilia Camello-15927.80
478083-Adelino Barra-16476.42
371727-Melinda Roserio-20849.32
971387-Filomena Barrios-6830.07
286748-Heleedsa Marins-8738.44
138045-Branco Saraba-10739.02
604054-Sidfnio Frois-1706.96
188305-Guida Juca-14559.61
143048-Telma Villalobos-9311.37
928525-Marilda Leio-5171.85
498834-Esperada Cardoso-15824.75
424859-Jorgina Bogalho-13114.69
905860-Estanislau Beserra-4893.57
213276-Manuel Capiperibe-2188.45
713770-Celeste Duarte-576.48
402520-Jussara Varanda-273.03
757437-Delfim Higuera-2029.07
303373-Eurico Siqueira-12040.95
519074-Tibofarcio Camacho-2947.54
417464-Delfina Garcia de Gondim-221.99
102979-Eurico Siqueira-11456.98
568570-Emedlia Silvera-15621.23
676023-Anfnia Seixas-14235.45
748415-Oliveira Carmona-5382.75
828177-Tabalipa Duarte-11749.89
268051-Zungela Ipiranga-2039.07
610158-Micaela Chavez-18626.65
648285-Emedlia Silvera-11634.85
647425-Angelica Aranha-19020.04
299817-Judite Damasceno-16329.38
653597-Tabalipa Duarte-18850.40
482237-Rodolfo Paz-21036.09
296524-Emiliana Foquio-17888.01
468185-Neuza Francia-8780.66
484960-Cassandra Varejo-544.11
149948-Flor Portella-1916.79
117548-Letedcia Gago-2162.89
991813-Urbano Rodrigues-2989.37
477400-Anfnia Seixas-18955.85
717359-Spnia ou Sonia Guerreiro-16424.01
156565-Urbano Rodrigues-565.71
293854-Oliveira Senchez-8680.53
70435-Delfina Perdigon-10933.50
908522-Zungela Ipiranga-12218.18
21390-Zulmira Becerra-14723.03
639162-Guida Juca-19024.53
648006-Anind Zarco-3920.86
354415-Adelino Barra-14390.78
545412-Odilia Bello-19525.56
256421-Lina Andrade-797.89
421260-Zulmira Becerra-1379.46
626556-Daniel Vieyra-11252.40
473583-Cleusa Goes-3088.27
638365-Lurdes Cotrim-12597.35
352964-Leonidas Mafra-2212.73
994614-Joaquim Rufino-5159.12
315014-Ximena Castilho-2000.76
924322-Aludsio Sosa-11364.31
987175-Marilda Leio-1934.93
634648-Rodolfo Paz-14207.49
199260-Melinda Roserio-86.87
334610-Judite Damasceno-21373.13
522935-Rebeca Neto-13203.03
577112-Quintino Alcantara-14939.42
448973-Mercia Caeira-13888.11
139832-Camila Gabeira-10593.22
799636-Delfim Higuera-6971.53
545933-Almor Caiado-5185.94
886889-Tibefarcio Colao-8225.81
299904-Almerinda Palmeira-13572.16
985985-Cleusa Goes-16174.15
134402-Jussara Varanda-16597.49
39008-Clara Alcantara-2047.89
253887-Jorgina Bogalho-4933.66
720265-Heleedsa Marins-15998.15
459532-Manuel Capiperibe-7014.71
627202-Telma Villalobos-18482.71
354929-Tibofarcio Camacho-11373.33
29832-Cassandra Varejo-77.36
197324-Fulvio Villegas-4120.36
630178-Sara Lameiras-2825.38
749655-Dulce Froes-19046.73
698662-Artur Grillo-21087.12
950784-Antonio Viegas-12034.82
660738-Dulce Froes-4487.19
697839-Sidfnio Frois-656.95
56701-Daniel Vieyra-5703.22
85043-Honorina Lira-151.93
707187-Mercia Caeira-16842.23
910307-Tabalipa Duarte-14759.37
845405-Gaudancio Fiees-8110.83
195388-Leonidas Mafra-18458.33
327571-Quintino Alcantara-2750.48
732185-Sofras Cuaresma-17139.99
19047-Lurdes Cotrim-12141.76
120778-Neeamia Arruda-1643.90
