909170-Flor Portella-10477.68
887450-Flamednia Leiria-18120.91
636200-Telma Villalobos-863.74
477388-Domingos Pas-10226.69
87545-Edgar Carvalheiro-19233.40
752844-Quintiliano Sousa de Arronches-1887.92
190992-Heleedsa Marins-10543.74
723161-Taercio Mafra-1651.61
858453-Oliveira Senchez-11850.50
586850-Leonidas Mafra-5007.93
772074-Aludsio Sosa-8547.02
333670-Fulvio Villegas-16355.90
410013-Neuza Francia-12917.42
405404-Armanda Amorim-6427.36
829986-Ermelinda Quintela-13988.24
240370-Regina Barcellos-1630.93
695547-Anind Zarco-19212.84
776048-Honorina Lira-4825.23
830442-Antonio Viegas-5283.82
874617-Taercio Mafra-17069.69
452676-Heleedsa Marins-9762.57
315132-Angelica Aranha-13415.91
268778-Augusta Paio-9805.17
112798-Armindo Castalo-7554.39
626210-Angilica Galante-16962.69
996047-Gaudancio Fiees-20695.09
157928-Delfina Perdigon-11947.21
210588-Oliveira Carmona-12144.97
424491-Odete Vasques-13663.28
688001-Odete Vasques-16302.02
744596-Fulvio Villegas-4051.71
19797-Filomena Barrios-8864.86
401056-Joaquim Rufino-5912.71
524571-Nuno Balsemeo-17533.84
900436-Oliveira Carmona-11005.27
99844-Guida Juca-5560.39
391990-Neeamia Arruda-3087.13
484220-Tibofarcio Camacho-14129.24
616046-Aludsio Sosa-18863.49
129569-Silvio Mata-7665.53
611641-Flor Portella-7018.14
867038-Silvio Mata-3993.50
713080-Angilica Galante-14947.51
592484-Quintiliano Sousa de Arronches-9847.92
427006-Leonidas Mafra-16596.92
530280-Telma Villalobos-6233.09
659028-Henrique Bento-1862.17
25150-Zulmira Becerra-1222.18
888341-Tarrataca Soares-9138.33
595397-Emiliana Foquio-9419.63
504583-Oliveira Senchez-19135.75
101279-Moaci Mendoa-5099.58
184266-Melinda Roserio-2201.88
55025-Emiliana Foquio-20247.80
310002-Trajano Fagundes-2367.23
608112-Ubaldo Mainha-8472.54
945402-Eurico Siqueira-16309.13
996152-Letedcia Gago-16349.38
487302-Odilia Bello-20738.26
843344-Andreia Moita-189.38
752278-Domingos Pas-13954.43
475054-Taercio Mafra-1660.60
64172-Flamednia Leiria-15122.44
404336-Polibe Olivares-17303.00
52823-Augusta Paio-4261.26
393716-Emedlia Silvera-8477.34
559563-Emedlio Pimentel-14036.79
942356-Silvio Mata-2551.92
542665-Quintino Alcantara-9626.79
976538-Neuza Francia-11175.23
889895-Feledcia Peassego-14862.75
894377-Fulvio Villegas-6232.66
857024-Neuza Francia-10753.30
7267-Augusta Paio-422.51
453943-Micaela Chavez-6563.04
624058-Delfina Garcia de Gondim-2822.14
564246-Fulvio Villegas-16907.73
417182-Artur Grillo-7732.32
724368-Esperada Cardoso-19467.75
374147-Judite Damasceno-18302.68
961915-Adelino Barra-13656.74
508608-Adelino Barra-3190.85
599153-Danilo Olaio-13479.42
966873-Spnia ou Sonia Guerreiro-3774.65
634089-Odete Vasques-15799.19
943506-Clarindo Areosa-8970.60
470534-Telma Villalobos-13236.24
709631-Artur Grillo-1955.58
140598-Jussara Varanda-12952.82
250736-Silvio Mata-2541.72
883391-Melinda Roserio-13861.34
307192-Carminda Morais-17916.43
513545-Zungela Ipiranga-16367.58
50271-Heleedsa Marins-2862.42
838058-Tibofarcio Camacho-16178.76
446081-Ubaldo Mainha-17628.19
751704-Trajano Fagundes-15688.06
347195-Daniel Vieyra-2920.32
691261-Quintiliano Sousa de Arronches-3351.73
326568-Quintiliano Sousa de Arronches-5134.23
