617219-Henrique Bento-7795.17
902484-Taercio Mafra-11021.02
382052-Clara Alcantara-2063.57
340543-Zulmira Becerra-4477.92
510877-Domingos Pas-17585.87
891251-Eurico Siqueira-6164.89
698718-Antonio Viegas-1487.18
370211-Angilica Galante-5576.51
472113-Almor Caiado-15031.98
696138-Celeste Duarte-6523.28
353008-Trajano Fagundes-4624.61
920258-Neeamia Arruda-19173.64
640505-Henrique Bento-16472.62
736279-Micaela Chavez-15331.19
725377-Emedlia Silvera-15886.30
455907-Nuno Balsemeo-11140.38
63000-Tarrataca Soares-7562.53
813410-Armanda Amorim-13446.23
132369-Moaci Mendoa-6266.11
301873-Odete Vasques-14273.08
857546-Guida Juca-3531.77
929840-Lurdes Cotrim-21420.97
620061-Quintino Alcantara-9852.54
151312-Telma Villalobos-10199.90
991277-Delfim Higuera-15927.16
934865-Cassandra Varejo-11606.88
367035-Dulce Froes-18617.51
33576-Andreia Moita-7720.81
834689-Tibefarcio Colao-8572.13
350555-Neeamia Arruda-12295.15
710679-Jussara Varanda-13123.73
15927-Joaquim Rufino-18853.02
717840-Jorgina Bogalho-19029.22
682118-Silvio Mata-15715.90
798360-Ubaldo Mainha-13390.98
28387-Armanda Amorim-8165.49
328859-Rodolfo Paz-6204.32
365790-Lina Andrade-8994.66
58447-Lurdes Cotrim-638.17
846239-Romo Paranage-17641.68
974361-Almerinda Palmeira-2103.95
763116-Manuel Capiperibe-1599.27
165468-Sidfnio Frois-13826.45
338274-Branco Saraba-12308.43
17812-Edgar Carvalheiro-12376.42
413107-Armanda Amorim-8441.86
496420-Edgar Carvalheiro-11645.15
363453-Polibe Olivares-8073.97
311266-Lurdes Cotrim-11174.56
472227-Jorgina Bogalho-5738.18
664561-Daniel Vieyra-6037.93
229464-Oliveira Senchez-15605.56
129478-Camila Gabeira-12912.38
951962-Quintino Alcantara-7810.92
880932-Honorina Lira-10501.10
907664-Antonio Castelo-15435.23
999729-Romo Paranage-12745.36
40513-Flor Portella-21048.99
30889-Angelica Aranha-5117.27
354602-Angilica Galante-16471.99
845855-Neeamia Arruda-2983.80
248032-Zungela Ipiranga-20726.10
577060-Henrique Bento-2652.55
550778-Oliveira Senchez-10742.07
884008-Melinda Roserio-17760.88
858759-Anfnia Seixas-15625.12
536122-Quintiliano Sousa de Arronches-12500.28
244957-Zungela Ipiranga-14590.69
351053-Spnia ou Sonia Guerreiro-9416.16
912859-Judite Damasceno-19089.71
292966-Sara Lameiras-18303.33
982087-Delfim Higuera-9160.97
743339-Henrique Bento-14736.74
742189-Tabalipa Duarte-5907.42
349617-Andreia Moita-16456.26
67081-Tibofarcio Camacho-15810.01
307690-Leonidas Mafra-12410.53
116920-Silvio Mata-17902.98
825519-Angilica Galante-18886.49
777459-Domingos Pas-5060.78
928613-Lurdes Cotrim-3638.88
459896-Cleusa Goes-20658.70
633476-Zungela Ipiranga-7301.29
546126-Joaquim Rufino-19428.72
698866-Micaela Chavez-427.38
423572-Esperada Cardoso-3748.05
693315-Esperada Cardoso-1876.29
991474-Taercio Mafra-7557.46
874912-Aludsio Sosa-20365.71
374520-Oliveira Carmona-2468.65
877602-Manuel Capiperibe-13287.94
713663-Tarrataca Soares-12857.70
647087-Jonatas Felgueiras-429.20
771286-Melinda Roserio-129.82
153390-Tarrataca Soares-1226.81
161056-Guaraci Damasceno-6.21
685746-Urbano Rodrigues-12093.14
779936-Micaela Chavez-7038.22
172231-Angelica Aranha-20906.97
730035-Andreia Moita-20165.88
882561-Nuno Balsemeo-2429.82
