839709-Mercia Caeira-2204.72
287412-Cleusa Goes-16557.56
617041-Emedlio Pimentel-11987.58
800827-Melinda Roserio-10486.30
79039-Carminda Morais-2091.07
4935-Oliveira Carmona-19581.88
474422-Melinda Roserio-4504.02
364686-Nuno Balsemeo-2300.84
56849-Honorina Lira-8413.20
814459-Odilia Camello-10752.21
759749-Ermelinda Quintela-15040.61
825816-Odete Vasques-4318.65
318692-Fulvio Villegas-12514.82
515180-Neuza Francia-6407.99
583545-Oliveira Senchez-11888.78
509616-Ermelinda Quintela-5884.00
311590-Jonatas Felgueiras-11558.74
773154-Regina Barcellos-2837.55
919977-Artur Grillo-6058.12
520980-Liana Cardim-16746.26
588306-Micaela Chavez-5639.02
127595-Sara Lameiras-19647.28
939318-Taercio Mafra-21070.47
508563-Elisa Themes-21325.62
224183-Manuel Capiperibe-6536.62
46910-Delfim Higuera-9931.72
58147-Moaci Mendoa-3890.00
987256-Tibofarcio Camacho-2132.89
636-Moaci Mendoa-287.25
850402-Jorgina Bogalho-19712.46
921713-Tabalipa Duarte-13463.51
54278-Tibefarcio Colao-5219.95
568213-Tabalipa Duarte-11539.34
80560-Melinda Roserio-1459.59
875793-Silvio Mata-6941.83
582007-Oliveira Senchez-8602.30
171434-Jussara Varanda-4548.05
151200-Filomena Barrios-20757.92
885992-Letedcia Gago-16583.09
949010-Andreia Moita-436.76
638363-Antonio Castelo-4545.98
746504-Armanda Amorim-1001.68
582896-Dulce Froes-15597.36
498936-Micaela Chavez-17898.17
977100-Emiliana Foquio-14312.09
633638-Lurdes Cotrim-16727.91
461814-Tabalipa Duarte-9554.79
289569-Clara Alcantara-4351.46
922763-Fulvio Villegas-3955.49
765021-Nuno Balsemeo-14424.98
886378-Anind Zarco-9556.52
358790-Quintiliano Sousa de Arronches-16463.99
826202-Armanda Amorim-11844.98
744286-Angelica Aranha-16769.97
621603-Gaudancio Fiees-9614.91
682338-Feledcia Peassego-18391.24
489751-Oliveira Carmona-10081.02
101991-Anind Zarco-10049.08
506314-Silvio Mata-20428.31
252411-Delfim Higuera-20031.12
674333-Dulce Froes-7095.15
177441-Tibofarcio Camacho-16558.74
365071-Zungela Ipiranga-10692.17
805435-Tibofarcio Camacho-1034.77
62741-Spnia ou Sonia Guerreiro-10520.99
45487-Clara Alcantara-3142.98
335680-Odete Vasques-8977.87
104755-Taercio Mafra-11098.89
536615-Regina Barcellos-8789.12
517254-Estanislau Beserra-18631.64
995681-Polibe Olivares-19588.39
642964-Jonatas Felgueiras-16205.33
689255-Esperada Cardoso-9484.14
750154-Leonidas Mafra-15022.19
324597-Elisa Themes-7767.98
906036-Guaraci Damasceno-2033.60
611759-Armanda Amorim-14546.96
936282-Cassandra Varejo-11913.17
169176-Flamednia Leiria-19958.54
749556-Delfina Garcia de Gondim-21163.71
958795-Guaraci Damasceno-8478.83
683272-Liana Cardim-12935.26
798128-Filomena Barrios-8047.32
645918-Armanda Amorim-5659.98
970928-Clarindo Areosa-1068.39
394761-Oliveira Carmona-3887.45
116108-Leonidas Mafra-11033.57
141072-Guida Juca-11112.93
55293-Almerinda Palmeira-14174.62
397788-Manuel Capiperibe-19172.12
904616-Jussara Varanda-3186.87
282815-Lina Andrade-16263.70
193474-Cleusa Goes-10536.85
518016-Filomena Barrios-18173.30
94580-Anfnia Seixas-18733.02
953204-Armindo Castalo-1262.13
688430-Delfim Higuera-11853.29
635940-Odilia Bello-16534.70
900489-Gaudancio Fiees-4930.41
535043-Polibe Olivares-7304.39
