983827-Esperada Cardoso-6673.52
493765-Leonidas Mafra-14314.43
685732-Telma Villalobos-3581.74
874700-Neeamia Arruda-6422.12
266987-Tibefarcio Colao-5193.07
8963-Silvio Mata-18995.32
667659-Lurdes Cotrim-4002.89
406046-Melinda Roserio-8090.08
467931-Eurico Siqueira-19863.45
584682-Elisa Themes-2098.33
457097-Tibofarcio Camacho-9338.17
55936-Celeste Duarte-11513.10
954046-Tabalipa Duarte-14609.96
936-Esperada Cardoso-17548.71
23757-Melinda Roserio-11376.54
247549-Guaraci Damasceno-1231.79
346488-Ubaldo Mainha-10058.47
64949-Estanislau Beserra-11572.53
240365-Feledcia Peassego-14437.21
449605-Celeste Duarte-17763.06
808090-Rodolfo Paz-5582.79
518582-Jorgina Bogalho-3198.52
188555-Antonio Viegas-15128.05
32995-Mercia Caeira-7523.23
89634-Antonio Castelo-16093.47
969950-Clara Alcantara-12011.11
382097-Feledcia Peassego-14754.57
599645-Letedcia Gago-9280.38
825236-Jorgina Bogalho-10442.79
911929-Sidfnio Frois-9642.45
831403-Armanda Amorim-4855.69
567484-Delfina Garcia de Gondim-2756.04
130289-Filomena Barrios-17657.93
205551-Tibefarcio Colao-10193.42
151618-Honorina Lira-8259.48
268181-Armanda Amorim-17049.18
564204-Anfnia Seixas-12608.16
223697-Liana Cardim-20414.16
136354-Clara Alcantara-5607.58
770108-Taercio Mafra-9526.69
742344-Letedcia Gago-12795.01
993808-Jorgina Bogalho-3275.85
96788-Letedcia Gago-13957.15
5330-Anfnia Seixas-16499.21
753074-Taercio Mafra-6975.88
363777-Romo Paranage-18238.57
84990-Mercia Caeira-8569.37
779551-Heleedsa Marins-9501.61
28763-Mercia Caeira-11132.97
556637-Moaci Mendoa-6425.84
329132-Neeamia Arruda-13143.26
187041-Jussara Varanda-15393.20
132594-Dulce Froes-16374.17
903404-Antonio Castelo-9739.38
16113-Anfnia Seixas-3012.08
76707-Eurico Siqueira-12285.71
571489-Delfina Garcia de Gondim-6621.73
398908-Lina Andrade-774.69
158609-Zungela Ipiranga-4024.98
675828-Gaudancio Fiees-5340.54
862495-Tarrataca Soares-14363.83
66364-Tabalipa Duarte-14475.70
854919-Delfim Higuera-8432.19
874803-Urbano Rodrigues-13891.23
331566-Flamednia Leiria-19571.39
376827-Basilio Pedroso-12257.32
795119-Domingos Pas-8998.20
150647-Adelina Quadros-927.35
667108-Rodolfo Paz-8458.94
513559-Adelina Quadros-15725.69
427406-Almerinda Palmeira-10779.48
183695-Taercio Mafra-6415.31
776236-Sidfnio Frois-5909.02
785463-Danilo Olaio-1742.93
249412-Elisa Themes-10416.25
921155-Zungela Ipiranga-17430.02
680823-Jussara Varanda-19547.97
613406-Odilia Bello-3864.64
14806-Henrique Bento-1356.47
913788-Aludsio Sosa-1681.61
383340-Leonidas Mafra-11265.88
236242-Oliveira Senchez-302.88
175888-Melinda Roserio-5660.65
334872-Lina Andrade-763.66
132950-Nuno Balsemeo-16826.16
586235-Liana Cardim-13910.53
771435-Neuza Francia-4302.51
292742-Cleusa Goes-16098.64
32714-Eurico Siqueira-7123.95
699016-Augusta Paio-2878.25
934773-Heleedsa Marins-8702.09
118831-Quintino Alcantara-17484.45
350258-Flamednia Leiria-751.37
483975-Clarindo Areosa-9884.72
911135-Neuza Francia-15826.05
963306-Neuza Francia-16671.91
50017-Ubaldo Mainha-3204.79
933685-Quintiliano Sousa de Arronches-5897.72
281309-Neeamia Arruda-4203.21
792701-Heleedsa Marins-6580.20
