353302-Jussara Varanda-12793.97
699768-Estanislau Beserra-18556.06
351132-Emedlio Pimentel-20650.96
115932-Guida Juca-13618.83
834219-Jorgina Bogalho-1530.11
783846-Flor Portella-15422.58
314301-Quintiliano Sousa de Arronches-18742.59
244237-Fulvio Villegas-11434.13
320181-Telma Villalobos-13873.07
434874-Emedlio Pimentel-4662.30
327120-Almor Caiado-7405.83
538027-Lina Andrade-12052.83
968118-Carminda Morais-17316.34
49207-Antonio Castelo-902.66
547807-Romo Paranage-16781.00
954261-Spnia ou Sonia Guerreiro-6904.01
98405-Tarrataca Soares-13547.15
111634-Regina Barcellos-16619.59
528579-Silvio Mata-17492.79
834321-Lurdes Cotrim-13432.31
746209-Silvio Mata-5170.74
55013-Regina Barcellos-16896.12
485973-Letedcia Gago-3950.97
45444-Mercia Caeira-8181.46
487756-Heleedsa Marins-11556.94
941138-Quintiliano Sousa de Arronches-6421.64
169278-Leonidas Mafra-5477.79
656467-Quintiliano Sousa de Arronches-13528.91
589399-Quintiliano Sousa de Arronches-7739.36
312586-Honorina Lira-9447.70
298299-Heleedsa Marins-10155.16
350786-Clara Alcantara-1180.87
202518-Moaci Mendoa-1080.90
204627-Neeamia Arruda-9031.35
473047-Delfina Garcia de Gondim-17176.23
841996-Honorina Lira-5570.81
128025-Regina Barcellos-11112.50
645435-Taercio Mafra-9594.23
122112-Tabalipa Duarte-12450.12
394589-Aludsio Sosa-12078.41
414092-Rodolfo Paz-13141.39
507741-Odete Vasques-1570.06
729916-Silvio Mata-10892.09
48734-Gaudancio Fiees-15474.13
513404-Artur Grillo-16218.87
188084-Celeste Duarte-8432.45
27035-Letedcia Gago-20493.73
161367-Lurdes Cotrim-1525.35
186362-Basilio Pedroso-11096.57
146950-Anfnia Seixas-2275.68
393806-Heleedsa Marins-9969.82
156787-Delfina Garcia de Gondim-17874.90
523610-Polibe Olivares-21412.20
463897-Adelina Quadros-3057.85
55795-Clarindo Areosa-13942.98
787062-Taercio Mafra-1200.02
598835-Telma Villalobos-14200.29
660392-Clara Alcantara-15471.91
660905-Moaci Mendoa-18543.77
189773-Honorina Lira-9680.41
559582-Rodolfo Paz-19804.34
68632-Jorgina Bogalho-16121.08
100412-Eurico Siqueira-21286.31
341088-Manuel Capiperibe-14906.11
511641-Tabalipa Duarte-6011.83
85116-Henrique Bento-11779.71
903511-Adelina Quadros-16305.69
611201-Branco Saraba-9227.46
853623-Urbano Rodrigues-139.23
269241-Daniel Vieyra-1491.13
252645-Armindo Castalo-3886.73
217926-Feledcia Peassego-20467.41
189179-Rebeca Neto-9853.58
896320-Artur Grillo-4412.16
388082-Guida Juca-19617.27
694223-Trajano Fagundes-7263.29
2825-Cleusa Goes-18732.32
340925-Guida Juca-10093.60
902594-Domingos Pas-4347.30
841490-Ermelinda Quintela-12589.99
820916-Oliveira Carmona-15622.52
267381-Urbano Rodrigues-1939.86
821322-Delfina Perdigon-10891.75
39053-Almor Caiado-20940.71
351767-Nuno Balsemeo-13669.76
880668-Angelica Aranha-3021.86
863761-Adelina Quadros-11671.89
448937-Adelina Quadros-10870.46
780238-Cleusa Goes-16089.49
34920-Feledcia Peassego-2923.07
402757-Honorina Lira-2526.44
443331-Tibofarcio Camacho-13229.12
741627-Liana Cardim-8202.49
914409-Zungela Ipiranga-8732.88
302764-Oliveira Carmona-8251.56
934687-Odete Vasques-12770.37
895293-Taercio Mafra-12594.17
604445-Guaraci Damasceno-2553.83
673346-Taercio Mafra-13351.63
988322-Dulce Froes-2177.14
