329913-Quintino Alcantara-2531.12
568213-Joaquim Rufino-18528.84
177837-Esperada Cardoso-6812.61
260132-Artur Grillo-19047.04
800773-Emedlio Pimentel-19368.19
214936-Ermelinda Quintela-12389.62
830708-Emedlio Pimentel-3954.11
212060-Angilica Galante-9204.87
94890-Oliveira Senchez-11815.06
684740-Spnia ou Sonia Guerreiro-18494.97
51676-Esperada Cardoso-11343.43
316555-Emedlio Pimentel-9614.28
536407-Tarrataca Soares-20376.06
560097-Odete Vasques-11733.82
865111-Emedlio Pimentel-4426.99
7147-Leonidas Mafra-1184.31
693436-Carminda Morais-3492.61
933572-Tarrataca Soares-15974.73
454232-Basilio Pedroso-7810.85
677607-Armindo Castalo-12747.69
260995-Oliveira Senchez-17478.21
473185-Henrique Bento-7066.54
569222-Artur Grillo-977.07
926411-Manuel Capiperibe-8702.67
20034-Sidfnio Frois-18541.32
932470-Ubaldo Mainha-14116.55
323181-Artur Grillo-20153.49
124552-Fulvio Villegas-13457.99
413041-Mercia Caeira-16372.53
724309-Rodolfo Paz-10504.47
48974-Odete Vasques-7642.24
716949-Branco Saraba-10316.97
329151-Clara Alcantara-15582.67
63417-Polibe Olivares-8777.09
179879-Telma Villalobos-8947.29
995664-Jonatas Felgueiras-13986.62
758411-Leonidas Mafra-14809.85
782477-Sidfnio Frois-15371.10
279922-Tibofarcio Camacho-3400.39
378341-Anfnia Seixas-12187.63
246122-Clara Alcantara-17278.12
967646-Odilia Bello-8540.46
826763-Trajano Fagundes-17063.75
908937-Delfina Garcia de Gondim-20274.38
257913-Gaudancio Fiees-8431.35
255156-Silvio Mata-7436.47
907812-Angilica Galante-18474.05
942022-Delfina Garcia de Gondim-2087.04
775006-Filomena Barrios-17199.84
377349-Branco Saraba-7198.78
426658-Moaci Mendoa-6306.41
216632-Melinda Roserio-10526.08
704105-Micaela Chavez-5449.52
974650-Sara Lameiras-13528.61
954678-Regina Barcellos-516.35
180576-Gaudancio Fiees-6428.90
68462-Clara Alcantara-2433.14
457869-Polibe Olivares-8682.56
473349-Joaquim Rufino-17160.31
527943-Odilia Camello-1289.25
862312-Branco Saraba-14523.51
9078-Liana Cardim-80.85
717894-Melinda Roserio-11227.89
801559-Angelica Aranha-20597.63
356194-Artur Grillo-15492.34
45327-Delfina Perdigon-4859.31
380973-Letedcia Gago-2685.16
637895-Angelica Aranha-2304.90
598571-Artur Grillo-19089.64
59275-Odilia Bello-13490.08
398349-Eurico Siqueira-19168.70
894618-Eurico Siqueira-10453.96
999378-Gaudancio Fiees-17361.13
55742-Jorgina Bogalho-14004.31
489001-Tibofarcio Camacho-20657.88
557067-Angelica Aranha-2803.49
31448-Emedlia Silvera-10827.30
303605-Ermelinda Quintela-20253.68
348264-Ermelinda Quintela-11694.83
424078-Sofras Cuaresma-2350.59
941102-Fulvio Villegas-20894.57
809642-Sara Lameiras-9208.68
279035-Neuza Francia-20768.67
537033-Micaela Chavez-18074.39
558286-Jonatas Felgueiras-14654.45
846530-Oliveira Carmona-11025.18
65988-Micaela Chavez-13615.50
801475-Almor Caiado-3383.70
27212-Micaela Chavez-10487.18
732902-Almor Caiado-9136.58
446487-Feledcia Peassego-621.16
62984-Zulmira Becerra-20939.26
558767-Sofras Cuaresma-5747.21
200788-Mercia Caeira-9222.58
790605-Adelino Barra-9013.33
168061-Almor Caiado-20611.79
894835-Andreia Moita-5927.61
868252-Armanda Amorim-10595.63
726207-Emedlio Pimentel-15445.90
583625-Esperada Cardoso-18093.23
