821503-Guida Juca-11301.05
982521-Ubaldo Mainha-6500.20
564058-Trajano Fagundes-19541.41
598013-Ubaldo Mainha-20906.89
647037-Feledcia Peassego-4065.07
221897-Augusta Paio-5292.79
840055-Tarrataca Soares-2866.86
123308-Basilio Pedroso-20359.24
689628-Guida Juca-5419.89
838923-Mercia Caeira-21172.54
834324-Mercia Caeira-4625.92
327472-Flor Portella-180.91
113819-Urbano Rodrigues-15106.55
29113-Guaraci Damasceno-1027.69
93208-Heleedsa Marins-13884.16
559401-Telma Villalobos-4511.54
104616-Quintino Alcantara-2755.11
222458-Silvio Mata-14066.34
677274-Silvio Mata-5818.40
110722-Domingos Pas-20816.79
865141-Quintiliano Sousa de Arronches-110.30
240761-Zulmira Becerra-10383.57
120305-Delfina Garcia de Gondim-12014.71
173154-Odilia Bello-13965.00
431953-Judite Damasceno-10351.10
681403-Emedlio Pimentel-13916.69
725993-Oliveira Carmona-2182.90
973423-Cassandra Varejo-2585.12
144709-Zungela Ipiranga-3121.90
304895-Adelino Barra-17933.00
751678-Delfim Higuera-9306.82
273855-Daniel Vieyra-10019.23
403005-Ubaldo Mainha-5095.59
186834-Danilo Olaio-14077.33
739706-Neeamia Arruda-14921.64
225012-Artur Grillo-11693.62
381001-Oliveira Senchez-9686.05
531375-Taercio Mafra-11765.78
832148-Spnia ou Sonia Guerreiro-16817.23
972947-Jussara Varanda-8785.44
309048-Micaela Chavez-8842.96
191127-Spnia ou Sonia Guerreiro-140.86
913952-Augusta Paio-4334.89
140400-Heleedsa Marins-15056.76
866878-Sofras Cuaresma-11859.32
702948-Delfim Higuera-8626.73
724362-Marilda Leio-9870.54
35737-Odilia Camello-18345.86
859531-Trajano Fagundes-5169.34
389370-Anind Zarco-19109.07
219626-Adelino Barra-16557.32
248143-Adelino Barra-19099.23
199330-Liana Cardim-15643.54
709846-Zungela Ipiranga-18204.94
469195-Henrique Bento-19273.61
909332-Armindo Castalo-7725.80
228012-Delfina Perdigon-18953.05
634875-Cassandra Varejo-12188.57
652400-Lina Andrade-11492.33
392593-Zulmira Becerra-19986.22
676701-Sofras Cuaresma-12653.58
772754-Henrique Bento-20276.06
954608-Cassandra Varejo-9923.22
625267-Telma Villalobos-8165.48
487919-Estanislau Beserra-7605.34
282269-Emedlia Silvera-1689.59
266034-Gaudancio Fiees-2111.87
303863-Fulvio Villegas-18558.22
443483-Polibe Olivares-19844.74
33395-Delfina Perdigon-1313.83
530194-Lina Andrade-14700.60
275631-Emiliana Foquio-4423.49
460833-Esperada Cardoso-13573.04
999754-Feledcia Peassego-3534.46
65496-Flamednia Leiria-10839.33
492235-Quintiliano Sousa de Arronches-4397.32
15623-Cleusa Goes-14309.98
843669-Ximena Castilho-7498.18
44814-Odete Vasques-2307.78
994942-Estanislau Beserra-3908.12
83423-Lina Andrade-9933.42
529883-Emedlia Silvera-15466.17
98817-Carminda Morais-18130.78
505908-Oliveira Carmona-12095.94
461001-Urbano Rodrigues-15566.60
949644-Estanislau Beserra-4866.68
397521-Neuza Francia-9196.84
548997-Lina Andrade-4560.44
522595-Spnia ou Sonia Guerreiro-3146.05
3418-Manuel Capiperibe-16446.00
351357-Rebeca Neto-22.00
275817-Rebeca Neto-9477.30
549553-Armindo Castalo-663.45
643524-Adelina Quadros-4978.51
182998-Emedlio Pimentel-9113.12
172246-Anind Zarco-20672.62
893537-Judite Damasceno-19871.75
612905-Nuno Balsemeo-8822.41
666917-Joaquim Rufino-6082.80
499056-Delfina Garcia de Gondim-10022.83
