307044-Nuno Balsemeo-3162.50
292598-Feledcia Peassego-19495.90
518273-Urbano Rodrigues-10979.07
562755-Basilio Pedroso-21172.04
702841-Micaela Chavez-5113.77
712905-Jorgina Bogalho-20926.16
884890-Quintino Alcantara-14249.56
535428-Regina Barcellos-9165.68
969735-Armanda Amorim-16307.44
983093-Armanda Amorim-20998.55
447878-Guaraci Damasceno-15426.78
221000-Trajano Fagundes-6764.87
785241-Heleedsa Marins-12900.05
648638-Elisa Themes-14805.68
15606-Emedlia Silvera-3497.87
170571-Esperada Cardoso-1100.17
690476-Ubaldo Mainha-8189.01
642555-Oliveira Carmona-3309.53
166135-Micaela Chavez-17159.23
626047-Jussara Varanda-16644.22
891612-Telma Villalobos-1603.87
407611-Danilo Olaio-4316.08
513705-Sidfnio Frois-12273.93
43254-Heleedsa Marins-7085.58
293087-Jussara Varanda-10275.74
436074-Camila Gabeira-15457.44
194613-Cleusa Goes-17634.35
425560-Leonidas Mafra-1335.93
224634-Delfim Higuera-12527.60
283900-Trajano Fagundes-10839.02
714255-Esperada Cardoso-19967.94
339097-Emedlio Pimentel-127.18
451024-Clarindo Areosa-13762.31
84660-Adelina Quadros-7427.91
286410-Emedlia Silvera-2296.00
791817-Feledcia Peassego-3480.36
313788-Odilia Bello-10432.31
737212-Manuel Capiperibe-15926.57
113870-Emedlia Silvera-7653.98
929849-Lina Andrade-1921.98
684594-Urbano Rodrigues-19729.12
309633-Flor Portella-12077.68
58669-Ximena Castilho-7207.35
716944-Anind Zarco-18018.20
933096-Angelica Aranha-16366.22
722731-Rebeca Neto-5749.30
772772-Melinda Roserio-8742.44
773697-Manuel Capiperibe-12059.81
368059-Ubaldo Mainha-19010.95
238347-Rebeca Neto-3805.42
10607-Odete Vasques-4562.26
92803-Armindo Castalo-1410.52
892548-Quintino Alcantara-20141.11
439897-Jonatas Felgueiras-8603.44
778106-Urbano Rodrigues-16832.77
716612-Judite Damasceno-12155.16
691491-Honorina Lira-10028.05
413708-Anfnia Seixas-6610.95
792470-Tabalipa Duarte-3239.80
85117-Branco Saraba-12442.18
575549-Eurico Siqueira-2107.45
494372-Guida Juca-13678.38
697037-Quintiliano Sousa de Arronches-4332.47
118216-Almerinda Palmeira-9306.87
391624-Clarindo Areosa-14554.65
287321-Oliveira Senchez-896.98
629827-Almor Caiado-14763.89
216578-Delfina Perdigon-2163.19
301139-Moaci Mendoa-496.28
481028-Almerinda Palmeira-17417.13
718797-Fulvio Villegas-11898.05
182689-Tibofarcio Camacho-3668.16
698689-Telma Villalobos-4805.13
325466-Emiliana Foquio-1041.48
329020-Emedlio Pimentel-10395.39
609743-Henrique Bento-6283.43
406718-Jonatas Felgueiras-15929.73
41773-Oliveira Carmona-5127.06
255902-Marilda Leio-7410.07
966220-Neeamia Arruda-20314.88
894722-Delfina Garcia de Gondim-4697.23
568367-Liana Cardim-8069.06
596311-Delfina Garcia de Gondim-10366.04
871101-Micaela Chavez-10254.46
832635-Rebeca Neto-16337.75
291723-Armindo Castalo-2499.01
932273-Delfim Higuera-2368.24
478482-Carminda Morais-4498.66
344056-Henrique Bento-15501.22
837819-Manuel Capiperibe-17140.88
561240-Clara Alcantara-384.99
89868-Cassandra Varejo-10290.68
950780-Angelica Aranha-17586.64
808308-Marilda Leio-5130.51
329726-Estanislau Beserra-3704.00
906657-Liana Cardim-6386.92
310070-Guida Juca-14076.24
718849-Antonio Castelo-20061.03
316868-Delfina Perdigon-5029.63
437971-Mercia Caeira-12428.01
563185-Delfim Higuera-16723.62
411307-Jussara Varanda-8339.69
681379-Gaudancio Fiees-12419.19
555738-Esperada Cardoso-12292.44
876201-Branco Saraba-9000.90
488140-Odete Vasques-12939.97
517651-Guaraci Damasceno-8918.23
855100-Jonatas Felgueiras-12865.42
574963-Oliveira Carmona-8433.75
416792-Lina Andrade-3033.30
863159-Esperada Cardoso-16978.93
325139-Sidfnio Frois-12018.20
338394-Marilda Leio-17695.02
48293-Henrique Bento-1425.74
293231-Mercia Caeira-16414.50
454901-Tarrataca Soares-14574.55
825024-Sofras Cuaresma-19879.72
303171-Rebeca Neto-13223.44
916880-Gaudancio Fiees-20579.19
493854-Sara Lameiras-14498.52
388266-Leonidas Mafra-12122.31
645004-Eurico Siqueira-13835.56
386641-Jorgina Bogalho-8454.11
47604-Andreia Moita-13564.59
468906-Anfnia Seixas-12822.69
496625-Angelica Aranha-9932.40
521066-Jussara Varanda-11280.65
368651-Almor Caiado-9468.85
274583-Mercia Caeira-3083.18
555729-Polibe Olivares-18628.12
682764-Flor Portella-4107.17
702522-Almor Caiado-19193.62
59014-Jonatas Felgueiras-7802.65
917268-Jussara Varanda-3828.28
865725-Ermelinda Quintela-19562.97
780586-Cassandra Varejo-21057.94
149993-Rebeca Neto-21253.15
7948-Antonio Viegas-7592.00
725903-Odilia Camello-14414.75
362471-Flamednia Leiria-7205.47
883499-Rebeca Neto-10472.29
635795-Odete Vasques-19719.32
944498-Letedcia Gago-4015.07
180706-Gaudancio Fiees-2529.41
392713-Taercio Mafra-16688.07
873750-Moaci Mendoa-19955.87
595070-Andreia Moita-5432.54
414402-Ubaldo Mainha-14472.62
602212-Cassandra Varejo-17349.88
624438-Oliveira Carmona-13168.66
974933-Tibefarcio Colao-16427.50
525612-Sofras Cuaresma-17773.86
470535-Fulvio Villegas-9568.46
679992-Odilia Bello-265.44
717939-Daniel Vieyra-3429.36
85985-Basilio Pedroso-10408.10
248051-Joaquim Rufino-9659.21
241556-Sidfnio Frois-12463.36
435151-Odete Vasques-6814.54
619771-Romo Paranage-17270.79
867497-Tibofarcio Camacho-19510.54
344742-Flor Portella-17640.96
270379-Zulmira Becerra-9380.83
703424-Liana Cardim-2532.79
77497-Emiliana Foquio-925.13
774674-Liana Cardim-2645.99
575542-Leonidas Mafra-7278.47
630094-Anind Zarco-14600.89
462630-Oliveira Carmona-10730.40
799053-Quintino Alcantara-10081.76
1835-Augusta Paio-19860.44
470827-Melinda Roserio-7589.05
841823-Joaquim Rufino-14461.75
59321-Elisa Themes-1543.95
820381-Andreia Moita-14314.73
34067-Manuel Capiperibe-5037.64
57778-Odete Vasques-15143.39
2936-Tabalipa Duarte-7114.86
800296-Anind Zarco-16899.48
52070-Adelina Quadros-18897.47
899048-Filomena Barrios-4802.66
316163-Daniel Vieyra-12517.36
345379-Eurico Siqueira-16865.78
973584-Regina Barcellos-5941.54
364417-Neuza Francia-1484.91
268523-Dulce Froes-6925.25
288237-Spnia ou Sonia Guerreiro-11195.82
155260-Esperada Cardoso-2481.02
111148-Nuno Balsemeo-14719.02
623757-Jonatas Felgueiras-11774.71
829209-Quintino Alcantara-10918.86
78651-Danilo Olaio-10187.18
749529-Henrique Bento-5745.80
112221-Guaraci Damasceno-6975.54
353801-Daniel Vieyra-16409.18
100822-Nuno Balsemeo-13497.03
95253-Trajano Fagundes-885.08
945340-Jonatas Felgueiras-7326.63
797530-Melinda Roserio-4472.90
598101-Guaraci Damasceno-3054.31
662457-Quintino Alcantara-13152.60
992435-Polibe Olivares-11678.55
575214-Judite Damasceno-6221.21
252616-Basilio Pedroso-11242.33
83963-Guida Juca-6811.03
405988-Judite Damasceno-7242.04
769110-Zulmira Becerra-17572.99
714755-Almor Caiado-9997.61
762211-Anind Zarco-13105.58
228128-Clara Alcantara-846.73
164575-Ximena Castilho-13593.35
503305-Polibe Olivares-13198.44
560481-Sidfnio Frois-12179.35
197836-Artur Grillo-5927.04
905304-Heleedsa Marins-383.05
47304-Judite Damasceno-18507.11
892359-Melinda Roserio-2799.96
761409-Artur Grillo-7407.11
777012-Guaraci Damasceno-13334.73
599372-Rodolfo Paz-13827.01
852246-Daniel Vieyra-20658.66
881196-Aludsio Sosa-1798.86
764872-Adelino Barra-10384.46
769157-Artur Grillo-9211.60
522623-Filomena Barrios-5255.82
379072-Antonio Viegas-14926.29
955678-Tabalipa Duarte-8770.38
347694-Celeste Duarte-9147.99
984108-Branco Saraba-1910.93
211508-Filomena Barrios-13006.92
595289-Feledcia Peassego-2540.61
346966-Gaudancio Fiees-5139.42
426270-Edgar Carvalheiro-11007.07
473823-Leonidas Mafra-4889.92
709537-Tabalipa Duarte-19505.15
766431-Oliveira Senchez-18714.10
50493-Celeste Duarte-9758.82
814481-Quintiliano Sousa de Arronches-10212.30
805854-Heleedsa Marins-8597.30
786824-Feledcia Peassego-18019.42
469166-Edgar Carvalheiro-17850.54
533807-Odete Vasques-209.17
405-Dulce Froes-21243.43
913089-Zungela Ipiranga-7233.33
986047-Flamednia Leiria-7055.59
640936-Antonio Viegas-21093.26
441411-Anind Zarco-3428.93
796185-Guaraci Damasceno-21287.07
950314-Guaraci Damasceno-17650.29
197163-Angilica Galante-5853.32
652456-Anfnia Seixas-21198.02
168441-Quintiliano Sousa de Arronches-19918.52
626312-Mercia Caeira-3813.69
790943-Rodolfo Paz-4742.82
464195-Ermelinda Quintela-10442.68
168690-Cleusa Goes-4694.25
283500-Aludsio Sosa-2423.83
797008-Camila Gabeira-12401.79
56908-Estanislau Beserra-826.46
47307-Sara Lameiras-12558.43
979715-Gaudancio Fiees-17654.95
998476-Neuza Francia-18656.64
934205-Ubaldo Mainha-20702.90
213172-Armanda Amorim-13325.97
341906-Delfina Perdigon-1415.78
29943-Rodolfo Paz-4477.46
560067-Ximena Castilho-19750.30
499123-Henrique Bento-14043.43
145242-Branco Saraba-19044.00
336981-Guaraci Damasceno-399.64
377516-Silvio Mata-19079.44
219662-Micaela Chavez-7034.58
946282-Letedcia Gago-7423.93
525078-Fulvio Villegas-20016.06
901842-Delfim Higuera-9094.64
546271-Adelina Quadros-3190.10
132005-Daniel Vieyra-1920.87
584102-Leonidas Mafra-8715.86
731453-Joaquim Rufino-1912.48
40722-Jorgina Bogalho-20635.85
676370-Celeste Duarte-6314.78
839908-Branco Saraba-1622.14
183425-Moaci Mendoa-5001.61
816883-Estanislau Beserra-20266.86
563928-Carminda Morais-9211.04
888755-Trajano Fagundes-3751.67
476407-Spnia ou Sonia Guerreiro-8582.99
94032-Jonatas Felgueiras-4653.99
571343-Mercia Caeira-4366.47
965247-Antonio Castelo-8546.88
806700-Odete Vasques-8278.80
624473-Gaudancio Fiees-21217.20
900690-Jonatas Felgueiras-1594.20
85908-Tibofarcio Camacho-13062.37
876947-Odilia Camello-4523.17
648418-Delfim Higuera-20342.06
913912-Sofras Cuaresma-571.99
782551-Henrique Bento-7912.93
753459-Neuza Francia-13458.64
455526-Anfnia Seixas-14778.29
774789-Clarindo Areosa-12271.52
56060-Gaudancio Fiees-3542.93
68059-Taercio Mafra-17101.94
240715-Daniel Vieyra-17422.80
615458-Tabalipa Duarte-3046.73
610484-Angelica Aranha-4543.21
255711-Edgar Carvalheiro-3627.52
715848-Tibofarcio Camacho-2220.51
574999-Flor Portella-9038.04
597319-Trajano Fagundes-4517.76
307180-Fulvio Villegas-9295.51
897304-Odete Vasques-8211.23
723950-Esperada Cardoso-2887.08
970544-Artur Grillo-19799.48
970321-Ermelinda Quintela-14790.80
287209-Quintino Alcantara-18546.91
326315-Sidfnio Frois-13344.63
564048-Tibefarcio Colao-7766.95
610791-Armanda Amorim-6467.86
521535-Letedcia Gago-13813.84
261528-Tibefarcio Colao-16876.91
186526-Tibofarcio Camacho-2461.04
