189714-Sidfnio Frois-6118.86
5142-Jonatas Felgueiras-2925.88
887067-Antonio Viegas-2579.17
14267-Andreia Moita-18084.71
330942-Flor Portella-20445.36
301390-Adelina Quadros-2631.37
115877-Clara Alcantara-13474.13
893915-Silvio Mata-4388.05
667849-Antonio Castelo-17278.14
342017-Tabalipa Duarte-6093.56
634428-Elisa Themes-20685.45
224513-Sara Lameiras-12770.67
126821-Estanislau Beserra-5554.70
204984-Zulmira Becerra-7504.85
344389-Quintiliano Sousa de Arronches-8608.16
341934-Emiliana Foquio-20031.17
399086-Heleedsa Marins-9437.49
38160-Marilda Leio-9151.59
281099-Danilo Olaio-12408.27
759510-Basilio Pedroso-16011.69
570350-Celeste Duarte-19758.04
267183-Neuza Francia-16985.45
552466-Silvio Mata-8531.88
754506-Cassandra Varejo-9063.93
460856-Urbano Rodrigues-7702.53
703433-Augusta Paio-7641.12
83167-Manuel Capiperibe-14835.11
392768-Daniel Vieyra-18515.49
507831-Tabalipa Duarte-20058.30
953410-Branco Saraba-5091.06
754626-Danilo Olaio-8286.76
133899-Adelina Quadros-14289.43
63667-Guaraci Damasceno-4550.12
980054-Delfim Higuera-3122.83
897326-Guida Juca-6617.44
630075-Angilica Galante-14004.47
479690-Adelina Quadros-6440.47
594752-Angelica Aranha-18874.40
385529-Antonio Castelo-12744.64
3518-Danilo Olaio-5329.34
307087-Flamednia Leiria-2722.05
930665-Tibefarcio Colao-4133.39
615117-Antonio Castelo-859.19
487264-Emedlio Pimentel-19928.99
752091-Branco Saraba-4423.12
786691-Sara Lameiras-5899.42
932998-Branco Saraba-1439.38
106451-Odilia Bello-480.49
345209-Antonio Viegas-12174.35
414021-Leonidas Mafra-5979.55
105099-Sidfnio Frois-19382.62
472443-Antonio Viegas-7717.09
299587-Jonatas Felgueiras-9443.24
138998-Angilica Galante-11618.11
777886-Sofras Cuaresma-1830.80
644403-Telma Villalobos-9258.67
991038-Sofras Cuaresma-20067.99
868256-Sofras Cuaresma-6144.22
217880-Artur Grillo-7477.68
31390-Armindo Castalo-1176.98
778548-Honorina Lira-13808.03
730332-Angelica Aranha-10707.92
536995-Danilo Olaio-6166.08
745851-Manuel Capiperibe-4732.63
886010-Telma Villalobos-9530.41
338448-Antonio Viegas-5702.02
733238-Regina Barcellos-7251.93
66424-Adelino Barra-20620.61
449109-Sara Lameiras-257.95
783175-Spnia ou Sonia Guerreiro-1858.27
72140-Telma Villalobos-9276.05
139443-Eurico Siqueira-3758.52
915749-Quintiliano Sousa de Arronches-10913.89
532527-Basilio Pedroso-10126.51
960689-Tarrataca Soares-21325.37
468680-Branco Saraba-5983.92
359542-Emedlia Silvera-12951.25
49922-Antonio Viegas-717.08
678975-Melinda Roserio-12711.57
591910-Anfnia Seixas-18159.40
686397-Adelino Barra-1565.29
100239-Quintino Alcantara-3786.68
822231-Almerinda Palmeira-11065.84
635608-Quintiliano Sousa de Arronches-11371.16
228424-Augusta Paio-16320.77
378565-Adelina Quadros-6270.62
214082-Polibe Olivares-11954.22
275070-Polibe Olivares-10489.88
397080-Ermelinda Quintela-8021.83
314344-Odilia Camello-12027.75
58253-Heleedsa Marins-2209.78
407355-Neuza Francia-13850.78
124685-Emedlio Pimentel-14709.00
230888-Sara Lameiras-10950.52
504517-Cassandra Varejo-7307.97
831584-Emedlio Pimentel-13311.76
550537-Ubaldo Mainha-13189.06
394613-Rebeca Neto-14191.81
462942-Estanislau Beserra-15465.78
688279-Lurdes Cotrim-17268.93
