904365-Tarrataca Soares-5033.86
439332-Elisa Themes-19993.21
414446-Rodolfo Paz-4508.99
545578-Sofras Cuaresma-3985.96
718117-Sidfnio Frois-13559.76
950710-Angelica Aranha-10159.51
79125-Flor Portella-14487.30
639018-Heleedsa Marins-4863.63
883397-Taercio Mafra-14691.91
51990-Clarindo Areosa-3119.82
570932-Sidfnio Frois-15948.87
461873-Almor Caiado-20643.26
429307-Anind Zarco-9902.57
288040-Moaci Mendoa-3173.19
556425-Clarindo Areosa-19320.37
124261-Camila Gabeira-9685.04
931119-Anind Zarco-11905.83
953363-Delfina Perdigon-16892.22
104965-Branco Saraba-1686.22
29311-Sofras Cuaresma-18726.74
582735-Carminda Morais-507.61
38771-Esperada Cardoso-1352.23
332226-Jussara Varanda-20036.52
524934-Henrique Bento-14394.57
830153-Artur Grillo-10135.29
111728-Tabalipa Duarte-10806.54
344046-Estanislau Beserra-11105.85
822654-Anfnia Seixas-11695.38
663984-Polibe Olivares-12276.43
212801-Sofras Cuaresma-12826.73
260338-Danilo Olaio-8227.72
194610-Feledcia Peassego-3513.27
454948-Augusta Paio-18676.59
4855-Delfina Perdigon-15277.00
357205-Odilia Camello-18775.30
779171-Danilo Olaio-21256.42
188759-Henrique Bento-11405.03
214150-Silvio Mata-3708.42
461659-Estanislau Beserra-3030.22
331035-Aludsio Sosa-2587.51
390620-Almor Caiado-5500.11
211347-Danilo Olaio-6242.06
771440-Delfim Higuera-3981.77
983856-Artur Grillo-8621.82
169337-Jussara Varanda-1860.56
884310-Odilia Bello-3018.35
769388-Estanislau Beserra-305.40
239339-Lurdes Cotrim-5627.54
763877-Carminda Morais-14402.16
931617-Domingos Pas-6840.63
288221-Edgar Carvalheiro-1669.70
932776-Tibofarcio Camacho-20871.81
387702-Honorina Lira-1374.69
17929-Branco Saraba-6164.53
381096-Tarrataca Soares-6686.22
274651-Dulce Froes-13075.07
326675-Sofras Cuaresma-14662.76
881214-Tarrataca Soares-1080.32
793628-Aludsio Sosa-5497.96
727899-Jussara Varanda-18717.27
413182-Rebeca Neto-10615.32
109814-Adelino Barra-10894.65
12405-Melinda Roserio-1593.69
608608-Sara Lameiras-1389.03
386926-Tibefarcio Colao-4082.84
220915-Liana Cardim-6975.59
406098-Moaci Mendoa-9848.85
614883-Armindo Castalo-2632.83
94124-Ermelinda Quintela-10510.77
789129-Domingos Pas-15038.05
63636-Urbano Rodrigues-18802.18
791915-Silvio Mata-5828.44
734369-Dulce Froes-3833.73
146085-Leonidas Mafra-16799.81
10921-Edgar Carvalheiro-10398.85
498213-Angelica Aranha-7966.22
8624-Judite Damasceno-12520.28
795190-Celeste Duarte-2891.59
129955-Melinda Roserio-6182.53
260444-Liana Cardim-15320.42
634626-Emedlia Silvera-15671.06
540722-Danilo Olaio-8904.14
427861-Oliveira Carmona-15891.49
683744-Romo Paranage-16532.95
326302-Branco Saraba-16993.06
285687-Nuno Balsemeo-2483.20
287493-Nuno Balsemeo-7553.29
691099-Angelica Aranha-3916.40
377721-Camila Gabeira-14127.70
140985-Angilica Galante-735.47
741496-Sidfnio Frois-3931.82
559732-Delfina Perdigon-12857.22
221858-Tibofarcio Camacho-16931.50
772984-Tibofarcio Camacho-17748.34
305366-Antonio Castelo-16696.77
238635-Fulvio Villegas-17859.62
793706-Almerinda Palmeira-6737.66
893028-Almerinda Palmeira-14654.57
635134-Antonio Viegas-1293.51
663204-Manuel Capiperibe-20114.92
