225846-Andreia Moita-13395.36
485838-Tibofarcio Camacho-18464.51
854433-Sofras Cuaresma-4564.58
203740-Spnia ou Sonia Guerreiro-12716.16
606344-Eurico Siqueira-8138.94
513212-Joaquim Rufino-4720.35
861967-Rebeca Neto-7862.46
828685-Mercia Caeira-19240.57
963612-Branco Saraba-21418.90
275763-Sidfnio Frois-11348.41
638094-Melinda Roserio-1255.83
904251-Romo Paranage-6500.69
589195-Camila Gabeira-19349.23
443280-Odilia Camello-13626.43
296367-Quintino Alcantara-14302.50
523708-Ximena Castilho-16057.63
922612-Daniel Vieyra-3391.41
221443-Tibefarcio Colao-10289.70
812911-Odilia Bello-9594.50
559080-Quintino Alcantara-1022.42
355764-Domingos Pas-213.96
204828-Cassandra Varejo-17913.00
21163-Ubaldo Mainha-1524.06
295581-Antonio Viegas-7028.49
701806-Clara Alcantara-326.62
2484-Gaudancio Fiees-19131.86
854633-Ermelinda Quintela-11086.25
436559-Moaci Mendoa-12478.46
108103-Angilica Galante-5371.75
669975-Melinda Roserio-16497.34
105105-Mercia Caeira-15156.07
606635-Odilia Camello-14743.28
176755-Oliveira Senchez-12248.65
186250-Jonatas Felgueiras-12236.77
355212-Letedcia Gago-5948.95
289986-Camila Gabeira-1524.14
503784-Flor Portella-3682.69
342222-Lurdes Cotrim-20287.05
666688-Trajano Fagundes-6153.30
957148-Jorgina Bogalho-4175.16
973012-Rodolfo Paz-4226.21
901431-Telma Villalobos-7562.28
130304-Manuel Capiperibe-20684.05
281531-Cassandra Varejo-19991.07
765688-Sidfnio Frois-19109.79
428197-Sidfnio Frois-10867.85
792768-Camila Gabeira-11322.89
782012-Marilda Leio-2391.48
133725-Marilda Leio-15838.14
660818-Esperada Cardoso-18307.71
438723-Camila Gabeira-10822.61
823204-Elisa Themes-15071.62
51795-Jussara Varanda-6018.09
662009-Rebeca Neto-6660.90
949429-Neuza Francia-2553.72
648565-Ubaldo Mainha-15498.01
761902-Judite Damasceno-201.10
144072-Tabalipa Duarte-10698.92
231636-Manuel Capiperibe-16520.25
165399-Sidfnio Frois-1562.03
131690-Camila Gabeira-3796.41
202908-Emedlia Silvera-16904.64
18394-Jonatas Felgueiras-12680.33
754901-Lurdes Cotrim-3372.11
115033-Judite Damasceno-1216.77
454001-Fulvio Villegas-12163.25
94496-Jussara Varanda-16260.87
540302-Domingos Pas-17192.31
133642-Delfina Perdigon-13769.79
541204-Guaraci Damasceno-12146.61
236488-Spnia ou Sonia Guerreiro-16497.93
708858-Sidfnio Frois-9575.12
859745-Polibe Olivares-20415.30
819454-Romo Paranage-5278.02
869515-Branco Saraba-5629.17
291970-Branco Saraba-19103.71
31367-Odilia Bello-13619.82
880474-Zungela Ipiranga-500.38
137656-Manuel Capiperibe-3611.72
420286-Delfina Garcia de Gondim-17317.13
905533-Sofras Cuaresma-16974.66
548472-Henrique Bento-13406.91
655957-Lurdes Cotrim-210.67
312485-Odilia Camello-4878.87
180067-Odete Vasques-12597.56
724484-Branco Saraba-4445.65
110654-Melinda Roserio-17395.96
584126-Armindo Castalo-8699.93
805325-Aludsio Sosa-10531.30
522239-Joaquim Rufino-17935.51
416619-Feledcia Peassego-10999.73
103804-Eurico Siqueira-14995.21
303054-Sidfnio Frois-3876.93
65467-Sara Lameiras-11800.06
629593-Ximena Castilho-20661.86
110464-Sofras Cuaresma-10204.27
478433-Tabalipa Duarte-14065.37
344349-Neeamia Arruda-5556.38
732162-Jussara Varanda-1869.60
808219-Rebeca Neto-16774.82
