343008-Cassandra Varejo-2891.01
377352-Quintino Alcantara-1814.97
234897-Gaudancio Fiees-5287.25
290513-Neeamia Arruda-16519.28
249847-Manuel Capiperibe-7080.97
751229-Rodolfo Paz-2329.24
159257-Urbano Rodrigues-10939.12
535300-Taercio Mafra-13989.99
109649-Mercia Caeira-6202.08
933627-Camila Gabeira-9734.08
668757-Neeamia Arruda-6442.67
636977-Tibofarcio Camacho-4121.61
688856-Cassandra Varejo-11423.96
968054-Gaudancio Fiees-17606.86
299523-Eurico Siqueira-12914.52
465037-Tibofarcio Camacho-5527.20
478071-Judite Damasceno-19648.79
767667-Rodolfo Paz-18069.31
671113-Antonio Castelo-665.57
520081-Elisa Themes-14464.91
311651-Marilda Leio-986.76
687721-Ximena Castilho-14763.13
77564-Regina Barcellos-13355.18
192336-Daniel Vieyra-19484.86
235283-Celeste Duarte-19043.02
891623-Gaudancio Fiees-9902.83
988566-Regina Barcellos-10037.61
481521-Mercia Caeira-2530.45
5954-Almor Caiado-9227.16
222066-Camila Gabeira-1227.53
362299-Tibofarcio Camacho-2950.64
769662-Filomena Barrios-17287.52
854211-Joaquim Rufino-3103.46
334491-Branco Saraba-8635.38
17368-Leonidas Mafra-7452.90
152689-Emedlio Pimentel-6636.98
524387-Ermelinda Quintela-8516.87
291720-Andreia Moita-2556.84
989987-Silvio Mata-2746.90
761542-Adelino Barra-15289.12
23660-Carminda Morais-6967.91
961452-Angelica Aranha-5700.77
728246-Anfnia Seixas-15609.31
529250-Adelina Quadros-5167.82
816168-Oliveira Senchez-13458.00
921226-Polibe Olivares-10444.69
825814-Tibefarcio Colao-1655.09
8003-Rodolfo Paz-6738.01
719108-Daniel Vieyra-813.07
662946-Silvio Mata-6020.69
359599-Guaraci Damasceno-15350.93
120718-Celeste Duarte-8315.70
634024-Liana Cardim-21152.99
9785-Tabalipa Duarte-2793.44
440338-Ermelinda Quintela-15671.60
644613-Delfina Garcia de Gondim-14405.98
63289-Angilica Galante-8899.40
684934-Andreia Moita-9189.48
474715-Flamednia Leiria-17806.67
471292-Clara Alcantara-1028.47
380379-Artur Grillo-3032.06
596978-Leonidas Mafra-5293.27
890751-Adelina Quadros-3624.77
632262-Trajano Fagundes-1130.03
156002-Andreia Moita-6444.44
479340-Urbano Rodrigues-5546.05
787668-Adelina Quadros-5071.84
605375-Lina Andrade-13538.69
740533-Delfim Higuera-12028.60
666776-Feledcia Peassego-3288.48
178350-Jussara Varanda-2607.45
298917-Spnia ou Sonia Guerreiro-16953.42
473575-Ubaldo Mainha-9077.49
979628-Feledcia Peassego-16063.81
829973-Quintiliano Sousa de Arronches-130.53
357130-Danilo Olaio-17685.33
482326-Branco Saraba-14748.37
64079-Trajano Fagundes-14449.59
594039-Sofras Cuaresma-2052.15
307666-Clara Alcantara-21318.82
384260-Tarrataca Soares-13845.77
150715-Spnia ou Sonia Guerreiro-16458.76
244102-Tabalipa Duarte-15998.66
331149-Zungela Ipiranga-12143.62
421643-Micaela Chavez-7687.08
955920-Clarindo Areosa-18300.65
94947-Almerinda Palmeira-15440.64
418364-Anind Zarco-8006.44
127457-Guaraci Damasceno-5187.55
213295-Artur Grillo-3315.79
147169-Dulce Froes-3419.63
825810-Camila Gabeira-8531.14
362549-Edgar Carvalheiro-2468.74
648137-Oliveira Carmona-10332.05
831189-Trajano Fagundes-11776.27
67706-Filomena Barrios-13245.83
837030-Camila Gabeira-20286.78
475884-Quintiliano Sousa de Arronches-16496.12
73292-Oliveira Senchez-15412.56
886139-Tibefarcio Colao-7589.86
