591161-Eurico Siqueira-4239.93
227179-Emiliana Foquio-1191.39
923400-Emiliana Foquio-2828.16
191414-Fulvio Villegas-13494.75
877787-Flamednia Leiria-16204.73
564722-Melinda Roserio-15174.06
647652-Branco Saraba-17967.94
515927-Ximena Castilho-3362.98
262800-Domingos Pas-13766.60
238100-Domingos Pas-21105.62
71328-Judite Damasceno-19036.70
165820-Mercia Caeira-15764.13
941155-Flamednia Leiria-518.53
434741-Joaquim Rufino-20840.44
719787-Almerinda Palmeira-12384.38
580082-Odilia Camello-6775.19
671047-Romo Paranage-12211.67
957464-Lina Andrade-11211.99
965813-Clarindo Areosa-6349.79
317643-Elisa Themes-16242.17
950474-Jonatas Felgueiras-10158.04
92980-Antonio Castelo-20679.70
374399-Mercia Caeira-11464.28
471694-Tarrataca Soares-13698.62
43746-Zulmira Becerra-3170.99
605649-Elisa Themes-12946.79
90374-Neeamia Arruda-2768.66
885408-Emedlia Silvera-1463.40
978220-Almerinda Palmeira-9683.06
731343-Celeste Duarte-18886.23
79228-Neeamia Arruda-16110.90
96684-Tarrataca Soares-5596.99
43596-Basilio Pedroso-10010.74
359715-Edgar Carvalheiro-10705.46
720104-Tabalipa Duarte-21175.89
518902-Quintino Alcantara-14677.11
869887-Augusta Paio-6383.18
871656-Neuza Francia-14262.03
589192-Spnia ou Sonia Guerreiro-20201.82
801646-Henrique Bento-16494.29
230768-Silvio Mata-2770.25
980589-Angilica Galante-19541.22
700578-Oliveira Carmona-18146.82
364594-Tabalipa Duarte-20580.41
407378-Guida Juca-4732.78
548718-Letedcia Gago-4463.13
885048-Flor Portella-5071.83
571063-Spnia ou Sonia Guerreiro-18770.55
113284-Almerinda Palmeira-13821.60
961171-Armanda Amorim-18049.62
948721-Henrique Bento-4747.09
542760-Cleusa Goes-5546.89
836267-Guaraci Damasceno-19653.90
719993-Sidfnio Frois-15582.71
149281-Danilo Olaio-7031.95
684229-Celeste Duarte-18647.43
930486-Aludsio Sosa-20426.29
527482-Urbano Rodrigues-15137.16
811569-Dulce Froes-4243.46
310023-Armindo Castalo-18903.07
237835-Marilda Leio-13577.72
706937-Almerinda Palmeira-4378.31
297662-Odete Vasques-18376.67
86309-Silvio Mata-1159.03
948945-Regina Barcellos-6380.53
572971-Flor Portella-12267.37
26345-Jonatas Felgueiras-12021.84
662601-Sidfnio Frois-12027.11
353397-Urbano Rodrigues-5070.39
236981-Edgar Carvalheiro-11353.49
82294-Tarrataca Soares-4421.03
636458-Antonio Viegas-8518.10
396412-Gaudancio Fiees-236.24
62736-Rebeca Neto-19197.11
22-Filomena Barrios-81.76
648354-Emedlia Silvera-12047.49
556450-Camila Gabeira-16607.75
93007-Sara Lameiras-18834.38
861791-Camila Gabeira-16023.08
492440-Quintiliano Sousa de Arronches-520.61
429772-Oliveira Senchez-11851.43
655213-Leonidas Mafra-11812.96
711523-Jonatas Felgueiras-5952.09
951321-Artur Grillo-13922.72
94600-Camila Gabeira-8357.88
290643-Taercio Mafra-17764.36
740030-Moaci Mendoa-17839.93
889600-Eurico Siqueira-7536.02
750483-Melinda Roserio-1989.80
650602-Neuza Francia-5444.73
416331-Mercia Caeira-15329.03
285506-Delfina Garcia de Gondim-2270.74
965064-Almerinda Palmeira-13597.86
785372-Marilda Leio-3262.53
316387-Guaraci Damasceno-15373.48
23405-Esperada Cardoso-13361.55
995751-Rebeca Neto-9494.11
259770-Delfim Higuera-15793.01
961710-Camila Gabeira-1335.68
4026-Almerinda Palmeira-14142.18
590995-Andreia Moita-1141.51
837614-Oliveira Carmona-9704.37
380343-Branco Saraba-5399.18
648297-Romo Paranage-9937.03
187860-Zungela Ipiranga-21040.20
31760-Antonio Castelo-17315.59
311998-Jorgina Bogalho-10810.71
617729-Guaraci Damasceno-18133.31
9256-Cleusa Goes-15168.09
897426-Aludsio Sosa-17938.13
258328-Moaci Mendoa-5489.21
38086-Spnia ou Sonia Guerreiro-11147.58
891912-Odilia Bello-3776.55
47681-Rodolfo Paz-10803.03
940363-Quintino Alcantara-3200.08
213614-Regina Barcellos-10800.39
641725-Ermelinda Quintela-8418.68
481078-Micaela Chavez-13894.85
137625-Almor Caiado-13290.11
361850-Carminda Morais-8594.25
320706-Sara Lameiras-5251.99
430524-Anfnia Seixas-18592.38
493163-Domingos Pas-7936.46
957335-Adelina Quadros-8356.93
157469-Domingos Pas-1641.50
377247-Celeste Duarte-3163.64
672779-Armindo Castalo-4810.06
39816-Sara Lameiras-16074.87
254481-Armanda Amorim-9801.41
794836-Neuza Francia-8800.19
664908-Letedcia Gago-5738.56
455691-Dulce Froes-1758.03
521152-Camila Gabeira-6562.96
725282-Silvio Mata-4077.70
265434-Neeamia Arruda-4239.27
296764-Carminda Morais-6613.04
883737-Flamednia Leiria-7039.77
338351-Ximena Castilho-16330.17
794686-Polibe Olivares-9667.88
778350-Leonidas Mafra-2220.99
186771-Heleedsa Marins-11927.64
794628-Micaela Chavez-1327.36
156359-Fulvio Villegas-3042.57
163877-Armanda Amorim-20849.82
381215-Guida Juca-1127.64
748737-Sara Lameiras-11500.61
480056-Fulvio Villegas-19819.45
216899-Oliveira Senchez-13027.99
956696-Spnia ou Sonia Guerreiro-5021.10
353425-Tabalipa Duarte-9088.89
768935-Guida Juca-12350.75
40284-Adelina Quadros-20058.70
114350-Almor Caiado-7855.43
647-Feledcia Peassego-5152.23
656511-Armanda Amorim-20306.04
723059-Adelina Quadros-12008.69
126594-Danilo Olaio-4898.66
990839-Almerinda Palmeira-3785.99
904666-Branco Saraba-3270.72
89854-Emiliana Foquio-13154.25
890294-Nuno Balsemeo-20761.94
970894-Silvio Mata-10357.51
270994-Armindo Castalo-5173.82
344450-Camila Gabeira-11773.82
916543-Tibofarcio Camacho-12760.39
736355-Joaquim Rufino-12372.78
133356-Nuno Balsemeo-17224.05
507634-Eurico Siqueira-12879.12
164836-Leonidas Mafra-15668.17
448705-Jorgina Bogalho-13784.23
137591-Sara Lameiras-9448.30
901913-Ximena Castilho-14588.00
536299-Artur Grillo-9055.88
746165-Delfina Perdigon-17369.32
