582697-Moaci Mendoa-20427.64
606988-Emiliana Foquio-21382.36
138823-Clara Alcantara-10111.75
28266-Odilia Bello-21126.29
751802-Henrique Bento-13950.31
672839-Elisa Themes-13293.46
494226-Leonidas Mafra-5709.45
583229-Joaquim Rufino-848.28
8266-Tibofarcio Camacho-4799.42
807439-Aludsio Sosa-9004.15
188259-Rodolfo Paz-19749.98
324026-Angelica Aranha-16361.21
846412-Edgar Carvalheiro-1767.76
434334-Delfina Garcia de Gondim-1473.21
993206-Judite Damasceno-14940.73
323708-Ermelinda Quintela-10672.62
956242-Lurdes Cotrim-13747.56
995652-Anfnia Seixas-10178.56
933556-Dulce Froes-18298.64
45447-Odete Vasques-13211.88
756303-Lina Andrade-19543.76
231684-Telma Villalobos-7252.16
459890-Flamednia Leiria-13950.63
863022-Artur Grillo-21084.97
928402-Estanislau Beserra-14150.07
24456-Almor Caiado-20643.30
982345-Gaudancio Fiees-14208.03
885206-Camila Gabeira-1743.15
615916-Anind Zarco-10652.48
288547-Telma Villalobos-9508.10
892471-Edgar Carvalheiro-11585.67
10383-Zungela Ipiranga-15837.98
249273-Dulce Froes-697.74
780668-Zulmira Becerra-19226.38
632834-Odete Vasques-6650.82
557573-Aludsio Sosa-19871.07
260429-Edgar Carvalheiro-7756.05
719275-Antonio Castelo-18964.91
550045-Zungela Ipiranga-11396.23
761005-Elisa Themes-11324.28
159596-Clarindo Areosa-6278.37
450428-Flor Portella-16008.47
473879-Anind Zarco-13926.13
560011-Guaraci Damasceno-1799.10
175861-Eurico Siqueira-2575.42
281932-Ermelinda Quintela-9721.00
750988-Sidfnio Frois-12433.61
539272-Esperada Cardoso-2985.96
126084-Angilica Galante-13031.46
994035-Delfina Garcia de Gondim-17919.07
155868-Cassandra Varejo-9385.83
400591-Guida Juca-6975.50
959888-Heleedsa Marins-17940.24
293648-Clara Alcantara-13281.00
781247-Quintino Alcantara-14082.76
351087-Anind Zarco-13020.74
543977-Camila Gabeira-9263.42
342261-Aludsio Sosa-17018.81
147499-Emiliana Foquio-16555.23
91959-Clara Alcantara-18525.17
464187-Leonidas Mafra-10961.90
189360-Clara Alcantara-5451.06
761508-Camila Gabeira-17830.66
462609-Polibe Olivares-5848.76
73331-Flor Portella-10206.58
742862-Guaraci Damasceno-16080.09
996070-Estanislau Beserra-390.69
126088-Jonatas Felgueiras-13844.11
368544-Anind Zarco-10980.75
757131-Urbano Rodrigues-3196.83
569205-Joaquim Rufino-1816.64
964364-Honorina Lira-13118.53
909386-Tibofarcio Camacho-10161.31
910856-Dulce Froes-6871.10
12433-Moaci Mendoa-5047.00
389977-Feledcia Peassego-7264.43
874476-Trajano Fagundes-1769.55
184216-Angilica Galante-995.98
407524-Cleusa Goes-7929.66
154132-Adelina Quadros-14127.23
934428-Augusta Paio-16032.93
420632-Flamednia Leiria-1557.73
13336-Quintino Alcantara-20626.83
188779-Delfim Higuera-5281.10
240610-Angilica Galante-11751.22
950076-Heleedsa Marins-11170.29
184618-Armindo Castalo-16559.03
4563-Branco Saraba-15706.04
719470-Camila Gabeira-4155.27
542246-Zulmira Becerra-19936.82
532146-Emedlio Pimentel-17151.32
702414-Ermelinda Quintela-6760.69
726057-Quintiliano Sousa de Arronches-15690.83
397287-Oliveira Carmona-18822.71
178714-Jussara Varanda-530.28
660021-Artur Grillo-13969.79
100422-Adelino Barra-10796.79
495987-Jonatas Felgueiras-12876.84
972805-Emedlia Silvera-12579.20
932123-Zulmira Becerra-20884.62
