617024-Feledcia Peassego-15363.70
256772-Oliveira Senchez-13701.08
210548-Armindo Castalo-20369.50
876999-Ximena Castilho-17532.13
244134-Anfnia Seixas-10502.19
463988-Daniel Vieyra-526.59
859636-Zungela Ipiranga-20710.25
140247-Marilda Leio-7188.22
543579-Sofras Cuaresma-17472.23
129741-Liana Cardim-12871.29
526855-Jorgina Bogalho-20337.46
214196-Anfnia Seixas-5735.20
985423-Daniel Vieyra-1722.47
180436-Ermelinda Quintela-2831.24
251085-Guida Juca-18843.68
404295-Guida Juca-20338.32
167520-Romo Paranage-4562.08
197671-Delfina Perdigon-1398.64
791534-Zulmira Becerra-13114.08
253519-Daniel Vieyra-2860.54
692430-Delfina Perdigon-4785.81
500883-Andreia Moita-11107.95
934245-Elisa Themes-11677.80
317470-Anind Zarco-20689.61
946059-Neeamia Arruda-6557.28
793307-Mercia Caeira-14101.33
299755-Andreia Moita-6478.16
347389-Telma Villalobos-20170.14
216818-Judite Damasceno-15743.22
341868-Melinda Roserio-15050.92
80094-Polibe Olivares-1543.01
597575-Sofras Cuaresma-12058.02
634733-Neeamia Arruda-17347.36
918466-Tarrataca Soares-16305.70
325775-Ubaldo Mainha-4990.32
617144-Guida Juca-15378.25
256563-Celeste Duarte-5046.41
103668-Camila Gabeira-16179.89
331410-Adelino Barra-13017.22
967017-Almor Caiado-13030.64
656581-Tabalipa Duarte-7616.60
926957-Anfnia Seixas-17112.58
508694-Oliveira Carmona-4304.09
870863-Manuel Capiperibe-13863.27
710253-Antonio Viegas-5671.70
794300-Branco Saraba-20047.87
10949-Rebeca Neto-12905.60
44070-Sara Lameiras-10281.80
124040-Angelica Aranha-13575.11
526041-Heleedsa Marins-14424.78
536297-Silvio Mata-15691.35
847237-Henrique Bento-685.78
476098-Guida Juca-1990.87
840773-Melinda Roserio-9809.58
291435-Jussara Varanda-1881.84
774145-Filomena Barrios-6239.78
598562-Fulvio Villegas-15509.89
580794-Branco Saraba-14695.50
551877-Honorina Lira-2491.90
244983-Henrique Bento-16117.16
34684-Romo Paranage-6197.69
968370-Odete Vasques-17226.16
192673-Jussara Varanda-18310.92
309621-Jussara Varanda-5324.49
270385-Angilica Galante-16047.41
917092-Lina Andrade-12520.31
350534-Artur Grillo-10121.46
376332-Estanislau Beserra-13897.27
65449-Anind Zarco-18552.79
782000-Moaci Mendoa-15630.40
493002-Danilo Olaio-18160.75
855036-Odete Vasques-12285.60
278707-Moaci Mendoa-15117.52
305415-Emedlia Silvera-9485.78
289670-Tibofarcio Camacho-9253.65
458077-Flor Portella-20092.82
121290-Lina Andrade-19101.49
773904-Clara Alcantara-19185.25
492695-Manuel Capiperibe-9151.07
401703-Ermelinda Quintela-2574.05
543322-Flor Portella-13878.99
453848-Danilo Olaio-15807.54
496871-Rodolfo Paz-9045.49
148489-Letedcia Gago-17058.54
733124-Clara Alcantara-6706.60
91267-Delfim Higuera-1346.34
997064-Odete Vasques-7217.56
532724-Gaudancio Fiees-18355.30
828099-Clarindo Areosa-6505.39
402361-Zungela Ipiranga-17109.40
533198-Quintino Alcantara-1860.00
255294-Flor Portella-9904.54
537021-Nuno Balsemeo-15519.51
603754-Liana Cardim-15540.99
732412-Clara Alcantara-15293.49
742434-Marilda Leio-9349.56
550914-Trajano Fagundes-10229.53
24737-Regina Barcellos-6580.02
540235-Marilda Leio-12298.31
162858-Adelino Barra-2987.49
