17701-Heleedsa Marins-10864.72
403500-Guaraci Damasceno-1298.92
364563-Honorina Lira-8799.82
347675-Quintiliano Sousa de Arronches-20900.34
778069-Adelino Barra-6099.54
932604-Almor Caiado-1214.84
629736-Quintiliano Sousa de Arronches-14155.05
286086-Regina Barcellos-13339.87
204847-Tibofarcio Camacho-9889.72
247685-Neuza Francia-20347.07
716740-Emedlio Pimentel-19542.41
502741-Micaela Chavez-7121.61
739588-Almor Caiado-1720.42
892591-Esperada Cardoso-639.06
606468-Esperada Cardoso-20626.84
419722-Neeamia Arruda-4811.33
211725-Neuza Francia-4282.79
358954-Marilda Leio-9895.65
566334-Moaci Mendoa-8142.86
118925-Moaci Mendoa-19095.34
197446-Carminda Morais-10467.67
748034-Odilia Bello-11422.70
190699-Eurico Siqueira-5305.26
615403-Emedlia Silvera-12444.18
106393-Joaquim Rufino-10095.41
35531-Oliveira Carmona-19889.61
965052-Emedlia Silvera-8996.89
399220-Dulce Froes-10610.48
336283-Quintiliano Sousa de Arronches-15136.14
761501-Letedcia Gago-8152.49
893567-Rodolfo Paz-11274.47
299238-Taercio Mafra-13891.95
349310-Adelina Quadros-17303.86
957402-Gaudancio Fiees-8835.17
471190-Melinda Roserio-9386.24
185094-Aludsio Sosa-3581.76
31720-Neeamia Arruda-14111.41
157156-Eurico Siqueira-12180.56
363839-Trajano Fagundes-11129.09
856616-Polibe Olivares-20846.70
399525-Jorgina Bogalho-18730.80
709306-Branco Saraba-2848.96
805053-Regina Barcellos-1797.61
426353-Gaudancio Fiees-17297.19
982151-Andreia Moita-7037.06
78915-Zungela Ipiranga-13118.92
652719-Trajano Fagundes-18879.23
431640-Armanda Amorim-7125.97
258280-Augusta Paio-9229.61
215326-Odete Vasques-11858.17
421702-Gaudancio Fiees-12632.17
74856-Lina Andrade-544.42
955525-Ermelinda Quintela-8492.47
221705-Neuza Francia-20306.74
5151-Feledcia Peassego-5481.72
928608-Jonatas Felgueiras-17062.51
543959-Flor Portella-10514.20
783552-Tabalipa Duarte-16308.52
112017-Clarindo Areosa-2106.27
349284-Clarindo Areosa-4518.42
256855-Adelina Quadros-10222.64
277353-Sara Lameiras-9018.55
193666-Cassandra Varejo-14798.10
871455-Manuel Capiperibe-1915.48
784475-Angilica Galante-680.70
403916-Basilio Pedroso-20479.98
431224-Heleedsa Marins-470.59
381769-Clara Alcantara-19188.42
445409-Oliveira Senchez-2914.71
469633-Jussara Varanda-5728.20
827408-Ermelinda Quintela-5525.93
918260-Rebeca Neto-21038.71
935143-Gaudancio Fiees-12165.81
715815-Camila Gabeira-2179.68
686629-Trajano Fagundes-8377.53
829737-Delfina Garcia de Gondim-16321.57
740405-Clara Alcantara-17655.88
71354-Cassandra Varejo-9784.86
770576-Emedlio Pimentel-21309.32
612704-Emedlia Silvera-18509.18
780359-Filomena Barrios-13242.61
727948-Judite Damasceno-18141.79
530327-Sidfnio Frois-12276.31
659373-Neeamia Arruda-4138.63
853143-Delfina Perdigon-14035.50
600436-Letedcia Gago-4498.96
862564-Anfnia Seixas-14066.36
183486-Dulce Froes-10302.24
863106-Artur Grillo-9515.11
13442-Romo Paranage-13811.24
500130-Antonio Viegas-6234.20
63672-Zulmira Becerra-18481.48
530478-Delfina Perdigon-16621.95
577862-Delfina Garcia de Gondim-15453.71
593631-Anfnia Seixas-16892.24
878612-Danilo Olaio-143.41
836721-Adelino Barra-7162.03
382830-Dulce Froes-16943.87
931413-Feledcia Peassego-5727.66
411527-Almor Caiado-19377.79
