906521-Domingos Pas-15326.51
624912-Adelino Barra-6518.56
632208-Estanislau Beserra-3493.24
40823-Clarindo Areosa-2496.55
715729-Micaela Chavez-12557.57
306707-Regina Barcellos-14785.54
423848-Antonio Viegas-18223.59
18193-Branco Saraba-3126.06
197529-Melinda Roserio-5313.51
949468-Jorgina Bogalho-10047.89
985046-Tibefarcio Colao-7672.12
888829-Odilia Camello-6013.53
771130-Anind Zarco-5875.01
5969-Rebeca Neto-6665.42
294644-Odilia Camello-18822.58
40310-Ubaldo Mainha-14650.81
435342-Silvio Mata-16665.05
554552-Zulmira Becerra-11800.39
271222-Guida Juca-13532.37
585638-Artur Grillo-19811.86
996592-Angelica Aranha-9126.88
91636-Anfnia Seixas-19545.77
526010-Odilia Camello-10238.64
800470-Armanda Amorim-9303.86
729502-Delfina Garcia de Gondim-12766.81
415175-Jonatas Felgueiras-6412.38
171470-Dulce Froes-21176.73
802708-Adelina Quadros-17327.44
39806-Heleedsa Marins-7785.32
144006-Mercia Caeira-16161.17
520521-Edgar Carvalheiro-14316.30
141279-Quintiliano Sousa de Arronches-17577.22
598488-Andreia Moita-10987.64
73413-Almerinda Palmeira-19515.64
90525-Ubaldo Mainha-2708.10
881906-Zungela Ipiranga-16072.26
754262-Urbano Rodrigues-9969.13
164145-Zulmira Becerra-2622.32
97045-Clara Alcantara-18632.72
299547-Ermelinda Quintela-20364.16
688414-Ubaldo Mainha-17864.53
281398-Esperada Cardoso-18805.94
967328-Ubaldo Mainha-7727.09
517333-Clarindo Areosa-11977.83
970087-Joaquim Rufino-16748.73
103882-Anfnia Seixas-19387.55
991733-Emedlia Silvera-13070.26
68982-Clara Alcantara-14461.90
890180-Neuza Francia-13888.03
759255-Cassandra Varejo-3406.19
745492-Fulvio Villegas-2828.24
878187-Heleedsa Marins-21281.05
248978-Feledcia Peassego-13885.89
900225-Zungela Ipiranga-12356.23
116048-Sara Lameiras-4521.09
658653-Cassandra Varejo-3147.29
426862-Cleusa Goes-14647.21
624849-Odilia Camello-17247.90
55324-Mercia Caeira-6801.97
274444-Armindo Castalo-12569.56
909864-Odilia Camello-7762.18
31161-Sara Lameiras-6696.12
746910-Clara Alcantara-5473.78
688303-Ximena Castilho-15082.78
412403-Lina Andrade-12089.10
526086-Letedcia Gago-20675.69
911258-Estanislau Beserra-13965.12
838534-Aludsio Sosa-1926.53
955707-Heleedsa Marins-8657.09
392527-Adelino Barra-9839.83
448540-Fulvio Villegas-4364.09
328513-Delfina Garcia de Gondim-10094.40
346548-Taercio Mafra-2887.04
953622-Elisa Themes-11943.92
183420-Cleusa Goes-6293.21
38732-Neeamia Arruda-2683.63
107089-Oliveira Senchez-20502.74
929280-Emedlia Silvera-8396.29
541584-Mercia Caeira-2301.01
866885-Flamednia Leiria-16104.94
148086-Spnia ou Sonia Guerreiro-10264.59
647031-Eurico Siqueira-9083.04
274612-Jussara Varanda-12366.50
279806-Danilo Olaio-12526.04
79191-Zungela Ipiranga-443.04
305167-Antonio Castelo-2113.42
100036-Elisa Themes-20684.49
923364-Feledcia Peassego-6378.95
399999-Letedcia Gago-19394.37
585267-Adelina Quadros-2108.20
269962-Spnia ou Sonia Guerreiro-10039.68
363950-Spnia ou Sonia Guerreiro-8001.31
414742-Tabalipa Duarte-2689.22
169250-Liana Cardim-21052.02
315776-Almerinda Palmeira-13747.98
299427-Delfina Perdigon-14341.03
129938-Fulvio Villegas-557.19
267623-Feledcia Peassego-7836.43
34665-Oliveira Carmona-16630.43
903122-Trajano Fagundes-14121.44
781875-Zulmira Becerra-10149.31
635814-Esperada Cardoso-9078.11
277102-Tibofarcio Camacho-21002.26
601342-Adelino Barra-5859.11
529453-Almor Caiado-18542.27
761207-Cleusa Goes-920.43
335336-Rodolfo Paz-20101.73
875281-Jussara Varanda-10689.57
310322-Polibe Olivares-2555.08
214749-Neuza Francia-19474.11
422742-Clara Alcantara-13127.09
115092-Dulce Froes-15253.45
938830-Romo Paranage-13461.38
684921-Sara Lameiras-20117.40
665875-Armanda Amorim-4797.85
444530-Neuza Francia-10895.47
326054-Augusta Paio-19048.82
443187-Silvio Mata-6992.74
202942-Daniel Vieyra-2581.00
521670-Emedlia Silvera-3733.15
984638-Cleusa Goes-12557.38
894513-Delfina Garcia de Gondim-17618.53
615244-Elisa Themes-5443.08
594278-Elisa Themes-195.09
968161-Ermelinda Quintela-1451.75
601725-Ximena Castilho-1486.20
761693-Flor Portella-14639.46
610709-Odilia Camello-19993.89
932747-Polibe Olivares-3911.08
762472-Regina Barcellos-4496.30
519360-Oliveira Carmona-14396.15
501636-Armanda Amorim-810.25
828764-Regina Barcellos-15766.41
810550-Clara Alcantara-15842.35
48335-Estanislau Beserra-6897.19
71572-Silvio Mata-7473.21
157821-Estanislau Beserra-18490.83
126066-Regina Barcellos-17102.10
884291-Marilda Leio-13996.59
742819-Basilio Pedroso-11729.38
916399-Lina Andrade-8299.74
827773-Branco Saraba-16834.75
624737-Nuno Balsemeo-9638.20
729769-Adelino Barra-171.47
827792-Trajano Fagundes-8551.96
617383-Antonio Viegas-18102.67
26722-Odilia Camello-18244.25
898213-Urbano Rodrigues-6550.67
158693-Carminda Morais-11489.52
43808-Artur Grillo-14166.95
558877-Celeste Duarte-18316.11
688537-Basilio Pedroso-15019.55
360007-Delfina Garcia de Gondim-420.96
672177-Telma Villalobos-1438.26
735679-Spnia ou Sonia Guerreiro-18266.54
518672-Anfnia Seixas-9407.88
139235-Joaquim Rufino-19298.14
359060-Lurdes Cotrim-19627.12
788856-Armindo Castalo-8913.87
394075-Edgar Carvalheiro-12544.31
453541-Almerinda Palmeira-13539.90
486614-Ximena Castilho-4821.95
994931-Delfina Perdigon-8675.55
356311-Domingos Pas-19392.27
348602-Polibe Olivares-9864.79
536489-Andreia Moita-8465.14
24250-Anind Zarco-1191.70
937002-Cleusa Goes-6535.29
433515-Emiliana Foquio-20123.18
881728-Andreia Moita-13002.28
540812-Joaquim Rufino-18376.82
810814-Ermelinda Quintela-1596.85
68563-Delfina Perdigon-971.96
906092-Honorina Lira-4665.52
85875-Almor Caiado-12849.01
919351-Delfina Garcia de Gondim-12599.54
56608-Eurico Siqueira-544.94
8016-Armanda Amorim-16404.31
704492-Trajano Fagundes-2303.81
788379-Adelino Barra-12682.63
303484-Henrique Bento-18758.04
325036-Artur Grillo-17371.31
57926-Lurdes Cotrim-2067.16
345807-Cassandra Varejo-16216.22
860858-Edgar Carvalheiro-18307.08
371462-Emiliana Foquio-5131.43
912642-Estanislau Beserra-7572.00
623635-Zulmira Becerra-1977.24
863499-Odilia Bello-7974.29
421092-Delfim Higuera-13002.17
239545-Ubaldo Mainha-8130.37
739696-Delfina Perdigon-6898.79
440862-Danilo Olaio-14129.36
821624-Basilio Pedroso-17022.82
270996-Elisa Themes-13496.59
621228-Adelino Barra-13415.47
441515-Delfina Perdigon-3769.76
756106-Odilia Camello-7226.00
502004-Antonio Viegas-8844.63
145428-Quintiliano Sousa de Arronches-7274.01
51756-Delfina Perdigon-15516.40
278151-Celeste Duarte-8998.96
151780-Spnia ou Sonia Guerreiro-10793.37
257558-Armanda Amorim-396.75
468875-Guida Juca-3949.46
420660-Gaudancio Fiees-12825.68
515914-Estanislau Beserra-18150.09
