5958-Ximena Castilho-9767.01
802309-Antonio Castelo-7253.01
900424-Jonatas Felgueiras-2632.86
332035-Oliveira Carmona-14101.37
339372-Fulvio Villegas-18599.22
856480-Joaquim Rufino-19763.11
696112-Andreia Moita-10981.95
54804-Tibefarcio Colao-17003.31
769315-Daniel Vieyra-14656.00
413945-Sidfnio Frois-2602.95
527002-Quintino Alcantara-3113.01
343200-Delfim Higuera-20491.03
395263-Tarrataca Soares-935.20
480420-Branco Saraba-5858.52
26794-Flamednia Leiria-18561.91
781140-Polibe Olivares-21180.48
63144-Emiliana Foquio-17082.61
384901-Sofras Cuaresma-15328.32
403694-Artur Grillo-15311.17
684071-Estanislau Beserra-2900.48
372555-Clarindo Areosa-6995.75
278485-Mercia Caeira-834.34
485564-Emedlio Pimentel-838.29
978605-Estanislau Beserra-6263.10
608822-Mercia Caeira-19093.37
194118-Polibe Olivares-16836.34
90294-Guida Juca-4402.14
697780-Quintiliano Sousa de Arronches-10955.98
152617-Odilia Camello-9555.19
207831-Artur Grillo-1717.19
74422-Leonidas Mafra-16870.91
725645-Judite Damasceno-358.86
512865-Artur Grillo-2383.72
820153-Trajano Fagundes-4103.50
979544-Carminda Morais-19619.59
846764-Ermelinda Quintela-3106.70
761940-Adelina Quadros-17277.60
970240-Basilio Pedroso-8689.74
10117-Danilo Olaio-15821.27
683590-Liana Cardim-10378.51
404605-Zungela Ipiranga-16439.25
216515-Cleusa Goes-15641.67
946170-Armindo Castalo-7001.97
21536-Anind Zarco-12930.17
406681-Quintino Alcantara-17809.96
644753-Micaela Chavez-18728.43
516890-Zungela Ipiranga-15391.21
118942-Melinda Roserio-3406.08
319458-Ubaldo Mainha-19576.18
554836-Lina Andrade-14788.18
509147-Guida Juca-13417.39
554946-Romo Paranage-984.72
3422-Sidfnio Frois-21274.18
307436-Tabalipa Duarte-10699.56
478296-Tabalipa Duarte-18473.62
124826-Joaquim Rufino-20740.07
441144-Anind Zarco-12860.41
33895-Aludsio Sosa-20711.60
600859-Nuno Balsemeo-12299.95
811006-Delfim Higuera-18655.50
872167-Tibefarcio Colao-20020.59
375115-Odilia Camello-11791.31
561849-Polibe Olivares-15801.34
945234-Mercia Caeira-12959.58
861774-Tabalipa Duarte-7369.52
291014-Armindo Castalo-18650.77
563366-Rodolfo Paz-6960.35
473474-Tibefarcio Colao-11050.69
507930-Armindo Castalo-18136.70
160501-Camila Gabeira-1089.97
147480-Clarindo Areosa-13238.69
873472-Delfim Higuera-6597.61
587698-Jorgina Bogalho-18283.22
236326-Augusta Paio-12347.84
840894-Quintiliano Sousa de Arronches-1721.62
324434-Artur Grillo-4214.53
331699-Zungela Ipiranga-17080.17
379581-Delfim Higuera-12760.06
619725-Mercia Caeira-16135.14
855238-Armindo Castalo-3831.91
157308-Quintino Alcantara-12113.39
35084-Leonidas Mafra-11447.28
43511-Eurico Siqueira-2818.32
702364-Anind Zarco-7500.69
835431-Henrique Bento-14719.10
921008-Angelica Aranha-21472.34
600275-Regina Barcellos-5550.82
314374-Delfina Garcia de Gondim-1289.78
613554-Liana Cardim-7925.98
98673-Telma Villalobos-16284.53
580738-Judite Damasceno-2071.27
931916-Telma Villalobos-6781.62
560026-Polibe Olivares-20732.05
510567-Eurico Siqueira-16774.24
761475-Guaraci Damasceno-7867.76
174526-Estanislau Beserra-1382.13
557084-Sara Lameiras-15968.13
956165-Anind Zarco-15636.44
877945-Leonidas Mafra-11437.74
314004-Zulmira Becerra-33.89
