36773-Delfim Higuera-14017.10
904251-Heleedsa Marins-8657.51
435096-Daniel Vieyra-17109.83
401421-Neuza Francia-20850.29
505312-Ermelinda Quintela-18507.46
133480-Micaela Chavez-15756.62
49546-Sofras Cuaresma-7290.10
227888-Almor Caiado-244.39
943009-Judite Damasceno-5212.80
614560-Armindo Castalo-2886.13
55945-Gaudancio Fiees-781.66
684372-Clara Alcantara-5540.70
295473-Esperada Cardoso-13675.05
510650-Anind Zarco-7894.23
840671-Zulmira Becerra-2044.45
629808-Regina Barcellos-13625.78
160774-Anind Zarco-20606.28
680959-Anfnia Seixas-16223.72
552314-Anind Zarco-5648.31
422968-Emedlio Pimentel-14954.46
773134-Tarrataca Soares-5390.18
832932-Taercio Mafra-532.19
643355-Guaraci Damasceno-5995.15
952693-Celeste Duarte-9780.25
807501-Lina Andrade-10768.66
925051-Dulce Froes-11924.96
220783-Guida Juca-3751.73
526191-Angelica Aranha-513.70
270900-Odilia Bello-7569.22
295208-Honorina Lira-7358.62
932444-Oliveira Carmona-12656.35
252086-Clara Alcantara-16004.68
642032-Filomena Barrios-4586.27
537379-Micaela Chavez-16985.80
372252-Angilica Galante-9629.04
135612-Antonio Viegas-1023.45
509995-Silvio Mata-6925.66
512244-Oliveira Carmona-13150.92
402950-Quintiliano Sousa de Arronches-19943.63
641474-Joaquim Rufino-11041.75
326025-Anfnia Seixas-10806.24
28900-Henrique Bento-20018.76
467174-Guaraci Damasceno-1270.34
903616-Tabalipa Duarte-11185.71
881582-Dulce Froes-14709.44
241741-Polibe Olivares-13885.96
97551-Letedcia Gago-866.22
642490-Quintiliano Sousa de Arronches-17731.34
41164-Heleedsa Marins-16280.54
878593-Romo Paranage-2162.11
577745-Lina Andrade-11805.38
911754-Oliveira Senchez-7650.83
746257-Clarindo Areosa-11705.50
691904-Adelino Barra-8489.70
250444-Regina Barcellos-7783.68
713027-Polibe Olivares-20356.10
521056-Mercia Caeira-15182.24
895313-Judite Damasceno-17488.66
878342-Flamednia Leiria-6314.23
224691-Angelica Aranha-10703.02
778626-Ubaldo Mainha-16538.80
956238-Tabalipa Duarte-15003.08
9613-Almor Caiado-625.71
613488-Estanislau Beserra-20942.62
788890-Jonatas Felgueiras-7040.29
424422-Mercia Caeira-11497.42
172050-Romo Paranage-13862.63
541769-Silvio Mata-21061.59
45823-Jussara Varanda-3295.53
119866-Camila Gabeira-1982.94
921725-Quintino Alcantara-6690.73
261072-Flor Portella-6750.29
683161-Neuza Francia-705.55
171516-Guaraci Damasceno-11301.69
629755-Odete Vasques-6774.74
455812-Oliveira Senchez-1834.15
924131-Romo Paranage-10365.87
615913-Jussara Varanda-11761.29
690000-Neeamia Arruda-2276.91
187555-Rebeca Neto-19668.11
503525-Marilda Leio-1672.49
215655-Sofras Cuaresma-3045.10
235700-Odilia Camello-9961.93
826268-Adelino Barra-12653.64
711967-Carminda Morais-19609.94
110539-Antonio Castelo-17139.66
284066-Angelica Aranha-4124.07
204548-Carminda Morais-17220.23
316355-Angilica Galante-9492.29
981477-Armindo Castalo-8729.33
940956-Fulvio Villegas-4159.53
973420-Heleedsa Marins-12321.68
551457-Moaci Mendoa-5269.21
684682-Guaraci Damasceno-5102.63
986583-Emedlio Pimentel-11289.75
278754-Tarrataca Soares-9396.02
469266-Oliveira Carmona-10918.86
762872-Cleusa Goes-8246.07
701343-Danilo Olaio-964.40
330502-Sara Lameiras-13844.21
