974930-Sara Lameiras-13435.27
559744-Aludsio Sosa-3290.38
199708-Zulmira Becerra-21165.43
657523-Micaela Chavez-3533.44
790990-Melinda Roserio-14295.28
65434-Oliveira Carmona-15384.05
241589-Jonatas Felgueiras-9056.18
118774-Delfina Perdigon-18497.14
248145-Sidfnio Frois-12060.84
524905-Sara Lameiras-8867.34
902830-Mercia Caeira-1312.25
717265-Ximena Castilho-2137.85
433270-Trajano Fagundes-13119.84
882220-Guida Juca-491.58
154485-Guida Juca-10209.49
860950-Flamednia Leiria-14930.15
480476-Delfina Garcia de Gondim-3147.73
984384-Delfina Garcia de Gondim-17218.91
970713-Zungela Ipiranga-15286.56
277049-Antonio Castelo-6996.97
976233-Judite Damasceno-13416.00
718400-Feledcia Peassego-15613.17
15149-Emedlio Pimentel-5262.67
854942-Angilica Galante-6881.49
554842-Celeste Duarte-15053.04
782391-Neuza Francia-9306.81
931586-Andreia Moita-2286.78
699114-Neuza Francia-5746.62
697443-Quintiliano Sousa de Arronches-1041.49
295994-Ubaldo Mainha-2854.26
628205-Tibofarcio Camacho-17654.03
701711-Aludsio Sosa-15926.37
43552-Tabalipa Duarte-961.69
886141-Flamednia Leiria-15400.24
887000-Edgar Carvalheiro-19825.79
837121-Oliveira Senchez-7058.77
318290-Taercio Mafra-13958.09
88447-Ximena Castilho-6630.24
750016-Moaci Mendoa-3572.38
583845-Sidfnio Frois-16845.34
114840-Spnia ou Sonia Guerreiro-12366.79
245831-Filomena Barrios-12923.80
726787-Gaudancio Fiees-20654.24
474627-Flor Portella-5728.26
371571-Edgar Carvalheiro-11587.13
572103-Basilio Pedroso-5490.67
486231-Emiliana Foquio-2369.02
561725-Nuno Balsemeo-5369.90
299323-Henrique Bento-10237.40
702441-Oliveira Senchez-10783.24
531777-Angelica Aranha-14004.39
763564-Adelino Barra-11842.01
665258-Guida Juca-19909.28
219304-Emedlio Pimentel-519.19
313348-Polibe Olivares-3502.90
502232-Esperada Cardoso-963.79
568348-Filomena Barrios-2208.65
959634-Taercio Mafra-9524.27
375205-Armindo Castalo-7182.42
545207-Danilo Olaio-17699.45
249282-Domingos Pas-979.93
148341-Moaci Mendoa-17627.56
427742-Feledcia Peassego-19144.22
163742-Flamednia Leiria-6491.57
209778-Neeamia Arruda-16544.71
485554-Zulmira Becerra-4704.89
344545-Leonidas Mafra-20980.58
588687-Flamednia Leiria-14905.34
339133-Jonatas Felgueiras-14584.25
829547-Letedcia Gago-2114.87
160125-Tabalipa Duarte-15817.36
445707-Emiliana Foquio-3634.01
932125-Estanislau Beserra-21438.28
346166-Guaraci Damasceno-3985.09
195162-Jonatas Felgueiras-21427.18
334331-Ximena Castilho-20927.20
368481-Esperada Cardoso-7975.81
751139-Moaci Mendoa-6416.86
560382-Honorina Lira-145.42
128238-Flamednia Leiria-20873.71
157148-Nuno Balsemeo-14960.48
178888-Ermelinda Quintela-17884.93
473374-Zungela Ipiranga-20014.25
189513-Almerinda Palmeira-19782.88
579313-Emedlio Pimentel-17710.00
956121-Polibe Olivares-17298.50
822170-Lurdes Cotrim-19512.19
262160-Ermelinda Quintela-5084.86
235727-Guaraci Damasceno-5015.63
667130-Jonatas Felgueiras-5012.07
68874-Telma Villalobos-1298.81
722944-Sidfnio Frois-16330.60
777681-Almor Caiado-3310.50
177180-Eurico Siqueira-2857.55
601535-Tibefarcio Colao-21463.35
744171-Danilo Olaio-11248.07
639699-Telma Villalobos-19866.29
599960-Urbano Rodrigues-3874.08
762697-Sofras Cuaresma-21126.44
467045-Micaela Chavez-308.27
