309061-Joaquim Rufino-9844.99
346687-Artur Grillo-1292.36
148421-Dulce Froes-2192.12
430289-Rodolfo Paz-11735.02
311659-Marilda Leio-8398.43
594915-Adelino Barra-11613.78
630474-Honorina Lira-19571.13
112903-Heleedsa Marins-9394.47
576419-Andreia Moita-3056.11
798407-Camila Gabeira-14171.77
422149-Emedlia Silvera-13750.03
206401-Liana Cardim-14533.50
242267-Adelino Barra-5840.14
201750-Angelica Aranha-4089.61
443931-Celeste Duarte-5842.73
25746-Judite Damasceno-12538.68
715747-Heleedsa Marins-19284.98
308050-Zulmira Becerra-5631.27
816500-Ximena Castilho-16537.04
10557-Urbano Rodrigues-1660.18
358727-Lina Andrade-13264.41
206262-Armanda Amorim-10931.63
289521-Sofras Cuaresma-11734.06
584523-Adelina Quadros-12336.07
897981-Daniel Vieyra-8695.68
54603-Artur Grillo-15685.93
105609-Delfina Perdigon-5538.26
786310-Guaraci Damasceno-7351.34
914508-Ermelinda Quintela-17009.50
653805-Emedlia Silvera-2904.77
86953-Elisa Themes-4228.36
39366-Elisa Themes-9350.42
341378-Joaquim Rufino-19563.31
174116-Neeamia Arruda-15584.32
967868-Clara Alcantara-9148.47
34293-Nuno Balsemeo-8654.18
968307-Neeamia Arruda-4240.40
433088-Moaci Mendoa-15478.26
25188-Basilio Pedroso-8812.57
321025-Clara Alcantara-8774.27
151712-Jonatas Felgueiras-8060.30
423046-Almor Caiado-20420.70
374131-Odilia Bello-17439.27
730883-Melinda Roserio-4956.18
211404-Filomena Barrios-8535.86
259627-Clara Alcantara-12546.20
417649-Melinda Roserio-8051.05
401218-Neuza Francia-14335.38
34736-Regina Barcellos-15555.63
618352-Almerinda Palmeira-6774.00
195327-Quintino Alcantara-11125.52
608035-Odete Vasques-20399.75
62738-Ubaldo Mainha-2578.66
365311-Emedlia Silvera-12345.96
616627-Ubaldo Mainha-19088.08
714669-Ximena Castilho-10025.84
230392-Antonio Viegas-845.18
302108-Liana Cardim-18559.19
716128-Heleedsa Marins-6094.70
386960-Melinda Roserio-1936.05
484763-Flamednia Leiria-8988.00
129193-Neeamia Arruda-10004.08
843264-Daniel Vieyra-14334.71
517412-Micaela Chavez-20068.36
809399-Lurdes Cotrim-21314.53
687095-Emedlio Pimentel-5746.84
701144-Lina Andrade-3494.31
819854-Judite Damasceno-18797.33
476313-Sidfnio Frois-2709.65
728414-Carminda Morais-6993.52
380830-Elisa Themes-18948.37
585274-Domingos Pas-3684.82
281143-Camila Gabeira-3098.42
358920-Basilio Pedroso-13153.59
33137-Filomena Barrios-17331.69
515198-Esperada Cardoso-2693.72
613786-Quintiliano Sousa de Arronches-3260.74
713846-Quintiliano Sousa de Arronches-5608.93
249300-Aludsio Sosa-2598.86
771237-Tibefarcio Colao-9786.14
381656-Ubaldo Mainha-12469.95
308590-Tibofarcio Camacho-300.97
160072-Jonatas Felgueiras-15153.78
482490-Regina Barcellos-16657.37
157507-Jonatas Felgueiras-17157.70
801749-Delfim Higuera-14268.02
129887-Filomena Barrios-18014.15
405017-Antonio Castelo-7766.46
412894-Zulmira Becerra-2084.11
902350-Guaraci Damasceno-7061.83
743995-Quintino Alcantara-3160.81
422590-Sidfnio Frois-20843.89
100034-Edgar Carvalheiro-5690.66
619590-Jorgina Bogalho-14985.48
15022-Armanda Amorim-4372.22
579379-Celeste Duarte-16640.24
32458-Melinda Roserio-14586.70
559053-Leonidas Mafra-1705.91
979016-Jorgina Bogalho-18270.04
285014-Sidfnio Frois-2564.23
205461-Cleusa Goes-4531.67
637540-Angelica Aranha-171.06
166524-Armindo Castalo-14642.06
589908-Leonidas Mafra-8093.42
266614-Artur Grillo-15153.57
713426-Mercia Caeira-10204.53
478247-Armanda Amorim-17414.85
174863-Oliveira Carmona-18570.44
33474-Romo Paranage-19280.23
787027-Feledcia Peassego-668.24
239463-Taercio Mafra-15470.30
772440-Telma Villalobos-11731.84
210898-Odilia Bello-11228.67
714911-Flor Portella-7639.73
766969-Tibofarcio Camacho-17622.39
557283-Basilio Pedroso-15384.69
887603-Joaquim Rufino-15194.64
404167-Feledcia Peassego-13591.55
995642-Guaraci Damasceno-18341.88
623976-Mercia Caeira-10054.92
158817-Adelina Quadros-17267.31
376864-Oliveira Carmona-190.20
700706-Oliveira Senchez-1142.31
230379-Sofras Cuaresma-4339.46
618175-Lurdes Cotrim-3292.29
362766-Augusta Paio-2373.03
76235-Basilio Pedroso-18221.91
791039-Sofras Cuaresma-1001.11
66233-Delfim Higuera-16841.07
364480-Ximena Castilho-19587.31
3499-Romo Paranage-11804.06
672399-Angilica Galante-19497.83
41425-Domingos Pas-21364.83
277101-Micaela Chavez-10572.30
2038-Oliveira Carmona-16688.48
482852-Moaci Mendoa-11917.27
432967-Armindo Castalo-6463.20
363336-Delfim Higuera-17741.11
448821-Sidfnio Frois-21371.77
755600-Neeamia Arruda-15160.58
554349-Clarindo Areosa-21250.62
84531-Filomena Barrios-12162.50
151290-Mercia Caeira-21102.92
449173-Odete Vasques-16350.85
693090-Almerinda Palmeira-5546.04
166364-Joaquim Rufino-6310.87
942630-Ermelinda Quintela-12555.20
425843-Artur Grillo-17998.83
536523-Clarindo Areosa-14758.48
753959-Armindo Castalo-21176.04
702128-Jorgina Bogalho-4356.74
88903-Fulvio Villegas-3042.75
258445-Marilda Leio-17424.27
427812-Elisa Themes-5693.92
343735-Filomena Barrios-15140.85
624390-Almor Caiado-6107.68
632542-Sidfnio Frois-2442.27
960780-Adelina Quadros-891.69
916494-Esperada Cardoso-2457.06
82269-Delfina Garcia de Gondim-2504.59
306234-Carminda Morais-20621.62
108240-Filomena Barrios-4187.67
160685-Anind Zarco-15650.25
537700-Gaudancio Fiees-11949.69
34-Delfim Higuera-3658.30
66076-Odilia Camello-7464.54
735032-Adelino Barra-13810.86
439868-Cleusa Goes-7685.64
27568-Odete Vasques-6829.96
979658-Polibe Olivares-11140.79
51738-Manuel Capiperibe-14303.85
798158-Honorina Lira-16094.93
819800-Ermelinda Quintela-7201.70
784308-Tabalipa Duarte-8727.08
140855-Oliveira Senchez-15547.08
98882-Honorina Lira-11732.91
341107-Clara Alcantara-3595.42
293808-Odilia Camello-3689.82
415533-Nuno Balsemeo-8540.09
759156-Tarrataca Soares-11429.89
562284-Filomena Barrios-12060.41
527046-Sara Lameiras-14788.39
775049-Armindo Castalo-1181.75
564739-Tibefarcio Colao-10139.59
323927-Letedcia Gago-4406.17
912702-Zungela Ipiranga-20597.15
471806-Polibe Olivares-395.73
117428-Nuno Balsemeo-10668.67
843054-Edgar Carvalheiro-9357.99
565176-Aludsio Sosa-20395.58
366065-Marilda Leio-3336.36
68307-Edgar Carvalheiro-276.80
780142-Almerinda Palmeira-15404.55
178608-Regina Barcellos-21420.20
768700-Branco Saraba-8798.60
99510-Emedlio Pimentel-2672.89
204409-Marilda Leio-10507.61
883837-Zungela Ipiranga-3163.94
28607-Odete Vasques-9802.38
182639-Adelina Quadros-15778.03
358296-Armindo Castalo-10756.85
58259-Cleusa Goes-9042.70
629744-Sofras Cuaresma-5255.66
859846-Ermelinda Quintela-6597.45
565578-Neeamia Arruda-320.30
887795-Almor Caiado-1971.29
958083-Flamednia Leiria-1808.50
84847-Augusta Paio-3427.34
78246-Telma Villalobos-10517.63
386517-Trajano Fagundes-10144.62
768817-Lurdes Cotrim-13738.20
303782-Feledcia Peassego-11883.95
2107-Melinda Roserio-19370.24
671544-Taercio Mafra-15904.00
876834-Quintiliano Sousa de Arronches-11624.82
941903-Nuno Balsemeo-10938.86
295806-Cleusa Goes-12968.45
926701-Neuza Francia-18109.29
952016-Mercia Caeira-15555.24
731158-Anfnia Seixas-14664.27
312951-Urbano Rodrigues-14357.12
96165-Gaudancio Fiees-17970.16
149106-Eurico Siqueira-4305.34
284622-Regina Barcellos-10242.06
648617-Almerinda Palmeira-14250.83
558846-Carminda Morais-3655.41
598469-Odete Vasques-2603.53
488245-Odete Vasques-127.96
112013-Neuza Francia-20867.48
14732-Sara Lameiras-10199.96
379042-Cassandra Varejo-5378.25
563238-Estanislau Beserra-17159.21
174636-Micaela Chavez-11635.87
810276-Emedlia Silvera-15538.71
362708-Tibefarcio Colao-13990.36
397510-Honorina Lira-7311.11
835181-Neeamia Arruda-18947.10
633804-Estanislau Beserra-7757.15
361875-Quintino Alcantara-20118.26
130344-Delfina Garcia de Gondim-2123.58
842079-Delfina Perdigon-6867.37
265899-Guaraci Damasceno-5138.16
738290-Odete Vasques-8819.91
228655-Nuno Balsemeo-15808.01
441243-Esperada Cardoso-20531.64
252887-Jorgina Bogalho-13140.78
605490-Tabalipa Duarte-4574.29
311211-Neeamia Arruda-7800.63
813103-Basilio Pedroso-19454.25
63181-Ubaldo Mainha-12140.72
341661-Neuza Francia-524.30
445142-Rebeca Neto-20436.96
469789-Danilo Olaio-3949.51
597413-Adelino Barra-19791.79
112635-Sidfnio Frois-13781.37
664074-Delfina Perdigon-169.06
843279-Jussara Varanda-4085.12
732367-Sofras Cuaresma-6658.23
852289-Flamednia Leiria-8016.36
315057-Ximena Castilho-7552.15
135404-Dulce Froes-15465.57
692372-Basilio Pedroso-15660.02
581903-Tibofarcio Camacho-3819.88
462281-Oliveira Carmona-13055.86
660134-Joaquim Rufino-15956.98
21818-Branco Saraba-5038.79
977547-Odilia Camello-9087.22
878854-Eurico Siqueira-4099.71
843191-Antonio Viegas-19308.23
232435-Micaela Chavez-10406.54
725984-Domingos Pas-993.06
133215-Telma Villalobos-19409.99
752731-Estanislau Beserra-6370.97
839175-Jorgina Bogalho-13645.59
104849-Almerinda Palmeira-14092.19
23702-Danilo Olaio-6767.58
848619-Delfina Garcia de Gondim-4812.51
185092-Almerinda Palmeira-12801.30
860684-Armindo Castalo-17059.73
172146-Sofras Cuaresma-15567.22
699012-Lurdes Cotrim-20464.48
299294-Lurdes Cotrim-10800.98
418136-Melinda Roserio-7013.67
525327-Adelina Quadros-13052.06
218280-Nuno Balsemeo-5758.27
125983-Leonidas Mafra-20388.51
428861-Fulvio Villegas-14162.16
453841-Esperada Cardoso-12639.17
449644-Odete Vasques-1002.94
784909-Filomena Barrios-8744.67
774695-Zulmira Becerra-466.82
587108-Clara Alcantara-13109.81
398170-Quintiliano Sousa de Arronches-19383.99
822486-Liana Cardim-1634.41
805987-Telma Villalobos-15866.59
525157-Polibe Olivares-13613.02
518168-Rodolfo Paz-21387.30
246213-Romo Paranage-5327.01
620852-Neuza Francia-12481.50
485275-Adelino Barra-19209.35
588269-Ximena Castilho-14442.26
139468-Eurico Siqueira-20648.13
821142-Cassandra Varejo-14287.28
353319-Delfim Higuera-1730.67
607878-Moaci Mendoa-18098.73
689668-Tarrataca Soares-13059.14
655096-Cleusa Goes-14854.32
836429-Jorgina Bogalho-6821.95
935112-Oliveira Carmona-1763.32
844532-Letedcia Gago-16738.17
220485-Silvio Mata-2889.22
278335-Cleusa Goes-2155.78
317375-Edgar Carvalheiro-3863.99
788447-Dulce Froes-15027.52
184174-Melinda Roserio-5748.77
271893-Liana Cardim-3260.83
661234-Clara Alcantara-6477.38
297410-Zungela Ipiranga-8085.74
634264-Rebeca Neto-20725.09
121438-Spnia ou Sonia Guerreiro-2448.70
576547-Melinda Roserio-4950.91
257934-Lurdes Cotrim-7223.69
785410-Adelina Quadros-902.03
40795-Antonio Viegas-5369.91
362926-Zulmira Becerra-786.92
74142-Angelica Aranha-3019.64
699602-Marilda Leio-4206.25
273824-Zulmira Becerra-4259.22
559375-Urbano Rodrigues-8505.56
177107-Delfim Higuera-7951.94
612294-Flor Portella-332.87
969558-Guaraci Damasceno-90.61
421071-Danilo Olaio-6398.47
271623-Jorgina Bogalho-12068.88
874533-Angelica Aranha-18832.51
870383-Joaquim Rufino-1838.41
948841-Edgar Carvalheiro-17095.41
765005-Oliveira Carmona-15033.31
671655-Delfina Perdigon-2474.07
87551-Oliveira Carmona-2655.84
889931-Camila Gabeira-10841.96
