400881-Antonio Viegas-5384.73
523374-Honorina Lira-9307.03
726796-Antonio Viegas-4318.51
903394-Anfnia Seixas-3544.60
532268-Sofras Cuaresma-11199.13
786466-Elisa Themes-3364.15
972862-Ximena Castilho-4719.29
856139-Sidfnio Frois-17977.82
85702-Adelina Quadros-8130.20
919611-Clara Alcantara-18256.12
250754-Sidfnio Frois-7735.29
963316-Dulce Froes-3305.69
822567-Henrique Bento-17612.96
775230-Liana Cardim-1167.15
871391-Quintiliano Sousa de Arronches-10262.48
48628-Basilio Pedroso-10005.50
673262-Micaela Chavez-17075.23
92211-Liana Cardim-15928.96
548596-Adelino Barra-19069.81
182948-Clara Alcantara-18674.17
537870-Daniel Vieyra-17651.85
881707-Angelica Aranha-14096.64
928438-Edgar Carvalheiro-11060.03
342740-Aludsio Sosa-6682.95
700599-Urbano Rodrigues-12941.66
487477-Jussara Varanda-17842.15
688893-Delfina Garcia de Gondim-16164.04
335711-Tibefarcio Colao-3210.13
764570-Leonidas Mafra-15515.61
729523-Tabalipa Duarte-3342.61
306245-Odilia Bello-1443.15
928323-Polibe Olivares-15201.97
119129-Adelina Quadros-10976.42
121813-Jorgina Bogalho-14559.84
839769-Henrique Bento-8022.01
805266-Clarindo Areosa-2562.05
837473-Manuel Capiperibe-1544.10
909253-Armanda Amorim-9687.46
876745-Antonio Castelo-2020.27
342003-Leonidas Mafra-8147.56
740992-Delfim Higuera-3375.79
840816-Jonatas Felgueiras-16915.07
121145-Clara Alcantara-9121.43
404545-Rodolfo Paz-19082.65
982598-Estanislau Beserra-5016.21
243048-Quintino Alcantara-20134.26
234523-Antonio Viegas-10017.80
146637-Judite Damasceno-13216.89
71602-Carminda Morais-2710.82
558013-Lina Andrade-19044.24
821523-Gaudancio Fiees-16466.81
400002-Angilica Galante-12630.39
175158-Ximena Castilho-156.76
108133-Jorgina Bogalho-11580.81
25314-Rebeca Neto-10635.80
660005-Clara Alcantara-10263.39
16035-Estanislau Beserra-6830.90
265945-Lina Andrade-16502.37
261799-Delfim Higuera-21013.08
800871-Heleedsa Marins-14403.83
96331-Augusta Paio-17.20
970777-Ximena Castilho-771.20
868884-Quintiliano Sousa de Arronches-10392.96
426133-Jorgina Bogalho-18384.04
247987-Regina Barcellos-17829.45
206918-Jonatas Felgueiras-16751.22
591840-Angilica Galante-17711.38
272931-Guaraci Damasceno-779.20
159444-Telma Villalobos-18591.82
128123-Ximena Castilho-8744.99
520972-Delfina Garcia de Gondim-861.12
628039-Lurdes Cotrim-19790.83
773788-Joaquim Rufino-18024.68
595717-Delfina Perdigon-4684.10
498371-Odete Vasques-20326.58
497051-Odete Vasques-5543.82
351159-Andreia Moita-1944.90
778866-Sofras Cuaresma-19547.63
475866-Micaela Chavez-7144.38
997408-Carminda Morais-10395.67
901505-Andreia Moita-5396.04
526033-Carminda Morais-8612.32
270994-Nuno Balsemeo-11200.06
827899-Judite Damasceno-13316.01
304880-Quintiliano Sousa de Arronches-5066.16
727251-Camila Gabeira-18561.13
787722-Honorina Lira-21114.64
502328-Neuza Francia-19557.60
137013-Delfina Perdigon-8917.52
469930-Micaela Chavez-10207.49
818302-Odilia Camello-16356.51
762107-Odilia Bello-5906.93
304826-Anind Zarco-1104.80
348048-Armindo Castalo-12343.08
285202-Tarrataca Soares-15056.13
396979-Neuza Francia-5598.57
406649-Angilica Galante-721.61
389701-Micaela Chavez-18136.63
168121-Tabalipa Duarte-15673.17
385003-Odilia Bello-11923.03
