412159-Leonidas Mafra-14038.42
376766-Delfim Higuera-9501.97
733893-Jonatas Felgueiras-2380.15
132088-Augusta Paio-17839.29
273750-Filomena Barrios-15438.24
318956-Liana Cardim-212.88
405200-Guida Juca-18304.12
849752-Flor Portella-18853.43
710035-Rodolfo Paz-14171.56
123519-Aludsio Sosa-9532.99
883860-Ximena Castilho-7952.28
185918-Oliveira Senchez-20616.05
207998-Trajano Fagundes-4168.55
356606-Elisa Themes-2555.03
144521-Heleedsa Marins-20427.77
711963-Tibefarcio Colao-18246.12
495174-Dulce Froes-19570.18
653623-Odilia Camello-14413.84
110919-Odete Vasques-736.10
453-Armindo Castalo-9167.34
798357-Moaci Mendoa-12936.18
471306-Esperada Cardoso-11063.20
341333-Aludsio Sosa-7720.44
226826-Manuel Capiperibe-11814.01
557912-Nuno Balsemeo-18235.45
229113-Emedlia Silvera-17667.74
671605-Jorgina Bogalho-20642.69
559289-Oliveira Senchez-12614.39
789862-Edgar Carvalheiro-16835.50
692533-Anind Zarco-19445.50
894646-Urbano Rodrigues-18968.65
841064-Judite Damasceno-7968.52
908555-Antonio Castelo-17421.94
831011-Odilia Camello-6759.37
256873-Anfnia Seixas-15294.95
976243-Lurdes Cotrim-15517.24
824431-Spnia ou Sonia Guerreiro-7639.12
206636-Tabalipa Duarte-9964.71
972611-Jonatas Felgueiras-19872.61
865095-Domingos Pas-8584.70
491255-Armanda Amorim-7108.81
734951-Jorgina Bogalho-1922.38
814805-Oliveira Senchez-13641.47
455168-Delfim Higuera-3484.94
496294-Eurico Siqueira-16957.51
599055-Camila Gabeira-10062.44
475416-Jorgina Bogalho-1045.85
653255-Danilo Olaio-9477.91
269843-Armanda Amorim-6822.80
952452-Edgar Carvalheiro-15291.45
701534-Adelino Barra-1101.53
831798-Emedlia Silvera-20138.88
814551-Cleusa Goes-19042.19
507478-Delfina Garcia de Gondim-5531.91
137406-Jorgina Bogalho-12896.87
778598-Danilo Olaio-16422.86
660168-Delfina Perdigon-12302.78
453721-Neeamia Arruda-21179.31
718547-Clarindo Areosa-12717.17
277212-Celeste Duarte-3751.86
305896-Daniel Vieyra-13728.87
215597-Elisa Themes-18667.19
363733-Zulmira Becerra-5060.50
175209-Dulce Froes-11805.58
481038-Antonio Castelo-2712.11
54443-Gaudancio Fiees-14549.90
871669-Ximena Castilho-19886.50
789851-Jonatas Felgueiras-4886.20
982920-Antonio Castelo-988.55
972543-Branco Saraba-6591.32
623816-Antonio Viegas-8804.38
427994-Adelino Barra-14736.54
636379-Flamednia Leiria-4835.34
580129-Melinda Roserio-14217.09
714412-Ubaldo Mainha-3417.06
535523-Odilia Bello-10867.61
675221-Neeamia Arruda-3681.49
92571-Tabalipa Duarte-4379.39
440827-Angelica Aranha-964.38
538890-Tabalipa Duarte-259.27
822860-Artur Grillo-17555.51
994270-Tarrataca Soares-11004.95
401271-Zulmira Becerra-746.48
858414-Neuza Francia-5822.28
389531-Polibe Olivares-10289.42
132026-Delfim Higuera-5569.94
380851-Joaquim Rufino-8086.69
796172-Polibe Olivares-8667.62
831712-Odilia Bello-7017.19
722370-Melinda Roserio-15852.58
745358-Cleusa Goes-17450.81
722924-Quintino Alcantara-4065.92
354314-Marilda Leio-15839.93
35964-Quintiliano Sousa de Arronches-14883.68
426732-Jussara Varanda-13002.74
524008-Letedcia Gago-12909.22
898587-Elisa Themes-7678.19
422140-Delfim Higuera-17196.15
400868-Adelino Barra-3399.63
301341-Camila Gabeira-10226.86
