134250-Esperada Cardoso-6813.70
237607-Manuel Capiperibe-4363.23
88202-Quintiliano Sousa de Arronches-16299.48
923357-Jussara Varanda-14813.54
23385-Armanda Amorim-8289.78
181683-Artur Grillo-17684.77
170071-Rebeca Neto-17298.85
759709-Zungela Ipiranga-18044.85
706409-Edgar Carvalheiro-15658.39
207243-Odete Vasques-11024.30
233389-Lina Andrade-1930.81
146727-Jonatas Felgueiras-14903.18
535241-Fulvio Villegas-16614.07
147518-Anind Zarco-13468.46
323673-Antonio Castelo-403.86
355738-Daniel Vieyra-2465.68
12952-Antonio Viegas-9387.38
768484-Delfim Higuera-16684.97
952783-Emedlio Pimentel-15337.20
480616-Anfnia Seixas-21359.28
487039-Edgar Carvalheiro-4946.77
863651-Artur Grillo-12108.24
563160-Zungela Ipiranga-17463.59
210405-Filomena Barrios-10070.23
244565-Clara Alcantara-4538.63
740777-Sofras Cuaresma-14852.19
746654-Odete Vasques-13297.48
637865-Mercia Caeira-18015.17
46444-Odilia Bello-7389.86
294432-Odilia Bello-4109.83
972641-Manuel Capiperibe-10294.70
248025-Domingos Pas-11283.33
841840-Eurico Siqueira-11438.97
358639-Mercia Caeira-5586.23
238133-Odilia Bello-8538.68
503707-Marilda Leio-7111.25
820692-Antonio Castelo-18988.72
908216-Filomena Barrios-18520.26
493283-Letedcia Gago-2275.89
798655-Eurico Siqueira-7388.83
64279-Augusta Paio-1933.72
7193-Tarrataca Soares-9316.20
290476-Oliveira Senchez-1489.78
933016-Moaci Mendoa-16543.37
115035-Clarindo Areosa-3520.92
160208-Lurdes Cotrim-5775.95
940623-Judite Damasceno-4299.32
469234-Antonio Castelo-8478.41
30877-Branco Saraba-13523.34
94686-Almor Caiado-13296.49
624927-Romo Paranage-7682.29
657694-Spnia ou Sonia Guerreiro-1627.53
507583-Emedlio Pimentel-7240.43
286810-Odilia Camello-20509.77
173076-Ubaldo Mainha-8556.08
443652-Polibe Olivares-18867.68
839313-Henrique Bento-1872.25
139419-Eurico Siqueira-13816.94
949131-Micaela Chavez-8292.42
380300-Ximena Castilho-14163.36
178303-Anfnia Seixas-14064.77
864837-Moaci Mendoa-18291.35
171577-Zungela Ipiranga-16651.59
456713-Adelina Quadros-20584.46
78886-Tabalipa Duarte-14201.35
308933-Sofras Cuaresma-6040.95
650562-Andreia Moita-3214.51
408112-Liana Cardim-3235.90
522505-Ubaldo Mainha-3150.56
970670-Micaela Chavez-5234.36
583968-Moaci Mendoa-16876.14
943029-Lurdes Cotrim-18534.79
538695-Tibofarcio Camacho-19526.51
694146-Dulce Froes-21341.08
342398-Guaraci Damasceno-19047.03
598486-Cassandra Varejo-16165.28
138971-Angelica Aranha-18471.79
420828-Antonio Castelo-8791.03
880588-Adelina Quadros-17076.26
614535-Tabalipa Duarte-13901.13
168300-Edgar Carvalheiro-12562.13
232218-Armindo Castalo-20741.56
431279-Odete Vasques-18592.11
305770-Filomena Barrios-13354.22
658853-Joaquim Rufino-4062.80
630900-Urbano Rodrigues-20748.79
214620-Jorgina Bogalho-17855.34
765678-Oliveira Senchez-18729.55
390790-Henrique Bento-15713.52
71790-Adelina Quadros-17099.66
705330-Neeamia Arruda-15576.51
469714-Neuza Francia-3734.00
713427-Armindo Castalo-21338.31
124398-Andreia Moita-20616.53
675693-Gaudancio Fiees-678.28
929845-Danilo Olaio-18674.59
228493-Domingos Pas-16221.90
222199-Manuel Capiperibe-18009.56
319074-Emiliana Foquio-5798.63
557977-Feledcia Peassego-4214.51
