154213-Guida Juca-11724.65
319065-Almerinda Palmeira-14490.31
324210-Taercio Mafra-7879.58
260638-Sofras Cuaresma-21369.66
26654-Cassandra Varejo-17104.07
575597-Regina Barcellos-10650.63
285611-Tibofarcio Camacho-19706.79
963252-Regina Barcellos-2654.26
840962-Heleedsa Marins-18114.41
324067-Heleedsa Marins-6068.09
406611-Delfina Perdigon-10129.63
638260-Danilo Olaio-11052.82
296314-Fulvio Villegas-20686.06
392461-Delfina Perdigon-16183.83
796046-Fulvio Villegas-3049.26
519918-Edgar Carvalheiro-19965.02
274451-Danilo Olaio-14383.04
882042-Flor Portella-2987.83
139523-Antonio Castelo-11266.24
682272-Rodolfo Paz-14479.48
646373-Basilio Pedroso-20593.55
592254-Micaela Chavez-19155.10
569180-Polibe Olivares-12783.22
504526-Quintiliano Sousa de Arronches-17067.15
438707-Elisa Themes-15640.27
780152-Estanislau Beserra-5560.63
701036-Angilica Galante-6503.38
817815-Delfina Garcia de Gondim-9602.20
843759-Melinda Roserio-13023.59
343422-Augusta Paio-8255.58
651655-Delfina Perdigon-1657.21
922672-Jonatas Felgueiras-4953.13
991889-Heleedsa Marins-11158.82
183517-Honorina Lira-6679.03
274546-Almor Caiado-12883.42
291632-Oliveira Carmona-3926.38
326723-Guida Juca-11933.39
665430-Armindo Castalo-13661.57
787359-Joaquim Rufino-11765.17
566175-Melinda Roserio-2883.77
776890-Adelino Barra-14560.29
375171-Flor Portella-13974.67
999279-Basilio Pedroso-12179.76
945528-Moaci Mendoa-8386.76
122731-Polibe Olivares-18779.50
326935-Esperada Cardoso-3457.58
110761-Tabalipa Duarte-3860.85
748662-Almerinda Palmeira-12897.50
89975-Rebeca Neto-12080.54
823279-Quintino Alcantara-12676.20
598143-Sofras Cuaresma-7689.13
609996-Melinda Roserio-17712.89
934741-Emedlio Pimentel-18952.88
657909-Daniel Vieyra-2717.50
284028-Armindo Castalo-7548.73
251804-Edgar Carvalheiro-6137.16
374094-Delfim Higuera-4043.43
835582-Adelina Quadros-7770.92
970436-Emedlio Pimentel-5446.98
622415-Ubaldo Mainha-10095.21
167646-Guida Juca-8496.36
741431-Cassandra Varejo-2307.62
299148-Cleusa Goes-17956.97
832684-Letedcia Gago-2178.71
558262-Odilia Camello-4601.55
234075-Cleusa Goes-16634.07
184459-Tabalipa Duarte-20727.81
219786-Mercia Caeira-7341.33
521838-Cassandra Varejo-11611.03
877974-Jorgina Bogalho-2352.42
370721-Emiliana Foquio-3924.10
776969-Antonio Castelo-9411.51
988242-Rodolfo Paz-11314.50
3818-Lina Andrade-337.99
769227-Neuza Francia-6343.58
407200-Dulce Froes-5161.08
277376-Tarrataca Soares-248.09
974165-Delfina Perdigon-16940.29
278932-Letedcia Gago-3710.67
798004-Adelino Barra-15589.45
838310-Tibofarcio Camacho-828.32
514344-Armindo Castalo-10066.09
952455-Emiliana Foquio-18065.97
120088-Eurico Siqueira-831.17
642448-Anind Zarco-4028.87
319916-Almor Caiado-13732.94
437000-Antonio Viegas-14605.71
335089-Jussara Varanda-10690.62
882470-Esperada Cardoso-9758.57
533227-Guida Juca-17256.55
426129-Regina Barcellos-330.10
728820-Elisa Themes-10425.24
699085-Polibe Olivares-6899.93
636072-Feledcia Peassego-7711.13
856112-Romo Paranage-15037.55
950173-Cleusa Goes-12005.92
152328-Taercio Mafra-15250.29
163390-Rodolfo Paz-2548.80
203145-Adelina Quadros-2717.62
826136-Oliveira Senchez-5892.96
