668146-Anind Zarco-4292.21
945332-Marilda Leio-8334.38
231288-Delfim Higuera-5376.66
816655-Quintino Alcantara-11585.41
462081-Ubaldo Mainha-2718.15
731851-Odilia Bello-20545.24
997884-Moaci Mendoa-20206.38
649397-Neeamia Arruda-8766.48
64621-Neuza Francia-7567.66
832565-Antonio Viegas-7459.83
792299-Rodolfo Paz-16466.52
458159-Emedlia Silvera-12941.13
824222-Augusta Paio-4978.61
513602-Sara Lameiras-6616.77
253632-Adelino Barra-18751.40
589728-Branco Saraba-9593.88
241952-Liana Cardim-8459.02
454470-Odilia Camello-12775.51
251692-Oliveira Carmona-12121.32
498860-Augusta Paio-7954.81
656170-Judite Damasceno-5817.90
34151-Daniel Vieyra-6402.48
366639-Tarrataca Soares-18850.72
365106-Letedcia Gago-4651.02
421142-Leonidas Mafra-8893.56
776243-Antonio Viegas-6984.62
688112-Honorina Lira-17567.04
237671-Ermelinda Quintela-5416.75
951596-Guida Juca-12299.26
431170-Daniel Vieyra-3679.42
410437-Andreia Moita-18445.98
41191-Tibefarcio Colao-17941.48
301469-Judite Damasceno-10500.31
422558-Branco Saraba-1499.13
737467-Armindo Castalo-2523.34
191925-Feledcia Peassego-16291.10
550488-Neeamia Arruda-20397.98
811039-Odilia Bello-13575.52
139328-Artur Grillo-4590.20
116328-Neeamia Arruda-1009.68
58254-Gaudancio Fiees-10293.78
306459-Danilo Olaio-5959.36
319104-Zulmira Becerra-947.54
404058-Polibe Olivares-236.92
591275-Urbano Rodrigues-10444.30
650741-Antonio Castelo-7371.38
172182-Esperada Cardoso-612.05
913904-Emedlio Pimentel-20100.16
330376-Romo Paranage-14186.72
189642-Henrique Bento-16467.88
990563-Anind Zarco-13423.63
905661-Leonidas Mafra-10871.86
485440-Delfina Garcia de Gondim-15215.05
96538-Anfnia Seixas-2354.25
620414-Antonio Viegas-19890.16
478210-Emedlio Pimentel-12291.83
478873-Almerinda Palmeira-8018.72
277811-Liana Cardim-3163.02
629047-Urbano Rodrigues-3141.49
516881-Anfnia Seixas-20253.39
372483-Rodolfo Paz-15228.45
122644-Melinda Roserio-6512.68
292202-Zungela Ipiranga-12047.53
731682-Flor Portella-20858.49
863644-Basilio Pedroso-12969.86
425554-Romo Paranage-12379.81
642042-Domingos Pas-13904.60
547244-Emiliana Foquio-16467.38
501255-Camila Gabeira-12168.83
127051-Flor Portella-5599.16
57312-Emiliana Foquio-19242.89
866645-Telma Villalobos-20444.11
861509-Elisa Themes-15162.20
361008-Mercia Caeira-4344.68
801904-Moaci Mendoa-9703.31
775473-Polibe Olivares-20207.57
448807-Antonio Viegas-279.15
477737-Jonatas Felgueiras-14954.63
325223-Guida Juca-19909.64
321641-Oliveira Carmona-7856.07
172985-Emedlia Silvera-16736.65
386172-Eurico Siqueira-17025.31
866862-Zungela Ipiranga-19593.93
616847-Eurico Siqueira-18182.70
216314-Quintino Alcantara-15145.88
834733-Neeamia Arruda-8898.80
917609-Almor Caiado-11733.29
492871-Regina Barcellos-10193.23
805627-Micaela Chavez-7441.65
517628-Joaquim Rufino-6620.03
145754-Adelina Quadros-6506.92
578841-Gaudancio Fiees-855.95
423181-Adelino Barra-17654.61
520032-Basilio Pedroso-4525.95
84724-Tabalipa Duarte-3803.27
980902-Elisa Themes-6981.62
150472-Ermelinda Quintela-4965.96
235475-Quintino Alcantara-11660.89
299507-Taercio Mafra-584.11
843824-Jussara Varanda-5379.28
