818811-Flor Portella-10427.70
337685-Rebeca Neto-20517.43
232189-Anfnia Seixas-15884.73
242934-Flor Portella-5729.90
338961-Moaci Mendoa-6238.39
117657-Jussara Varanda-3780.37
372892-Odete Vasques-7159.13
773105-Quintino Alcantara-19968.67
68108-Almerinda Palmeira-9408.30
93384-Micaela Chavez-12786.21
286553-Judite Damasceno-19614.40
656049-Joaquim Rufino-20287.78
62629-Zulmira Becerra-19105.26
505490-Letedcia Gago-17182.86
876734-Dulce Froes-61.41
254852-Fulvio Villegas-7912.59
720108-Sofras Cuaresma-7051.48
32131-Jussara Varanda-5434.37
907210-Carminda Morais-2550.22
564712-Armanda Amorim-9641.15
960577-Basilio Pedroso-11014.02
642584-Andreia Moita-11270.58
584088-Emedlio Pimentel-6786.37
998187-Almerinda Palmeira-10411.42
402244-Regina Barcellos-15860.19
161827-Neuza Francia-18172.74
958525-Guida Juca-16665.10
184862-Silvio Mata-630.59
277717-Sidfnio Frois-13929.66
201036-Camila Gabeira-11720.47
778400-Judite Damasceno-11285.24
795916-Tibefarcio Colao-1576.83
107622-Leonidas Mafra-3112.67
462058-Mercia Caeira-10302.65
618512-Leonidas Mafra-7401.84
915945-Jorgina Bogalho-648.62
472013-Anfnia Seixas-15298.21
692314-Urbano Rodrigues-15560.05
833600-Fulvio Villegas-21402.83
513036-Angelica Aranha-20760.01
824006-Guida Juca-4942.95
536713-Oliveira Senchez-15040.91
307205-Telma Villalobos-6917.15
230815-Flor Portella-21151.77
296682-Filomena Barrios-10503.12
897892-Cassandra Varejo-17982.28
289298-Oliveira Senchez-8552.16
191007-Feledcia Peassego-10739.09
667855-Polibe Olivares-8502.59
110700-Zungela Ipiranga-4392.88
116958-Oliveira Senchez-8051.12
647206-Basilio Pedroso-9016.49
860381-Romo Paranage-18559.56
856923-Angilica Galante-517.03
118667-Fulvio Villegas-8250.00
564210-Rebeca Neto-14668.98
388082-Delfim Higuera-16471.87
32458-Feledcia Peassego-8848.94
198551-Jussara Varanda-13905.62
647727-Letedcia Gago-2621.89
130078-Camila Gabeira-8193.06
907654-Estanislau Beserra-20429.53
292722-Camila Gabeira-19433.30
392904-Armanda Amorim-8317.03
186612-Tabalipa Duarte-18858.22
808709-Anfnia Seixas-15509.03
658788-Delfina Garcia de Gondim-20392.91
241568-Judite Damasceno-5858.40
