197112-Adelino Barra-16300.72
524736-Elisa Themes-12844.47
455231-Delfim Higuera-10170.02
40254-Tibofarcio Camacho-20067.33
933173-Marilda Leio-7280.78
244788-Odete Vasques-18083.19
637255-Odilia Camello-11126.52
281604-Melinda Roserio-14091.92
535416-Ximena Castilho-14840.91
580787-Heleedsa Marins-15963.67
483698-Domingos Pas-2190.80
106352-Armanda Amorim-21376.05
658485-Armanda Amorim-735.77
401464-Trajano Fagundes-19186.17
527555-Carminda Morais-14500.66
654570-Clarindo Areosa-5518.28
40741-Quintiliano Sousa de Arronches-5449.81
643767-Cassandra Varejo-11232.63
632031-Ermelinda Quintela-11103.14
692928-Delfim Higuera-10414.12
316677-Romo Paranage-17048.95
528507-Cleusa Goes-19940.02
703471-Zulmira Becerra-17821.77
880583-Quintino Alcantara-2420.94
307276-Sara Lameiras-16696.22
328548-Polibe Olivares-16892.76
668471-Delfina Perdigon-13978.33
177200-Elisa Themes-20484.77
878320-Leonidas Mafra-10426.26
186357-Nuno Balsemeo-2418.35
377537-Elisa Themes-676.68
648971-Guaraci Damasceno-27.13
41747-Zungela Ipiranga-13314.16
11097-Artur Grillo-7758.13
113627-Ermelinda Quintela-3426.37
282510-Quintino Alcantara-7599.65
795239-Melinda Roserio-16886.34
289068-Camila Gabeira-20938.11
561953-Almerinda Palmeira-12372.06
149312-Carminda Morais-6029.08
148282-Armindo Castalo-17872.86
75267-Moaci Mendoa-7144.51
3915-Tibofarcio Camacho-16694.93
625414-Aludsio Sosa-4310.21
857580-Trajano Fagundes-10651.34
711617-Domingos Pas-7269.33
842095-Telma Villalobos-21157.28
838812-Henrique Bento-14815.34
312830-Domingos Pas-20950.96
928884-Odilia Bello-7717.61
379903-Zungela Ipiranga-7004.26
498916-Adelino Barra-14385.01
330783-Honorina Lira-6850.21
95326-Zulmira Becerra-2221.63
673130-Odilia Bello-2920.21
887823-Lurdes Cotrim-4167.32
584305-Tarrataca Soares-1380.91
914695-Sofras Cuaresma-8539.30
572545-Spnia ou Sonia Guerreiro-3177.59
952528-Joaquim Rufino-17196.88
241000-Adelina Quadros-10065.84
331852-Neuza Francia-3935.99
390405-Henrique Bento-20309.30
942056-Zungela Ipiranga-8075.42
514254-Delfina Garcia de Gondim-17942.15
736979-Oliveira Carmona-10386.19
892740-Neuza Francia-14482.03
293130-Danilo Olaio-4166.34
743567-Artur Grillo-377.23
806006-Estanislau Beserra-15486.76
629759-Mercia Caeira-12574.33
879459-Marilda Leio-9512.81
663079-Ubaldo Mainha-13446.72
951830-Andreia Moita-19596.14
920181-Fulvio Villegas-10796.44
393009-Anfnia Seixas-19173.81
114635-Dulce Froes-9047.91
927156-Guida Juca-1576.00
669382-Manuel Capiperibe-11573.44
686849-Letedcia Gago-17041.50
392088-Joaquim Rufino-4222.96
197707-Almor Caiado-1596.92
602622-Angilica Galante-2073.55
453969-Cassandra Varejo-12503.06
847074-Eurico Siqueira-13632.27
971420-Esperada Cardoso-8381.36
231181-Quintiliano Sousa de Arronches-917.67
694312-Zulmira Becerra-14096.94
308212-Estanislau Beserra-13508.80
129075-Emiliana Foquio-2330.83
142132-Tibefarcio Colao-19234.75
104736-Anfnia Seixas-9861.89
348739-Angelica Aranha-21097.92
780898-Elisa Themes-8827.62
343271-Trajano Fagundes-2601.26
550111-Manuel Capiperibe-20360.97
654749-Odete Vasques-8068.45
66279-Sara Lameiras-1680.55
77829-Romo Paranage-5363.63
432968-Domingos Pas-19494.92
