56650-Jonatas Felgueiras-11146.09
165424-Melinda Roserio-2312.01
899585-Telma Villalobos-15766.22
493200-Guida Juca-10721.13
826512-Romo Paranage-20872.90
346889-Leonidas Mafra-218.40
256327-Carminda Morais-6333.03
790276-Angelica Aranha-18067.23
161073-Delfim Higuera-5409.39
251518-Emedlio Pimentel-6527.02
253716-Carminda Morais-15487.58
625772-Esperada Cardoso-18489.24
720737-Basilio Pedroso-5603.40
710779-Lina Andrade-12258.33
262580-Taercio Mafra-961.76
656062-Odilia Camello-13355.23
332472-Quintino Alcantara-2632.95
577692-Zungela Ipiranga-2106.02
405650-Tabalipa Duarte-8817.63
415377-Emedlio Pimentel-365.31
670166-Spnia ou Sonia Guerreiro-3487.85
17585-Lurdes Cotrim-8444.10
82175-Celeste Duarte-5436.48
285444-Emiliana Foquio-13473.58
601604-Liana Cardim-20156.21
724298-Odilia Camello-17517.93
687472-Moaci Mendoa-6876.42
470302-Estanislau Beserra-19022.20
976402-Emiliana Foquio-7981.42
421190-Zulmira Becerra-5690.74
84078-Rebeca Neto-9027.44
21717-Sofras Cuaresma-7662.78
883179-Delfim Higuera-3908.76
600752-Heleedsa Marins-13531.62
151286-Almor Caiado-4302.80
877645-Odete Vasques-18570.04
643070-Melinda Roserio-13602.08
703888-Urbano Rodrigues-17206.78
366728-Sara Lameiras-4501.71
309014-Guaraci Damasceno-2371.08
265912-Quintiliano Sousa de Arronches-17341.92
523844-Urbano Rodrigues-477.30
192229-Tibofarcio Camacho-13216.14
508156-Romo Paranage-18212.14
698758-Quintiliano Sousa de Arronches-6248.82
26613-Clarindo Areosa-21237.60
664137-Eurico Siqueira-12109.19
943801-Armanda Amorim-2971.39
959649-Silvio Mata-17405.06
117332-Almerinda Palmeira-21278.15
864931-Heleedsa Marins-14955.97
356260-Armindo Castalo-1926.38
125257-Anind Zarco-12108.30
286800-Jussara Varanda-7988.54
609983-Tarrataca Soares-3040.69
212760-Celeste Duarte-17420.96
335783-Oliveira Senchez-4222.76
182876-Branco Saraba-13272.20
224340-Eurico Siqueira-20641.80
436579-Polibe Olivares-12838.14
757133-Daniel Vieyra-17026.79
270082-Nuno Balsemeo-20760.35
29847-Urbano Rodrigues-10226.76
919607-Rebeca Neto-10809.63
23763-Odete Vasques-14565.73
9952-Delfina Perdigon-4323.02
788525-Cleusa Goes-20126.38
486200-Odilia Bello-11153.37
323218-Nuno Balsemeo-16085.62
182658-Joaquim Rufino-17949.98
373534-Armindo Castalo-19117.55
678112-Spnia ou Sonia Guerreiro-15455.42
620234-Nuno Balsemeo-7440.88
392131-Almerinda Palmeira-8290.08
534662-Neuza Francia-14740.31
746585-Ubaldo Mainha-11565.58
570867-Leonidas Mafra-20003.46
671643-Guida Juca-9213.49
992716-Delfim Higuera-3641.88
526438-Ermelinda Quintela-20693.71
873790-Rodolfo Paz-17222.61
416055-Liana Cardim-8184.55
993143-Sidfnio Frois-16980.76
279365-Neeamia Arruda-12769.84
528819-Micaela Chavez-3540.35
351488-Camila Gabeira-13807.82
992835-Urbano Rodrigues-18043.53
788645-Oliveira Carmona-20470.24
921794-Clarindo Areosa-12885.33
132973-Rodolfo Paz-15930.60
342411-Danilo Olaio-20969.34
339944-Sara Lameiras-2078.66
879303-Delfim Higuera-1493.75
23039-Jorgina Bogalho-7966.55
174409-Filomena Barrios-10831.84
873526-Neuza Francia-3180.51
130344-Lurdes Cotrim-10810.44
766092-Fulvio Villegas-10898.33
234267-Henrique Bento-14597.55
407142-Tibefarcio Colao-16518.88
