752712-Clara Alcantara-18174.75
975187-Delfim Higuera-7059.68
825071-Zungela Ipiranga-11690.24
365825-Marilda Leio-6490.90
151116-Ermelinda Quintela-20422.78
317040-Clarindo Areosa-528.55
995264-Letedcia Gago-8948.79
919409-Almor Caiado-2140.52
949372-Polibe Olivares-4805.53
432828-Tarrataca Soares-12944.85
510410-Anfnia Seixas-12377.54
463984-Cleusa Goes-7662.46
38364-Flamednia Leiria-12100.71
120663-Branco Saraba-19174.37
652278-Mercia Caeira-1731.04
988467-Tibefarcio Colao-11954.21
646342-Guaraci Damasceno-9479.33
260400-Cassandra Varejo-13288.52
211455-Flor Portella-11723.18
359083-Odilia Camello-15367.51
269072-Augusta Paio-9207.78
687133-Guaraci Damasceno-19452.41
72909-Zungela Ipiranga-7517.96
483052-Delfina Perdigon-644.33
499221-Oliveira Carmona-13350.86
309840-Armanda Amorim-2515.90
975484-Artur Grillo-11842.37
519932-Quintiliano Sousa de Arronches-3440.13
116652-Armanda Amorim-15512.25
783149-Delfina Garcia de Gondim-19625.84
934822-Jorgina Bogalho-18613.69
840737-Augusta Paio-9175.73
25137-Trajano Fagundes-19846.46
764036-Emiliana Foquio-19366.45
972317-Jorgina Bogalho-14226.61
768392-Tibefarcio Colao-3374.87
502004-Daniel Vieyra-8814.62
684771-Leonidas Mafra-18019.82
719748-Zulmira Becerra-11656.15
589013-Celeste Duarte-16003.99
209041-Neuza Francia-1058.50
122946-Guida Juca-672.07
794714-Telma Villalobos-1032.32
262707-Ermelinda Quintela-14239.96
163942-Letedcia Gago-16519.68
667047-Branco Saraba-9602.53
760491-Manuel Capiperibe-5442.71
90616-Tibofarcio Camacho-13519.56
950526-Odilia Camello-4171.92
35324-Jussara Varanda-10597.81
736797-Lina Andrade-5215.07
807665-Jussara Varanda-18706.30
451414-Silvio Mata-6099.41
773656-Angelica Aranha-17862.03
741093-Flor Portella-11688.84
885650-Odilia Camello-930.67
517168-Liana Cardim-9578.28
127482-Neuza Francia-6524.35
720174-Danilo Olaio-16683.85
444599-Guida Juca-12619.37
83906-Armanda Amorim-13956.74
572919-Oliveira Carmona-17834.81
268726-Henrique Bento-11954.49
680112-Sofras Cuaresma-16162.23
120171-Augusta Paio-6874.80
528515-Tibefarcio Colao-19793.66
706240-Lina Andrade-15343.99
155352-Ximena Castilho-2340.43
76972-Armindo Castalo-20277.63
674498-Andreia Moita-16387.24
85999-Filomena Barrios-6673.24
487811-Ximena Castilho-13668.97
551937-Camila Gabeira-16571.66
40387-Urbano Rodrigues-16413.62
764924-Mercia Caeira-5959.99
373139-Eurico Siqueira-1730.44
48431-Romo Paranage-13327.50
67644-Antonio Viegas-3244.22
521393-Armanda Amorim-6474.99
360206-Armindo Castalo-5716.90
168463-Cleusa Goes-11567.76
133906-Almor Caiado-7767.80
613255-Liana Cardim-13023.32
541574-Regina Barcellos-11958.88
208870-Odilia Bello-961.70
872589-Dulce Froes-13195.43
902029-Sara Lameiras-6641.08
847063-Silvio Mata-12351.75
835173-Manuel Capiperibe-15376.97
102885-Tarrataca Soares-10925.73
611150-Moaci Mendoa-11617.42
443875-Jussara Varanda-9933.92
690330-Edgar Carvalheiro-2235.22
102889-Heleedsa Marins-475.80
910722-Telma Villalobos-20817.88
201294-Nuno Balsemeo-5711.77
52178-Silvio Mata-17900.79
653261-Taercio Mafra-8304.43
192599-Guida Juca-737.94
714462-Anind Zarco-15478.97
442403-Sara Lameiras-4490.25
462421-Micaela Chavez-17394.69
262328-Judite Damasceno-3436.75
394061-Neeamia Arruda-662.95
930710-Angelica Aranha-4012.05
637200-Sidfnio Frois-19444.07
403022-Tibofarcio Camacho-5739.75
276609-Manuel Capiperibe-19176.28
841955-Liana Cardim-20048.21
104103-Trajano Fagundes-14830.52
455963-Quintiliano Sousa de Arronches-9240.11
549647-Tarrataca Soares-14844.73
551764-Domingos Pas-17937.35
75570-Armindo Castalo-10066.46
178991-Camila Gabeira-3190.93
587249-Nuno Balsemeo-19747.30
172933-Zungela Ipiranga-8506.49
354424-Filomena Barrios-19059.26
978787-Sidfnio Frois-20807.68
913898-Eurico Siqueira-7653.88
746291-Zungela Ipiranga-11998.44
603468-Dulce Froes-2509.10
445657-Tibefarcio Colao-10594.62
479540-Artur Grillo-17015.38
291653-Zulmira Becerra-772.33
825424-Emiliana Foquio-4158.20
765794-Fulvio Villegas-11409.93
197645-Melinda Roserio-18953.48
257887-Spnia ou Sonia Guerreiro-13618.43
171823-Camila Gabeira-17617.57
137563-Lina Andrade-3480.19
630214-Jorgina Bogalho-18646.23
595846-Leonidas Mafra-16085.85
813138-Sofras Cuaresma-20710.64
192505-Almor Caiado-11708.72
664655-Nuno Balsemeo-14566.98
383142-Clara Alcantara-5779.80
750987-Gaudancio Fiees-12561.78
561151-Manuel Capiperibe-11139.52
655591-Oliveira Senchez-86.40
138409-Regina Barcellos-15707.77
981921-Andreia Moita-2819.24
735774-Estanislau Beserra-19215.20
468084-Artur Grillo-18408.49
738069-Filomena Barrios-10465.58
241072-Gaudancio Fiees-20052.23
80694-Flor Portella-2491.22
913516-Estanislau Beserra-9238.73
610314-Clara Alcantara-16404.35
149876-Rodolfo Paz-1846.07
478804-Jussara Varanda-16167.45
310684-Flamednia Leiria-6942.43
798041-Domingos Pas-19629.79
870180-Angilica Galante-399.63
522994-Tarrataca Soares-9217.01
564488-Quintino Alcantara-3904.59
303734-Antonio Viegas-10095.40
539230-Regina Barcellos-17724.53
952270-Almerinda Palmeira-2795.80
833444-Augusta Paio-402.46
354577-Ermelinda Quintela-6687.25
653232-Sidfnio Frois-3655.52
392328-Andreia Moita-9953.50
651358-Antonio Viegas-20192.20
792517-Sidfnio Frois-12132.59
975606-Romo Paranage-18958.24
414336-Danilo Olaio-12286.44
975498-Silvio Mata-19371.83
410079-Lurdes Cotrim-9826.52
795581-Melinda Roserio-16264.85
303949-Odete Vasques-17298.40
557238-Artur Grillo-7160.09
53723-Henrique Bento-10144.02
45528-Moaci Mendoa-2515.69
739-Quintiliano Sousa de Arronches-2683.62
173775-Delfina Perdigon-21113.38
805710-Mercia Caeira-13432.68
977236-Emedlia Silvera-3607.60
118223-Oliveira Carmona-876.87
838984-Anfnia Seixas-169.99
805748-Celeste Duarte-3333.02
13671-Moaci Mendoa-5058.60
773437-Estanislau Beserra-12289.13
883087-Clara Alcantara-1704.75
729153-Oliveira Carmona-16654.76
350983-Edgar Carvalheiro-1931.66
796712-Delfim Higuera-4389.72
402779-Odilia Bello-12649.49
224766-Guida Juca-1485.84
182240-Letedcia Gago-16644.23
141349-Neuza Francia-15577.45
456671-Micaela Chavez-4972.75
297789-Sofras Cuaresma-9960.48
540681-Sofras Cuaresma-19019.31
353055-Quintiliano Sousa de Arronches-9391.77
527430-Flor Portella-14685.28
555762-Odilia Camello-10908.41
368741-Silvio Mata-10347.60
941865-Oliveira Senchez-10899.85
685213-Zungela Ipiranga-916.83
943423-Cleusa Goes-18138.25
504091-Carminda Morais-15437.98
440808-Joaquim Rufino-21450.96
290945-Clarindo Areosa-3371.53
616382-Adelina Quadros-6665.06
417859-Anind Zarco-12540.33
901855-Edgar Carvalheiro-20635.89
357728-Emedlia Silvera-1434.74
279067-Letedcia Gago-1494.16
784094-Carminda Morais-216.17
711793-Romo Paranage-19245.61
900617-Neeamia Arruda-18965.81
880589-Fulvio Villegas-4435.38
908793-Almerinda Palmeira-9418.29
384668-Artur Grillo-14144.46
37369-Anfnia Seixas-13793.80
734229-Moaci Mendoa-10297.98
271962-Melinda Roserio-8046.72
86049-Delfina Garcia de Gondim-19689.51
401258-Leonidas Mafra-3762.52
883477-Manuel Capiperibe-19859.63
706760-Leonidas Mafra-19133.80
844129-Micaela Chavez-6557.77
593374-Moaci Mendoa-13566.86
11528-Adelino Barra-16230.71
418942-Ubaldo Mainha-2466.25
375751-Heleedsa Marins-8433.59
437717-Edgar Carvalheiro-2091.47
973582-Elisa Themes-15262.33
925210-Delfina Perdigon-15896.34
10520-Nuno Balsemeo-4910.34
656583-Regina Barcellos-442.57
400193-Regina Barcellos-17931.02
682158-Cleusa Goes-14402.11
793424-Ermelinda Quintela-14702.23
383077-Carminda Morais-4021.58
352625-Dulce Froes-16375.34
120274-Jonatas Felgueiras-7974.88
76458-Sara Lameiras-1729.78
983892-Neeamia Arruda-20609.03
659373-Edgar Carvalheiro-404.30
814695-Angilica Galante-3310.86
866827-Marilda Leio-5344.87
696359-Fulvio Villegas-10941.69
212084-Almor Caiado-8044.79
831373-Angilica Galante-10798.62
558893-Antonio Castelo-11522.14
161576-Ermelinda Quintela-20513.35
911384-Flor Portella-2869.27
410720-Artur Grillo-21229.11
544489-Andreia Moita-14930.87
228873-Quintino Alcantara-3834.18
654280-Fulvio Villegas-7072.85
213895-Clara Alcantara-9729.81
984740-Clarindo Areosa-3897.10
494695-Judite Damasceno-5805.41
162702-Leonidas Mafra-17921.00
880866-Tarrataca Soares-5727.78
86903-Quintino Alcantara-14266.89
270747-Antonio Castelo-15851.00
873962-Neeamia Arruda-4901.61
423419-Clara Alcantara-7803.90
542997-Almerinda Palmeira-3525.60
665594-Taercio Mafra-9997.74
957016-Nuno Balsemeo-20147.59
727040-Cassandra Varejo-5727.70
875094-Artur Grillo-13709.33
753805-Sofras Cuaresma-17518.14
967094-Tibefarcio Colao-3654.17
624124-Carminda Morais-16796.88
708787-Emedlia Silvera-13130.78
880456-Cleusa Goes-14535.01
986530-Ximena Castilho-2845.61
861132-Armindo Castalo-4882.26
749679-Celeste Duarte-10111.83
831549-Cleusa Goes-5104.27
970821-Rodolfo Paz-658.18
210036-Andreia Moita-8295.72
743473-Dulce Froes-5580.55
482517-Letedcia Gago-16856.79
321536-Fulvio Villegas-20403.88
837723-Aludsio Sosa-9677.85
227247-Lurdes Cotrim-9987.72
693444-Armanda Amorim-6931.49
450209-Dulce Froes-10238.99
965930-Tibofarcio Camacho-2332.47
768006-Ximena Castilho-10492.17
502787-Anind Zarco-9689.44
567492-Branco Saraba-5652.04
565376-Zulmira Becerra-12646.86
250833-Camila Gabeira-3575.24
530531-Gaudancio Fiees-4813.62
311535-Joaquim Rufino-2691.05
653196-Taercio Mafra-733.15
737460-Melinda Roserio-8937.65
4992-Emedlia Silvera-4502.48
215535-Rebeca Neto-14630.16
727832-Lina Andrade-10080.35
328392-Micaela Chavez-8371.19
984309-Eurico Siqueira-13156.84
836059-Henrique Bento-19759.35
592429-Sidfnio Frois-19834.65
133875-Basilio Pedroso-6442.93
963279-Ximena Castilho-3904.63
941773-Emiliana Foquio-17102.00
335389-Judite Damasceno-13197.22
459324-Dulce Froes-18769.37
833456-Urbano Rodrigues-13001.81
635116-Leonidas Mafra-4190.26
156833-Flamednia Leiria-19390.10
881125-Artur Grillo-11033.63
613176-Basilio Pedroso-20999.55
223412-Judite Damasceno-16016.05
939080-Tibefarcio Colao-6070.85
969977-Esperada Cardoso-19570.27
766312-Rodolfo Paz-2328.79
326718-Leonidas Mafra-21103.38
902849-Cassandra Varejo-486.88
30198-Odilia Camello-14593.23
276256-Tabalipa Duarte-4649.96
722751-Lurdes Cotrim-4778.77
620518-Basilio Pedroso-18554.90
500086-Ximena Castilho-7842.30
156640-Leonidas Mafra-18281.69
308784-Flor Portella-7656.56
661275-Carminda Morais-6379.38
735456-Odete Vasques-18952.65
263214-Rebeca Neto-17056.84
488734-Jussara Varanda-10772.31
256760-Micaela Chavez-8470.23
35248-Adelina Quadros-1832.62
176609-Marilda Leio-10618.83
305977-Telma Villalobos-11713.83
40875-Fulvio Villegas-11560.56
377285-Romo Paranage-14063.65
256981-Dulce Froes-14850.26
499000-Henrique Bento-5642.78
111724-Odete Vasques-5210.57
412255-Tarrataca Soares-5080.63
35711-Neuza Francia-9443.19
655276-Zulmira Becerra-16213.54
668428-Gaudancio Fiees-14950.48
688343-Edgar Carvalheiro-5178.70
938433-Liana Cardim-2914.27
874130-Clarindo Areosa-14228.04
465413-Lurdes Cotrim-15740.61
994944-Jonatas Felgueiras-9780.77
822147-Branco Saraba-17451.88
333518-Melinda Roserio-17766.01
591959-Cleusa Goes-3841.53
873727-Dulce Froes-1803.24
417925-Guida Juca-16429.93
361423-Ubaldo Mainha-1851.97
687956-Cassandra Varejo-8861.36
586867-Rebeca Neto-12790.10
850590-Nuno Balsemeo-21294.75
656752-Manuel Capiperibe-19279.87
740808-Domingos Pas-4223.25
398677-Judite Damasceno-14656.59
119093-Tabalipa Duarte-18402.51
158817-Honorina Lira-2456.41
69449-Trajano Fagundes-11600.59
543949-Rebeca Neto-13504.20
888296-Heleedsa Marins-19881.08
659717-Zulmira Becerra-20816.95
751848-Armanda Amorim-8900.62
905318-Clarindo Areosa-20457.19
651833-Regina Barcellos-18179.76
103115-Anind Zarco-7278.91
671421-Ubaldo Mainha-14310.10
876110-Anfnia Seixas-5766.85
921513-Heleedsa Marins-19337.55
476058-Micaela Chavez-5548.15
711737-Emedlio Pimentel-12527.03
116039-Oliveira Senchez-238.79
14037-Andreia Moita-4386.31
420202-Esperada Cardoso-19235.36
329477-Edgar Carvalheiro-11617.05
47657-Judite Damasceno-20458.08
457317-Camila Gabeira-20574.79
117712-Aludsio Sosa-15808.72
935274-Silvio Mata-7963.09
811575-Clara Alcantara-13467.86
108040-Almor Caiado-12700.14
545329-Joaquim Rufino-14521.30
677604-Henrique Bento-10246.60
388161-Camila Gabeira-21170.80
333752-Odete Vasques-2149.26
771536-Estanislau Beserra-354.90
100190-Delfina Perdigon-8969.47
955161-Rodolfo Paz-3445.81
495265-Gaudancio Fiees-7715.17
306303-Clara Alcantara-11903.28
932226-Emedlia Silvera-8039.53
777681-Estanislau Beserra-16004.98
986033-Regina Barcellos-13666.92
341835-Polibe Olivares-9925.96
750405-Guida Juca-3764.47
379928-Domingos Pas-13362.18
