19607-Urbano Rodrigues-6094.23
343168-Lina Andrade-6520.40
442573-Regina Barcellos-18349.45
692594-Adelino Barra-14494.49
120503-Adelina Quadros-11608.58
927992-Delfina Garcia de Gondim-13829.76
747629-Domingos Pas-7500.89
946318-Clara Alcantara-18765.78
467445-Feledcia Peassego-5852.31
349937-Polibe Olivares-19977.41
788919-Sidfnio Frois-4012.77
931516-Leonidas Mafra-6926.20
707576-Angelica Aranha-20760.63
144908-Almor Caiado-17462.72
495961-Delfina Garcia de Gondim-6999.09
242762-Neeamia Arruda-8768.37
57590-Emedlia Silvera-7761.01
705272-Emedlio Pimentel-4565.63
470794-Esperada Cardoso-5920.31
141287-Honorina Lira-18163.81
442215-Odete Vasques-2836.86
165899-Antonio Castelo-15296.18
930058-Daniel Vieyra-12788.42
672216-Silvio Mata-14559.86
863019-Heleedsa Marins-15864.82
427599-Andreia Moita-5612.41
967768-Trajano Fagundes-18822.99
113256-Adelina Quadros-4775.21
836492-Joaquim Rufino-16399.92
306982-Trajano Fagundes-19331.33
35085-Judite Damasceno-500.91
524056-Romo Paranage-8952.57
666120-Spnia ou Sonia Guerreiro-8257.04
871145-Joaquim Rufino-16763.76
864431-Quintino Alcantara-6017.55
766481-Mercia Caeira-9101.83
21638-Zulmira Becerra-18371.51
377531-Adelino Barra-19852.64
296832-Honorina Lira-10836.17
763336-Tarrataca Soares-18649.24
610630-Filomena Barrios-20319.59
660336-Taercio Mafra-19859.99
327618-Anfnia Seixas-2721.82
352757-Spnia ou Sonia Guerreiro-11140.53
880661-Tarrataca Soares-19629.17
890940-Ermelinda Quintela-13712.00
142707-Angelica Aranha-2157.38
726257-Dulce Froes-14201.16
830510-Guida Juca-11459.29
926262-Adelina Quadros-21326.92
671151-Ermelinda Quintela-19018.19
23745-Romo Paranage-7369.96
117239-Guida Juca-1678.40
947100-Antonio Castelo-14731.93
636488-Andreia Moita-18140.73
113829-Rodolfo Paz-6294.80
257666-Gaudancio Fiees-6281.40
584825-Ubaldo Mainha-15448.66
175856-Delfina Garcia de Gondim-17096.96
899957-Zulmira Becerra-6151.39
64109-Heleedsa Marins-1943.26
703398-Ermelinda Quintela-4973.50
341880-Ubaldo Mainha-2719.84
678380-Manuel Capiperibe-3439.31
67691-Estanislau Beserra-2420.84
890597-Lina Andrade-5681.98
429930-Tabalipa Duarte-849.72
707328-Daniel Vieyra-6295.56
616676-Odilia Camello-20397.32
454804-Romo Paranage-11041.48
501402-Ubaldo Mainha-18352.13
883452-Joaquim Rufino-19699.16
777641-Adelino Barra-13467.74
995236-Honorina Lira-2379.69
921698-Tibefarcio Colao-19050.37
437690-Antonio Castelo-18684.44
434150-Guida Juca-14993.90
86491-Antonio Viegas-10136.14
604616-Regina Barcellos-18312.30
335389-Lina Andrade-8032.01
721424-Urbano Rodrigues-622.19
917519-Sara Lameiras-15101.03
980123-Almerinda Palmeira-15888.80
26477-Adelino Barra-4663.92
3680-Flor Portella-17633.13
64572-Emedlio Pimentel-8512.68
322983-Antonio Viegas-5072.18
552931-Armindo Castalo-13593.05
855593-Flamednia Leiria-6574.26
406826-Quintino Alcantara-1112.77
106586-Neuza Francia-3359.99
535334-Lurdes Cotrim-15259.16
396469-Urbano Rodrigues-20308.96
31871-Moaci Mendoa-21229.23
152625-Spnia ou Sonia Guerreiro-21459.27
310069-Zulmira Becerra-1945.07
943858-Armanda Amorim-11318.30
967568-Neuza Francia-7479.00
121233-Feledcia Peassego-18197.55
505177-Jonatas Felgueiras-20921.62
