217311-Eurico Siqueira-257.50
910148-Trajano Fagundes-3473.10
17277-Angilica Galante-14115.32
789421-Moaci Mendoa-14543.05
856312-Delfim Higuera-81.27
261575-Delfim Higuera-2603.65
470720-Cassandra Varejo-8601.59
525075-Melinda Roserio-9120.52
219829-Domingos Pas-7052.03
201291-Elisa Themes-8578.67
213553-Edgar Carvalheiro-7546.00
923946-Melinda Roserio-19625.11
873191-Andreia Moita-10770.44
972799-Dulce Froes-18348.34
422865-Clarindo Areosa-15942.06
66044-Henrique Bento-20544.68
671671-Sidfnio Frois-13164.55
559943-Zulmira Becerra-1354.96
421959-Gaudancio Fiees-10507.16
635441-Zungela Ipiranga-11799.17
341374-Neuza Francia-5966.47
313959-Sidfnio Frois-18415.71
596575-Quintino Alcantara-19054.45
411080-Fulvio Villegas-3339.34
563163-Polibe Olivares-10493.56
325486-Sara Lameiras-14264.23
453037-Antonio Viegas-11036.10
255873-Melinda Roserio-7546.87
110671-Zungela Ipiranga-18451.09
168917-Oliveira Carmona-2092.61
610169-Angilica Galante-61.18
651737-Sofras Cuaresma-12614.32
236473-Almor Caiado-275.45
348952-Cleusa Goes-20109.56
327649-Leonidas Mafra-760.36
512526-Tabalipa Duarte-6733.61
681509-Tarrataca Soares-19158.14
821671-Ermelinda Quintela-3685.86
458087-Trajano Fagundes-12386.97
810586-Taercio Mafra-9363.82
596813-Neeamia Arruda-3195.09
30320-Aludsio Sosa-1426.77
551405-Micaela Chavez-2209.14
33261-Liana Cardim-16312.62
448685-Branco Saraba-19135.90
736896-Lurdes Cotrim-5146.19
447584-Taercio Mafra-16363.01
285126-Adelina Quadros-1526.39
809463-Delfina Perdigon-4940.97
958908-Delfim Higuera-15639.07
368902-Ubaldo Mainha-2470.20
897172-Honorina Lira-14350.51
857676-Rodolfo Paz-5271.18
879693-Augusta Paio-15761.52
374305-Guaraci Damasceno-6211.17
388322-Anind Zarco-8588.54
279935-Delfim Higuera-15683.01
502181-Cassandra Varejo-17055.86
310933-Heleedsa Marins-20253.96
816862-Basilio Pedroso-778.71
221589-Urbano Rodrigues-3672.40
651636-Urbano Rodrigues-7521.37
242388-Andreia Moita-3465.11
746669-Cleusa Goes-13253.91
29785-Edgar Carvalheiro-14047.65
419384-Sidfnio Frois-6606.70
427992-Odilia Bello-19139.50
253471-Emedlia Silvera-6379.68
717492-Armindo Castalo-14962.79
794493-Zungela Ipiranga-14326.12
778709-Eurico Siqueira-13833.50
783305-Adelino Barra-16680.02
354953-Telma Villalobos-2817.61
45058-Daniel Vieyra-17405.08
886882-Armanda Amorim-12330.54
878166-Danilo Olaio-6729.89
206750-Oliveira Carmona-5749.34
352923-Aludsio Sosa-4277.04
601810-Camila Gabeira-3839.37
762875-Ubaldo Mainha-9377.32
795026-Micaela Chavez-15055.11
67167-Odete Vasques-1868.10
992820-Moaci Mendoa-5641.65
913311-Romo Paranage-10172.10
257388-Sara Lameiras-9746.13
850300-Odilia Bello-10574.92
145778-Jorgina Bogalho-21246.98
391053-Leonidas Mafra-14495.68
604657-Angilica Galante-7376.86
613875-Adelino Barra-20144.49
751922-Joaquim Rufino-10627.60
756739-Lina Andrade-3973.44
763611-Odilia Camello-7703.36
531277-Trajano Fagundes-3807.66
322759-Zungela Ipiranga-5540.23
684194-Carminda Morais-5473.90
34966-Filomena Barrios-10215.36
319419-Eurico Siqueira-17429.27
823730-Guida Juca-12020.48
749037-Sara Lameiras-8951.78
