451477-Ermelinda Quintela-19504.56
507256-Estanislau Beserra-8838.00
858885-Estanislau Beserra-2089.94
663543-Micaela Chavez-3572.89
207940-Neeamia Arruda-8985.14
710159-Domingos Pas-14769.98
117369-Andreia Moita-16963.50
264405-Edgar Carvalheiro-18236.87
563263-Armanda Amorim-13137.45
854103-Telma Villalobos-18773.53
968187-Fulvio Villegas-8573.21
931724-Emedlio Pimentel-8343.45
344215-Celeste Duarte-16672.04
4306-Adelino Barra-5133.83
960823-Antonio Viegas-1171.08
430093-Daniel Vieyra-493.34
414523-Branco Saraba-14194.52
569380-Feledcia Peassego-9702.32
676813-Quintiliano Sousa de Arronches-1673.12
881825-Aludsio Sosa-13711.66
4767-Lurdes Cotrim-19701.34
100564-Oliveira Carmona-7595.82
996900-Cleusa Goes-16339.27
887321-Camila Gabeira-21019.31
582774-Aludsio Sosa-1594.08
792037-Adelino Barra-6408.38
999062-Carminda Morais-1347.69
589132-Filomena Barrios-3603.38
865773-Regina Barcellos-16210.15
404102-Odilia Camello-11524.13
295707-Jorgina Bogalho-4249.35
541120-Leonidas Mafra-13890.35
614895-Dulce Froes-6335.48
408619-Antonio Viegas-5149.52
102189-Armanda Amorim-13905.35
387193-Anind Zarco-20113.27
522846-Quintino Alcantara-17068.42
110165-Rodolfo Paz-259.48
446259-Fulvio Villegas-9398.13
94391-Estanislau Beserra-14672.18
908664-Adelina Quadros-13380.30
373618-Quintiliano Sousa de Arronches-14095.71
937328-Jussara Varanda-3687.02
427659-Angilica Galante-20301.11
881621-Sofras Cuaresma-4647.29
227334-Adelina Quadros-846.33
927594-Delfina Perdigon-9391.56
396924-Tibofarcio Camacho-1527.82
204706-Danilo Olaio-8432.28
544103-Augusta Paio-10303.23
296942-Armanda Amorim-20852.31
500694-Rodolfo Paz-16831.21
739572-Fulvio Villegas-5835.75
526827-Regina Barcellos-4205.19
782486-Andreia Moita-11484.01
572971-Polibe Olivares-7791.44
206671-Fulvio Villegas-21010.72
715353-Rebeca Neto-9539.85
655444-Odilia Camello-19931.90
409070-Antonio Castelo-3972.50
896685-Armindo Castalo-16135.47
930349-Elisa Themes-17720.48
51182-Sofras Cuaresma-1143.04
357727-Ximena Castilho-15688.31
807660-Dulce Froes-2081.30
986817-Almerinda Palmeira-17177.03
798745-Neuza Francia-16664.26
766290-Leonidas Mafra-17611.41
515970-Angelica Aranha-20277.96
10395-Letedcia Gago-12587.22
827606-Almor Caiado-9211.35
392619-Flor Portella-2055.82
595404-Jonatas Felgueiras-5216.33
889642-Guida Juca-905.07
186639-Delfim Higuera-9423.15
400722-Delfina Perdigon-13943.01
759225-Almerinda Palmeira-15311.00
222445-Rodolfo Paz-1443.83
670955-Almor Caiado-16818.99
309461-Guida Juca-5444.25
714770-Quintino Alcantara-20572.53
183826-Anfnia Seixas-18631.62
700970-Oliveira Senchez-16452.74
38478-Neeamia Arruda-19871.63
206827-Clara Alcantara-11618.67
504854-Fulvio Villegas-3177.84
538235-Manuel Capiperibe-2340.59
480937-Celeste Duarte-8642.82
597370-Almerinda Palmeira-10149.53
26626-Quintino Alcantara-5317.78
177774-Armindo Castalo-19594.93
980204-Cassandra Varejo-4691.93
364265-Sara Lameiras-21278.94
381141-Tabalipa Duarte-6074.49
904910-Sidfnio Frois-17716.56
743232-Almor Caiado-15336.77
399278-Zungela Ipiranga-16112.15
671792-Eurico Siqueira-15232.13
327065-Tabalipa Duarte-8833.26
397419-Ximena Castilho-17193.53
