340657-Emedlio Pimentel-13008.23
482519-Leonidas Mafra-1631.11
269744-Armindo Castalo-684.49
670128-Melinda Roserio-961.92
414677-Lurdes Cotrim-10114.30
365211-Ximena Castilho-1748.91
672645-Antonio Castelo-16854.23
936637-Feledcia Peassego-13565.75
309829-Trajano Fagundes-17529.10
455952-Oliveira Senchez-224.18
708247-Melinda Roserio-18807.58
721436-Liana Cardim-2207.57
518094-Andreia Moita-2560.27
732407-Clara Alcantara-18206.97
517723-Ubaldo Mainha-2566.28
62836-Camila Gabeira-17969.93
828934-Romo Paranage-9091.82
222745-Quintino Alcantara-2926.35
352438-Adelina Quadros-7049.45
82132-Tabalipa Duarte-8704.01
745059-Silvio Mata-3366.26
747475-Almerinda Palmeira-11013.47
344534-Marilda Leio-4693.82
906992-Andreia Moita-20831.14
145514-Cleusa Goes-14221.48
330509-Angelica Aranha-16772.11
406427-Emiliana Foquio-2175.56
422062-Honorina Lira-1552.95
528692-Heleedsa Marins-17486.48
545292-Guaraci Damasceno-17312.46
495932-Fulvio Villegas-13135.08
204918-Domingos Pas-17962.55
671121-Antonio Viegas-11951.16
680636-Guida Juca-17260.23
387241-Manuel Capiperibe-13376.85
721965-Lurdes Cotrim-10415.32
82724-Fulvio Villegas-10124.54
109458-Rebeca Neto-7883.93
287862-Zungela Ipiranga-17259.21
411411-Jussara Varanda-12829.83
452411-Clara Alcantara-16294.79
119108-Melinda Roserio-3512.00
132938-Eurico Siqueira-19638.71
528348-Lurdes Cotrim-2810.69
70449-Guaraci Damasceno-14184.56
760611-Flamednia Leiria-13376.94
178024-Odete Vasques-18357.77
151622-Lina Andrade-16744.03
420501-Taercio Mafra-11462.07
853452-Carminda Morais-9561.35
532607-Delfina Perdigon-19745.87
752081-Leonidas Mafra-2432.22
226645-Liana Cardim-11583.55
817185-Ximena Castilho-8944.00
463398-Delfina Perdigon-15344.71
794446-Quintino Alcantara-2057.48
657189-Zungela Ipiranga-7329.26
490760-Romo Paranage-11860.77
233573-Regina Barcellos-17204.98
897967-Tarrataca Soares-19373.51
61938-Lurdes Cotrim-14204.00
705068-Feledcia Peassego-14831.52
64978-Antonio Castelo-17743.79
812789-Domingos Pas-13417.12
629139-Henrique Bento-19111.76
901268-Romo Paranage-5254.87
383846-Esperada Cardoso-3736.60
159597-Neuza Francia-3206.67
854331-Zungela Ipiranga-11549.01
755911-Romo Paranage-3073.15
308452-Odilia Bello-12083.77
448013-Ubaldo Mainha-11925.98
326406-Marilda Leio-6111.80
560218-Basilio Pedroso-14279.93
710500-Cassandra Varejo-17766.22
331351-Clara Alcantara-9280.39
216085-Artur Grillo-2199.40
26375-Camila Gabeira-14880.99
913843-Ubaldo Mainha-21119.53
815342-Flamednia Leiria-10902.26
584324-Quintiliano Sousa de Arronches-15265.34
269748-Sidfnio Frois-11004.99
107343-Neuza Francia-553.41
356458-Taercio Mafra-16969.02
317926-Angilica Galante-4771.28
455147-Tibefarcio Colao-779.76
595269-Clarindo Areosa-7051.92
395483-Almor Caiado-9442.19
379253-Augusta Paio-19811.32
263800-Esperada Cardoso-12414.64
463443-Micaela Chavez-6625.65
40121-Angelica Aranha-16648.34
731605-Angelica Aranha-14364.58
119225-Oliveira Senchez-17518.15
499420-Fulvio Villegas-18051.33
17679-Camila Gabeira-13601.04
575272-Delfina Garcia de Gondim-9422.16
588747-Lurdes Cotrim-9251.28
701351-Tarrataca Soares-16295.07
283766-Antonio Castelo-20627.71
