463102-Sofras Cuaresma-16892.88
318161-Danilo Olaio-17365.63
695886-Romo Paranage-18835.07
329610-Domingos Pas-2118.06
821191-Delfina Perdigon-5640.17
786552-Feledcia Peassego-13105.57
970143-Ubaldo Mainha-2080.06
816886-Artur Grillo-13742.14
523332-Marilda Leio-7232.75
610171-Anfnia Seixas-290.95
960206-Anfnia Seixas-16495.58
621343-Odilia Camello-20948.76
526669-Artur Grillo-17230.88
860103-Oliveira Carmona-11129.35
558833-Tibefarcio Colao-18057.56
63315-Aludsio Sosa-18915.42
667608-Carminda Morais-11540.29
906955-Feledcia Peassego-12328.46
728870-Carminda Morais-16673.69
260085-Neeamia Arruda-11494.96
759194-Odilia Camello-9639.72
62155-Esperada Cardoso-13465.93
444281-Filomena Barrios-1416.36
333395-Jussara Varanda-1704.97
544622-Armanda Amorim-1205.72
772866-Cassandra Varejo-20036.35
558170-Odilia Bello-5158.19
865941-Manuel Capiperibe-9807.26
387782-Sofras Cuaresma-7609.71
700554-Rebeca Neto-19632.31
108375-Sara Lameiras-12245.07
74349-Quintino Alcantara-2340.85
432987-Taercio Mafra-7285.30
912881-Micaela Chavez-2963.79
810937-Neeamia Arruda-12969.24
497401-Feledcia Peassego-21466.97
726121-Cassandra Varejo-20087.71
499946-Jussara Varanda-10911.54
635760-Melinda Roserio-7680.58
140545-Leonidas Mafra-17627.58
657176-Gaudancio Fiees-19568.67
145859-Filomena Barrios-8524.57
744289-Nuno Balsemeo-5444.07
979135-Taercio Mafra-6083.20
710500-Eurico Siqueira-96.47
13570-Aludsio Sosa-5541.44
468011-Telma Villalobos-19858.71
741431-Nuno Balsemeo-11638.87
257139-Edgar Carvalheiro-14685.22
744003-Adelina Quadros-2721.79
978462-Flamednia Leiria-8718.37
236060-Emedlio Pimentel-20839.82
578954-Neuza Francia-9602.43
451425-Elisa Themes-19372.22
703219-Emedlio Pimentel-8904.49
395312-Estanislau Beserra-879.79
784216-Basilio Pedroso-15334.47
977159-Estanislau Beserra-14477.05
323729-Oliveira Senchez-8114.78
244413-Jonatas Felgueiras-3857.39
923413-Micaela Chavez-21337.17
501808-Emiliana Foquio-8374.70
21244-Trajano Fagundes-10260.48
463764-Estanislau Beserra-12805.00
225898-Sofras Cuaresma-18972.03
151286-Judite Damasceno-20255.98
704625-Sofras Cuaresma-16648.99
161094-Adelina Quadros-6763.92
504285-Judite Damasceno-1512.33
369960-Melinda Roserio-8574.77
931368-Spnia ou Sonia Guerreiro-2629.17
329334-Clarindo Areosa-3244.19
226068-Manuel Capiperibe-18944.40
882213-Quintiliano Sousa de Arronches-12224.20
760552-Armanda Amorim-10641.62
604290-Liana Cardim-14293.13
426996-Clarindo Areosa-7245.34
213033-Heleedsa Marins-9356.96
703834-Andreia Moita-10792.00
189240-Odilia Camello-4760.86
413256-Angilica Galante-15460.18
870696-Adelino Barra-8658.63
797619-Spnia ou Sonia Guerreiro-5196.06
289333-Filomena Barrios-14674.88
280911-Ubaldo Mainha-13517.65
508275-Silvio Mata-10628.85
334035-Almor Caiado-6888.29
575110-Micaela Chavez-17630.42
208659-Lurdes Cotrim-14382.62
74764-Clara Alcantara-5259.67
934190-Zungela Ipiranga-15593.81
710349-Artur Grillo-2297.68
905050-Ximena Castilho-16695.65
55889-Gaudancio Fiees-4623.71
626632-Guida Juca-361.68
875879-Flamednia Leiria-1406.77
954918-Emedlia Silvera-6540.11
568373-Armanda Amorim-10935.86
877338-Oliveira Senchez-21357.94
902452-Quintino Alcantara-17843.86
