462791-Tibefarcio Colao-18081.28
504076-Fulvio Villegas-12118.02
467829-Odilia Camello-341.58
108356-Sidfnio Frois-2435.88
145380-Anfnia Seixas-21056.64
373519-Basilio Pedroso-20031.93
2632-Rodolfo Paz-1764.77
3329-Liana Cardim-3847.44
997887-Cleusa Goes-20760.90
669022-Jonatas Felgueiras-20842.13
742013-Tibofarcio Camacho-12211.92
525105-Daniel Vieyra-14006.96
666802-Domingos Pas-3026.80
252276-Liana Cardim-19667.88
670060-Emedlia Silvera-9434.50
141269-Jorgina Bogalho-17088.24
576737-Daniel Vieyra-12793.43
107419-Spnia ou Sonia Guerreiro-5548.62
419930-Odilia Bello-423.77
515554-Liana Cardim-18820.46
463462-Telma Villalobos-19747.88
539254-Urbano Rodrigues-19498.29
417379-Edgar Carvalheiro-2730.12
969361-Quintiliano Sousa de Arronches-13542.64
109472-Adelino Barra-7714.51
429759-Ximena Castilho-4031.09
942813-Polibe Olivares-17166.85
448890-Sofras Cuaresma-12613.09
698830-Edgar Carvalheiro-3592.45
555554-Judite Damasceno-20647.61
141266-Tabalipa Duarte-177.41
918756-Delfina Garcia de Gondim-3212.80
908452-Oliveira Senchez-20396.97
94537-Fulvio Villegas-9121.83
69014-Regina Barcellos-14772.93
493615-Sara Lameiras-15457.22
774564-Polibe Olivares-9731.81
398141-Tabalipa Duarte-20836.30
884026-Romo Paranage-9668.46
746458-Sara Lameiras-18464.01
687164-Gaudancio Fiees-3640.59
415453-Marilda Leio-20359.77
489133-Antonio Castelo-18204.02
575008-Odilia Bello-200.13
441706-Andreia Moita-7490.82
759286-Fulvio Villegas-6560.92
185369-Almor Caiado-14498.67
813046-Honorina Lira-1147.81
266086-Delfina Perdigon-15006.65
964421-Armindo Castalo-13549.28
423604-Melinda Roserio-15596.15
139802-Clara Alcantara-19420.31
135917-Sofras Cuaresma-1570.36
345680-Sofras Cuaresma-7726.11
738452-Zungela Ipiranga-8480.53
940057-Elisa Themes-11548.12
380254-Rebeca Neto-20959.97
1857-Camila Gabeira-10933.27
286460-Emedlia Silvera-15555.93
900189-Manuel Capiperibe-16945.57
947655-Almerinda Palmeira-14274.97
537419-Guaraci Damasceno-7721.53
137293-Danilo Olaio-498.06
139379-Micaela Chavez-13001.51
670916-Leonidas Mafra-11404.06
284568-Tarrataca Soares-10478.63
990301-Tarrataca Soares-4207.59
79032-Emedlio Pimentel-2322.77
432550-Celeste Duarte-4185.64
483937-Delfim Higuera-19464.64
463299-Ermelinda Quintela-2199.28
574154-Jorgina Bogalho-20454.65
231953-Silvio Mata-8691.19
925831-Zungela Ipiranga-6587.75
230796-Neuza Francia-14344.46
104906-Taercio Mafra-17977.30
791095-Quintino Alcantara-2572.37
991085-Cassandra Varejo-4103.16
34273-Clarindo Areosa-2242.65
670394-Mercia Caeira-11997.49
380221-Moaci Mendoa-3967.29
103710-Emedlio Pimentel-15223.03
980663-Zungela Ipiranga-760.51
663349-Gaudancio Fiees-5099.77
13800-Letedcia Gago-14492.08
770468-Tabalipa Duarte-15943.13
906114-Cassandra Varejo-21001.04
800992-Sidfnio Frois-7676.11
973313-Henrique Bento-8376.45
225888-Andreia Moita-17183.16
942555-Liana Cardim-8092.12
587321-Cassandra Varejo-16853.16
730309-Emiliana Foquio-8238.13
476108-Rebeca Neto-4219.93
513154-Odilia Camello-17800.06
512363-Oliveira Carmona-17432.93
758303-Nuno Balsemeo-13597.16
724923-Honorina Lira-10500.33
523959-Andreia Moita-10465.23
587961-Andreia Moita-17677.49
