517120-Letedcia Gago-18566.09
413897-Domingos Pas-19154.19
74668-Heleedsa Marins-13200.82
171080-Basilio Pedroso-4171.70
589324-Delfina Perdigon-10554.84
143272-Artur Grillo-1779.23
119386-Antonio Viegas-15158.54
820545-Urbano Rodrigues-19898.22
415584-Heleedsa Marins-15806.50
380422-Manuel Capiperibe-9573.09
944192-Antonio Castelo-3413.43
459602-Artur Grillo-20547.57
122932-Leonidas Mafra-2803.48
937182-Cleusa Goes-20935.19
711398-Quintino Alcantara-2646.25
3079-Rebeca Neto-16427.68
865493-Augusta Paio-11364.04
45803-Almor Caiado-1687.41
330851-Almor Caiado-16471.56
795452-Domingos Pas-14740.53
712214-Quintiliano Sousa de Arronches-8135.13
754525-Oliveira Carmona-8629.73
731792-Eurico Siqueira-2756.12
790650-Ermelinda Quintela-18795.49
535826-Liana Cardim-14537.77
764604-Aludsio Sosa-15137.80
432836-Emedlio Pimentel-21316.46
955403-Micaela Chavez-18422.08
816058-Domingos Pas-12450.55
326861-Neeamia Arruda-20758.51
663491-Adelina Quadros-10850.79
859421-Silvio Mata-1293.50
812195-Aludsio Sosa-11240.82
112835-Jonatas Felgueiras-10943.89
965125-Angelica Aranha-4574.41
925684-Spnia ou Sonia Guerreiro-2687.22
170488-Lurdes Cotrim-7061.55
335276-Tibofarcio Camacho-11381.10
240593-Odilia Camello-14069.26
302023-Liana Cardim-9457.70
449044-Antonio Castelo-7119.49
593145-Tarrataca Soares-10468.09
226631-Liana Cardim-18576.21
988787-Sara Lameiras-12772.50
300443-Emiliana Foquio-13992.15
389349-Feledcia Peassego-3406.57
291288-Emedlio Pimentel-18918.28
839049-Romo Paranage-7466.79
627493-Estanislau Beserra-13689.20
954766-Leonidas Mafra-11107.38
165377-Odilia Bello-14461.88
971540-Jussara Varanda-10412.97
611430-Sofras Cuaresma-7590.40
849541-Almor Caiado-8750.29
476525-Taercio Mafra-11213.29
60911-Celeste Duarte-8042.35
367304-Tarrataca Soares-14375.26
828540-Sofras Cuaresma-8578.82
916374-Clara Alcantara-9075.09
930514-Spnia ou Sonia Guerreiro-6839.80
230524-Fulvio Villegas-1156.62
479896-Honorina Lira-2876.33
538051-Tarrataca Soares-13292.45
249888-Micaela Chavez-696.11
211892-Elisa Themes-18980.87
389186-Jorgina Bogalho-8296.65
740160-Antonio Viegas-14280.32
435301-Cassandra Varejo-1043.77
809886-Odete Vasques-1442.93
104508-Eurico Siqueira-8072.24
170248-Esperada Cardoso-8914.54
423445-Delfina Garcia de Gondim-11089.34
973596-Ximena Castilho-3589.88
80037-Liana Cardim-4992.38
215203-Zulmira Becerra-6594.50
679536-Guida Juca-913.56
895089-Judite Damasceno-12830.96
153151-Adelina Quadros-18315.31
292771-Cassandra Varejo-3358.57
457794-Angilica Galante-3124.78
602986-Micaela Chavez-7246.49
893724-Odilia Bello-8710.72
334253-Delfina Perdigon-17930.46
536002-Oliveira Senchez-21021.26
348513-Armindo Castalo-5258.57
248311-Telma Villalobos-3330.53
329011-Quintino Alcantara-1804.65
957917-Neuza Francia-15056.18
447217-Flamednia Leiria-8714.27
745989-Rebeca Neto-13328.85
268396-Marilda Leio-14264.88
761314-Flor Portella-12678.98
188286-Clara Alcantara-11447.48
603715-Ermelinda Quintela-2388.01
257491-Jussara Varanda-7671.49
877856-Lurdes Cotrim-3329.14
853998-Anind Zarco-19132.43
926077-Liana Cardim-4937.17
562097-Romo Paranage-4736.81
539240-Honorina Lira-19974.27
