111375-Taercio Mafra-21317.77
290615-Emiliana Foquio-13807.61
971967-Sara Lameiras-10824.96
852220-Filomena Barrios-16748.75
862150-Tabalipa Duarte-18160.49
826678-Ubaldo Mainha-13787.85
228417-Liana Cardim-8254.43
379769-Sara Lameiras-15580.62
388075-Antonio Castelo-18192.17
715509-Emedlio Pimentel-947.22
529032-Edgar Carvalheiro-13808.33
621326-Elisa Themes-8846.40
608412-Lurdes Cotrim-7561.28
855795-Neuza Francia-15009.81
835638-Angilica Galante-20188.43
938578-Marilda Leio-17791.86
912973-Delfina Garcia de Gondim-20214.14
429284-Anfnia Seixas-2823.10
419520-Joaquim Rufino-11856.98
72731-Elisa Themes-13364.14
341620-Tarrataca Soares-16489.43
387852-Micaela Chavez-3930.81
711186-Angilica Galante-6046.89
46499-Clara Alcantara-17735.45
773019-Tabalipa Duarte-14138.97
548726-Dulce Froes-3033.52
625690-Flor Portella-1057.81
661670-Danilo Olaio-16632.10
759680-Emedlia Silvera-19256.30
590932-Jorgina Bogalho-6352.19
143866-Honorina Lira-7155.60
46207-Regina Barcellos-34.65
588572-Nuno Balsemeo-20271.76
259280-Angilica Galante-14267.39
426902-Romo Paranage-20245.12
953590-Estanislau Beserra-13415.77
182374-Neeamia Arruda-7567.19
341670-Sidfnio Frois-10953.81
811248-Odete Vasques-17681.40
495535-Filomena Barrios-2992.48
593688-Regina Barcellos-10783.91
151091-Clarindo Areosa-11914.38
789072-Aludsio Sosa-15230.26
116042-Sofras Cuaresma-6818.02
20501-Ermelinda Quintela-1687.45
305383-Mercia Caeira-20026.99
458322-Tabalipa Duarte-15203.97
908643-Dulce Froes-7432.55
52928-Judite Damasceno-21010.67
859751-Anfnia Seixas-3370.79
885493-Dulce Froes-10826.72
988126-Armanda Amorim-16918.23
39149-Micaela Chavez-4101.29
782454-Zungela Ipiranga-21372.45
780891-Spnia ou Sonia Guerreiro-567.82
807480-Branco Saraba-20250.87
927299-Oliveira Carmona-19030.62
766039-Adelina Quadros-19439.70
985370-Delfim Higuera-16635.40
861324-Tabalipa Duarte-8399.16
501186-Telma Villalobos-1083.18
532469-Dulce Froes-1843.06
1381-Guida Juca-10713.45
12846-Angilica Galante-5016.44
342497-Mercia Caeira-20494.25
900884-Manuel Capiperibe-12967.48
190654-Rebeca Neto-17326.76
877828-Tibofarcio Camacho-19664.42
820428-Sidfnio Frois-9459.43
862407-Regina Barcellos-4393.21
466596-Neeamia Arruda-7458.22
775738-Sofras Cuaresma-7963.55
908221-Henrique Bento-17823.56
169469-Celeste Duarte-9318.85
191876-Emedlia Silvera-10742.28
995943-Rodolfo Paz-2306.45
403405-Danilo Olaio-4038.36
388936-Antonio Castelo-9667.14
861179-Mercia Caeira-5150.50
389415-Zungela Ipiranga-11499.13
