71462-Heleedsa Marins-12218.64
465132-Delfim Higuera-7192.92
292518-Lina Andrade-12745.88
550849-Tarrataca Soares-8045.37
968289-Heleedsa Marins-1541.89
245072-Honorina Lira-20423.17
232664-Tarrataca Soares-17027.60
562023-Romo Paranage-14213.88
958265-Silvio Mata-1611.87
680715-Clarindo Areosa-4508.16
273631-Melinda Roserio-8818.87
544632-Micaela Chavez-18043.53
938159-Andreia Moita-481.61
381772-Heleedsa Marins-17917.12
453013-Eurico Siqueira-13231.97
475162-Micaela Chavez-9979.58
376113-Odete Vasques-15061.91
61055-Nuno Balsemeo-9282.69
240589-Zulmira Becerra-15032.28
223527-Lurdes Cotrim-19739.08
97551-Estanislau Beserra-15706.98
351767-Heleedsa Marins-9277.59
898232-Quintiliano Sousa de Arronches-7792.14
549390-Angelica Aranha-3851.12
737639-Daniel Vieyra-4625.65
631131-Carminda Morais-13930.40
841496-Danilo Olaio-8459.33
327868-Lina Andrade-2845.10
201838-Angilica Galante-8797.51
778988-Clara Alcantara-14499.74
172102-Cassandra Varejo-5865.88
968993-Almerinda Palmeira-16589.40
118442-Flor Portella-10913.54
429319-Anfnia Seixas-1584.20
968825-Tabalipa Duarte-18121.58
221602-Romo Paranage-19117.89
432722-Tarrataca Soares-3521.47
351200-Jussara Varanda-9834.75
539060-Leonidas Mafra-9321.93
470919-Eurico Siqueira-3594.88
827494-Oliveira Carmona-18636.60
398766-Delfim Higuera-20316.29
729369-Armanda Amorim-5202.64
273813-Eurico Siqueira-16726.93
446574-Liana Cardim-8381.79
184315-Anfnia Seixas-14874.00
962197-Jonatas Felgueiras-3233.49
189038-Clarindo Areosa-9997.00
925893-Delfina Perdigon-1497.56
413351-Oliveira Senchez-14242.27
391291-Oliveira Senchez-3545.71
473617-Neuza Francia-6589.69
495744-Almor Caiado-11176.99
388609-Anfnia Seixas-3624.89
185249-Eurico Siqueira-9259.35
172360-Danilo Olaio-11231.20
948369-Emiliana Foquio-1995.98
387478-Taercio Mafra-11487.87
301201-Artur Grillo-21077.13
924082-Judite Damasceno-18086.43
518757-Tibofarcio Camacho-17015.51
806384-Flamednia Leiria-2255.41
723252-Melinda Roserio-11870.36
420507-Almerinda Palmeira-13824.25
811116-Marilda Leio-9701.27
896609-Telma Villalobos-17622.99
898587-Augusta Paio-13757.64
249774-Quintiliano Sousa de Arronches-1626.67
301368-Sofras Cuaresma-12539.69
108783-Ubaldo Mainha-12868.93
659289-Heleedsa Marins-6209.28
780380-Celeste Duarte-11197.34
387176-Ermelinda Quintela-5199.74
692692-Artur Grillo-14893.94
487095-Tibefarcio Colao-14057.22
216958-Quintino Alcantara-11071.35
582948-Ermelinda Quintela-20810.33
547263-Oliveira Senchez-3557.99
815293-Moaci Mendoa-12261.01
312930-Spnia ou Sonia Guerreiro-5467.26
453525-Nuno Balsemeo-18893.85
177427-Silvio Mata-13136.82
925548-Angelica Aranha-16260.69
226337-Sofras Cuaresma-17967.62
468403-Elisa Themes-407.65
836995-Telma Villalobos-15789.82
504473-Spnia ou Sonia Guerreiro-10920.82
968262-Letedcia Gago-9271.45
99489-Guida Juca-854.77
199355-Clara Alcantara-6747.90
708295-Ermelinda Quintela-2087.60
145065-Sofras Cuaresma-3889.37
316051-Jonatas Felgueiras-14408.63
977209-Odilia Bello-2566.05
549047-Sara Lameiras-3660.74
842680-Aludsio Sosa-5919.11
271071-Oliveira Carmona-5489.32
765510-Antonio Castelo-16129.00
59419-Feledcia Peassego-17989.99
454168-Adelino Barra-2137.15
91242-Esperada Cardoso-2914.23
113580-Jussara Varanda-5055.68
850617-Mercia Caeira-19758.84
656825-Neeamia Arruda-9273.78
224898-Daniel Vieyra-9969.27
74633-Daniel Vieyra-14427.70
906638-Heleedsa Marins-12245.57
336564-Tabalipa Duarte-2758.39
428027-Branco Saraba-10998.98
479968-Adelino Barra-6278.69
838021-Regina Barcellos-15539.60
955711-Cleusa Goes-14725.90
10466-Odilia Bello-16974.41
444186-Domingos Pas-17070.97
483207-Silvio Mata-11508.39
595932-Clarindo Areosa-694.30
619357-Dulce Froes-418.53
90659-Adelino Barra-127.06
461747-Flamednia Leiria-9091.34
348464-Joaquim Rufino-6691.30
950165-Jonatas Felgueiras-21149.68
491497-Tibefarcio Colao-11604.40
84822-Trajano Fagundes-3419.67
595246-Odilia Bello-11004.11
483628-Adelina Quadros-15448.94
299015-Manuel Capiperibe-20414.90
400438-Artur Grillo-10346.26
575322-Romo Paranage-12207.17
589175-Quintiliano Sousa de Arronches-20651.78
501418-Tibefarcio Colao-10720.43
798923-Regina Barcellos-6025.10
56579-Edgar Carvalheiro-9480.01
420672-Henrique Bento-4666.02
741817-Angelica Aranha-11341.98
160489-Branco Saraba-17306.81
450642-Armanda Amorim-11054.97
654204-Branco Saraba-7014.13
710519-Delfina Perdigon-17429.89
472501-Feledcia Peassego-2110.94
884531-Neeamia Arruda-15005.96
426575-Manuel Capiperibe-19443.95
453008-Andreia Moita-9489.68
919540-Nuno Balsemeo-21343.88
869342-Romo Paranage-7556.46
230248-Oliveira Carmona-6673.23
1817-Elisa Themes-8727.74
263629-Domingos Pas-14414.28
184099-Almerinda Palmeira-2676.55
821180-Heleedsa Marins-16591.27
636621-Moaci Mendoa-825.28
527942-Jussara Varanda-5019.55
412605-Delfim Higuera-7374.08
814810-Odete Vasques-19493.28
335733-Edgar Carvalheiro-1847.13
537915-Spnia ou Sonia Guerreiro-8389.43
454041-Edgar Carvalheiro-11619.45
866774-Emiliana Foquio-10477.25
692904-Judite Damasceno-15309.09
540458-Delfina Garcia de Gondim-16847.30
965907-Elisa Themes-14268.83
503374-Artur Grillo-18294.11
951781-Almerinda Palmeira-13473.40
367708-Sara Lameiras-9286.71
204531-Andreia Moita-10400.07
171363-Delfina Garcia de Gondim-6680.62
977751-Augusta Paio-15435.16
74335-Emedlio Pimentel-4768.99
598969-Aludsio Sosa-3171.08
778524-Andreia Moita-6596.48
601852-Rebeca Neto-17156.14
953486-Ubaldo Mainha-6906.34
776352-Branco Saraba-16765.86
490754-Jorgina Bogalho-13274.70
565289-Nuno Balsemeo-17776.74
836595-Judite Damasceno-16353.62
567623-Dulce Froes-15678.56
760190-Romo Paranage-3004.47
677927-Tarrataca Soares-14220.46
21283-Angilica Galante-9053.41
95088-Elisa Themes-4094.59
568667-Edgar Carvalheiro-169.29
486315-Micaela Chavez-2297.05
227932-Andreia Moita-17851.96
157385-Delfina Perdigon-1902.78
610407-Neuza Francia-20721.14
124913-Antonio Viegas-18271.98
154944-Spnia ou Sonia Guerreiro-6174.75
599978-Emiliana Foquio-16381.53
152919-Anfnia Seixas-21251.74
870579-Ermelinda Quintela-16157.85
202512-Almerinda Palmeira-15368.70
168444-Cassandra Varejo-15703.57
236509-Flor Portella-9161.01
290767-Letedcia Gago-5027.75
535748-Camila Gabeira-13703.85
142816-Jorgina Bogalho-20395.10
122426-Rebeca Neto-19061.81
65265-Sidfnio Frois-14472.98
53952-Odilia Camello-9799.67
383361-Almerinda Palmeira-11638.37
171698-Zulmira Becerra-15670.40
405153-Manuel Capiperibe-7327.25
343725-Anfnia Seixas-3374.78
478169-Filomena Barrios-17087.68
406478-Rodolfo Paz-1818.20
448896-Silvio Mata-16869.63
722102-Silvio Mata-13496.02
953581-Branco Saraba-16176.67
