409033-Taercio Mafra-1563.13
224478-Jonatas Felgueiras-7349.46
957509-Odilia Camello-2965.75
109413-Manuel Capiperibe-6685.84
427643-Emiliana Foquio-11569.03
289571-Tarrataca Soares-15090.77
614891-Almerinda Palmeira-3418.43
61030-Urbano Rodrigues-2512.92
987849-Letedcia Gago-20075.05
198125-Tarrataca Soares-14941.54
953110-Guida Juca-18895.63
872104-Rodolfo Paz-7113.04
996313-Ubaldo Mainha-5397.78
432838-Henrique Bento-15138.88
471652-Rebeca Neto-11068.32
525186-Artur Grillo-2926.38
208876-Esperada Cardoso-16442.52
109378-Oliveira Senchez-2228.30
594726-Neuza Francia-16728.18
264435-Artur Grillo-6545.32
136524-Taercio Mafra-14134.85
838025-Honorina Lira-768.74
485706-Clara Alcantara-8478.70
708001-Judite Damasceno-16053.03
30703-Elisa Themes-20977.74
256483-Sidfnio Frois-7748.16
559397-Quintino Alcantara-1345.41
221587-Almerinda Palmeira-18446.51
175662-Delfina Garcia de Gondim-5637.62
151682-Rebeca Neto-7680.26
798549-Tibefarcio Colao-1836.79
8943-Antonio Viegas-11145.17
40046-Feledcia Peassego-5.19
849368-Manuel Capiperibe-14332.27
62674-Emedlia Silvera-17862.58
623960-Ubaldo Mainha-690.31
306444-Romo Paranage-20855.90
757723-Adelina Quadros-17353.28
555177-Flor Portella-14170.20
170305-Oliveira Senchez-9906.88
317584-Dulce Froes-19504.87
466477-Armanda Amorim-18910.12
489087-Honorina Lira-15235.68
898081-Flor Portella-13879.34
609943-Eurico Siqueira-8505.13
612679-Carminda Morais-10181.37
947826-Guaraci Damasceno-359.60
824260-Augusta Paio-16957.18
351360-Gaudancio Fiees-19252.73
156556-Marilda Leio-2499.59
987932-Delfina Perdigon-16192.77
498363-Esperada Cardoso-10042.60
42228-Ximena Castilho-6292.65
105231-Quintiliano Sousa de Arronches-13421.63
395375-Edgar Carvalheiro-4532.90
459715-Zulmira Becerra-604.19
71086-Anfnia Seixas-9383.67
272534-Flamednia Leiria-10741.91
318349-Angilica Galante-1650.58
900547-Delfina Garcia de Gondim-9222.15
170810-Rodolfo Paz-19662.03
444039-Basilio Pedroso-13332.18
245529-Esperada Cardoso-1377.76
615327-Trajano Fagundes-5278.81
951856-Tibofarcio Camacho-17892.77
285088-Celeste Duarte-14132.53
788039-Polibe Olivares-16163.24
734448-Flor Portella-1891.13
914744-Odilia Camello-10144.31
884103-Leonidas Mafra-12143.32
812831-Delfim Higuera-17795.03
534864-Antonio Castelo-3654.63
516680-Cleusa Goes-10107.08
763718-Neuza Francia-9438.40
690411-Estanislau Beserra-15527.92
423055-Quintino Alcantara-15405.93
57976-Joaquim Rufino-19253.81
575704-Marilda Leio-5956.32
284149-Odilia Bello-13945.47
567374-Rodolfo Paz-19524.31
65584-Guida Juca-3717.60
766711-Leonidas Mafra-4192.95
718174-Gaudancio Fiees-9518.12
929498-Armindo Castalo-4510.92
538618-Tarrataca Soares-2592.99
424558-Andreia Moita-8297.22
79736-Lina Andrade-752.96
575240-Marilda Leio-10818.72
183604-Marilda Leio-6286.72
739528-Micaela Chavez-10282.40
627209-Zungela Ipiranga-10553.05
533809-Ximena Castilho-5285.88
903368-Oliveira Senchez-7813.06
981414-Polibe Olivares-19512.36
415980-Tarrataca Soares-2712.91
158921-Jonatas Felgueiras-18257.16
495326-Joaquim Rufino-15853.12
245938-Aludsio Sosa-11664.03
112501-Andreia Moita-7581.03
42464-Regina Barcellos-13748.43
