29976-Danilo Olaio-14222.44
845895-Guida Juca-5661.34
904705-Sara Lameiras-20208.85
277318-Branco Saraba-2681.36
818521-Eurico Siqueira-18911.03
572341-Rebeca Neto-5880.03
947152-Joaquim Rufino-10169.15
175136-Polibe Olivares-5015.46
690047-Manuel Capiperibe-13685.26
771766-Jussara Varanda-8658.47
381958-Elisa Themes-2823.93
630036-Gaudancio Fiees-8192.39
919784-Honorina Lira-19571.44
924919-Delfina Perdigon-5729.38
819488-Adelino Barra-5672.72
351128-Moaci Mendoa-20198.45
831108-Leonidas Mafra-3013.08
225960-Urbano Rodrigues-17324.83
971588-Lurdes Cotrim-3286.90
954050-Trajano Fagundes-12394.62
916505-Andreia Moita-16958.43
639390-Lina Andrade-18784.74
495888-Odilia Camello-9479.10
753291-Almor Caiado-13428.35
146321-Angilica Galante-15026.54
158574-Andreia Moita-655.22
173740-Jussara Varanda-18383.53
103898-Trajano Fagundes-17270.95
96846-Rebeca Neto-7255.83
132360-Sara Lameiras-20575.37
14805-Fulvio Villegas-12669.70
290511-Flamednia Leiria-19236.09
805371-Daniel Vieyra-2986.21
980444-Quintino Alcantara-5603.75
609400-Mercia Caeira-8295.21
510759-Ermelinda Quintela-8496.80
773216-Moaci Mendoa-12088.53
343923-Anind Zarco-7764.74
398017-Ermelinda Quintela-540.87
658248-Neeamia Arruda-4102.19
896384-Letedcia Gago-5632.34
978029-Emedlio Pimentel-7955.25
49573-Almor Caiado-19263.30
547150-Lurdes Cotrim-16178.27
879329-Trajano Fagundes-4429.52
381948-Guaraci Damasceno-11164.63
406137-Trajano Fagundes-13632.36
299356-Esperada Cardoso-14845.80
287564-Romo Paranage-10654.95
375053-Sofras Cuaresma-4346.69
515874-Taercio Mafra-8315.66
626532-Moaci Mendoa-18045.44
379120-Antonio Viegas-9371.10
236823-Zulmira Becerra-13246.57
985636-Telma Villalobos-150.52
255529-Tarrataca Soares-6584.34
721428-Letedcia Gago-11728.41
40722-Heleedsa Marins-12491.40
833660-Letedcia Gago-4669.44
229794-Moaci Mendoa-16993.19
845132-Antonio Castelo-5613.51
694478-Emiliana Foquio-4674.94
68345-Elisa Themes-11938.73
288455-Sara Lameiras-8916.26
851605-Manuel Capiperibe-1211.28
367195-Telma Villalobos-18593.84
862336-Jussara Varanda-5136.22
593894-Delfina Garcia de Gondim-15876.62
938495-Micaela Chavez-15630.12
261452-Angilica Galante-4937.58
770071-Cleusa Goes-9376.04
844382-Daniel Vieyra-13102.98
978768-Zulmira Becerra-2598.83
222802-Taercio Mafra-18601.71
639985-Rebeca Neto-12865.39
109648-Fulvio Villegas-11294.23
530090-Tibofarcio Camacho-3578.01
791097-Anind Zarco-3349.12
192025-Tarrataca Soares-3978.50
53142-Melinda Roserio-16121.12
233149-Cleusa Goes-1173.98
280626-Antonio Viegas-10402.42
822103-Trajano Fagundes-18902.21
236702-Sara Lameiras-14569.60
793948-Domingos Pas-10651.17
479479-Odilia Bello-7297.43
65176-Judite Damasceno-11092.73
272468-Dulce Froes-12290.64
658428-Almerinda Palmeira-1907.72
573069-Quintino Alcantara-6088.25
729833-Daniel Vieyra-20350.59
522909-Jussara Varanda-7358.56
97719-Andreia Moita-14736.78
71664-Anfnia Seixas-11474.31
733199-Zulmira Becerra-6487.41
450281-Eurico Siqueira-987.37
73753-Carminda Morais-13568.02
531360-Guida Juca-6415.91
384291-Adelino Barra-16882.49
87393-Ximena Castilho-17648.22
