224287-Anind Zarco-16905.71
759255-Marilda Leio-12278.11
870227-Urbano Rodrigues-17429.76
651941-Mercia Caeira-476.93
801567-Honorina Lira-17621.30
256494-Tibefarcio Colao-984.55
312901-Delfina Garcia de Gondim-3428.50
9435-Spnia ou Sonia Guerreiro-8328.22
669676-Filomena Barrios-8261.94
944427-Camila Gabeira-10333.21
558397-Emedlio Pimentel-15995.46
640057-Artur Grillo-2028.21
313520-Silvio Mata-13166.91
907916-Lina Andrade-10098.60
104884-Guida Juca-15616.61
802687-Quintino Alcantara-9544.34
367232-Emedlio Pimentel-7952.63
221460-Quintino Alcantara-11112.73
229499-Clarindo Areosa-6864.59
505693-Nuno Balsemeo-15824.03
560964-Aludsio Sosa-5354.78
703852-Trajano Fagundes-5541.18
658066-Anfnia Seixas-7264.31
104252-Nuno Balsemeo-13323.39
243612-Zulmira Becerra-11459.61
29713-Celeste Duarte-9402.80
271291-Urbano Rodrigues-12006.47
362827-Liana Cardim-10953.85
792557-Ximena Castilho-6961.31
416233-Augusta Paio-13816.36
361103-Domingos Pas-19921.97
367808-Almerinda Palmeira-20709.01
711953-Gaudancio Fiees-6980.76
747415-Jussara Varanda-17641.80
642485-Honorina Lira-10219.40
715084-Emedlia Silvera-2334.86
738057-Almor Caiado-16447.57
24305-Dulce Froes-13036.36
583264-Marilda Leio-429.45
117314-Emedlio Pimentel-8363.61
54529-Daniel Vieyra-4222.39
986012-Moaci Mendoa-4001.23
35466-Daniel Vieyra-9728.35
516413-Sidfnio Frois-13095.82
853120-Liana Cardim-2727.41
666823-Guida Juca-15714.56
760211-Rebeca Neto-18651.94
500514-Esperada Cardoso-19492.19
141898-Angelica Aranha-7873.18
913861-Liana Cardim-12134.36
838449-Augusta Paio-5150.06
476626-Edgar Carvalheiro-13749.92
532244-Judite Damasceno-525.44
663369-Estanislau Beserra-15690.61
490605-Lurdes Cotrim-8144.30
773916-Cassandra Varejo-10820.97
26664-Emedlia Silvera-11648.57
69196-Jonatas Felgueiras-1158.74
231634-Filomena Barrios-11780.16
855592-Trajano Fagundes-7524.46
357303-Oliveira Carmona-2208.01
581518-Carminda Morais-15752.78
445102-Dulce Froes-4443.26
143656-Angilica Galante-18209.90
940947-Aludsio Sosa-10269.97
479461-Cleusa Goes-12317.71
990633-Angilica Galante-5213.14
696168-Aludsio Sosa-5403.83
653077-Joaquim Rufino-4451.31
411919-Lina Andrade-2785.03
639064-Nuno Balsemeo-8768.60
356339-Letedcia Gago-5149.58
98810-Tarrataca Soares-17404.03
869241-Feledcia Peassego-12310.63
216749-Zungela Ipiranga-2965.20
994453-Daniel Vieyra-13570.00
385529-Augusta Paio-16889.90
150188-Almerinda Palmeira-10102.03
272592-Danilo Olaio-12698.56
927344-Flamednia Leiria-11077.84
544657-Manuel Capiperibe-17374.23
446627-Joaquim Rufino-15262.96
142584-Ximena Castilho-18493.95
681125-Henrique Bento-6117.80
209267-Henrique Bento-15299.97
250318-Armanda Amorim-11235.08
61843-Leonidas Mafra-4744.10
703210-Daniel Vieyra-7475.60
210912-Branco Saraba-20588.32
365639-Edgar Carvalheiro-12912.76
539334-Armanda Amorim-13448.21
56596-Domingos Pas-2927.84
48001-Antonio Castelo-18579.26
958650-Emiliana Foquio-421.24
932200-Letedcia Gago-9613.33
425950-Silvio Mata-13475.83
435714-Flamednia Leiria-2851.62
952125-Tarrataca Soares-4428.65
671350-Rebeca Neto-2135.92
762820-Micaela Chavez-424.74
