562291-Flor Portella-1917.70
381142-Spnia ou Sonia Guerreiro-12773.60
99143-Henrique Bento-12484.56
132570-Guida Juca-21032.26
926285-Tarrataca Soares-7906.77
192999-Gaudancio Fiees-13053.15
771932-Estanislau Beserra-10506.78
94717-Oliveira Senchez-1114.30
400963-Sidfnio Frois-10533.69
571847-Basilio Pedroso-1898.29
915855-Cassandra Varejo-16253.92
98599-Andreia Moita-3892.89
512738-Jussara Varanda-18773.88
471340-Gaudancio Fiees-21215.21
370988-Zungela Ipiranga-4249.64
999930-Odilia Bello-8111.57
981276-Ximena Castilho-20239.29
758715-Ubaldo Mainha-18115.40
298143-Adelina Quadros-19719.41
389627-Antonio Castelo-16400.29
781644-Manuel Capiperibe-6964.61
459816-Anind Zarco-3070.76
14473-Heleedsa Marins-10955.89
25181-Lina Andrade-14890.60
261627-Anind Zarco-9309.47
207979-Aludsio Sosa-20069.47
469703-Sofras Cuaresma-12414.45
409900-Emedlia Silvera-11947.20
780495-Guida Juca-15860.18
36347-Anind Zarco-899.24
121659-Delfina Garcia de Gondim-402.22
115073-Guida Juca-16286.82
397733-Angelica Aranha-18376.96
585134-Jonatas Felgueiras-19157.22
809846-Ubaldo Mainha-18185.00
998155-Basilio Pedroso-1892.24
343059-Moaci Mendoa-4806.94
132844-Sara Lameiras-15961.03
494931-Tibofarcio Camacho-14994.00
797579-Quintino Alcantara-12439.53
645340-Manuel Capiperibe-10195.91
954068-Artur Grillo-3042.22
338716-Estanislau Beserra-16346.20
828374-Gaudancio Fiees-4457.22
378031-Edgar Carvalheiro-10065.32
391378-Ximena Castilho-15945.30
868347-Micaela Chavez-8733.89
306565-Silvio Mata-8670.38
464748-Almor Caiado-12395.33
157391-Odete Vasques-18153.31
257769-Zulmira Becerra-20869.76
96583-Almerinda Palmeira-6034.47
133649-Tabalipa Duarte-19667.85
867089-Armindo Castalo-8301.30
354787-Edgar Carvalheiro-8300.24
342019-Leonidas Mafra-7499.32
553116-Flamednia Leiria-4493.17
974133-Quintiliano Sousa de Arronches-11696.23
498620-Tibofarcio Camacho-19580.88
939775-Emedlio Pimentel-1057.62
333946-Celeste Duarte-21450.20
835496-Oliveira Carmona-16736.32
559498-Urbano Rodrigues-3202.83
420039-Fulvio Villegas-20701.50
2252-Cleusa Goes-2490.21
632336-Emiliana Foquio-9703.63
792094-Ubaldo Mainha-1284.32
857289-Neeamia Arruda-3514.06
960767-Flamednia Leiria-10879.05
113810-Anind Zarco-16898.45
597646-Ubaldo Mainha-12536.95
90319-Branco Saraba-7990.47
29545-Tabalipa Duarte-6301.23
754042-Adelino Barra-2340.59
641239-Adelina Quadros-565.78
36463-Odete Vasques-11042.10
880150-Letedcia Gago-6765.19
40645-Quintiliano Sousa de Arronches-17943.76
824515-Branco Saraba-10298.53
729210-Sidfnio Frois-17699.67
395771-Heleedsa Marins-15350.81
81966-Antonio Viegas-2646.87
917083-Clara Alcantara-7097.17
551123-Cleusa Goes-5419.87
334824-Dulce Froes-5916.29
655677-Daniel Vieyra-16886.65
339348-Artur Grillo-2880.62
455305-Flor Portella-11341.02
977683-Trajano Fagundes-11014.43
921452-Adelina Quadros-6.89
710037-Letedcia Gago-850.84
226438-Elisa Themes-13521.66
273449-Angelica Aranha-11806.00
959623-Clara Alcantara-20381.51
704999-Polibe Olivares-17000.02
28182-Gaudancio Fiees-4151.74
561508-Moaci Mendoa-13015.14
129774-Sidfnio Frois-1924.85
73918-Basilio Pedroso-17344.63
387411-Antonio Castelo-5729.01
184063-Quintiliano Sousa de Arronches-5451.27
577872-Lurdes Cotrim-7573.54
659157-Delfina Garcia de Gondim-20086.27
457463-Odete Vasques-6341.03
243185-Telma Villalobos-11628.08
173914-Silvio Mata-15038.36
769760-Romo Paranage-6139.14
427227-Sara Lameiras-13170.44
703311-Cassandra Varejo-11126.34
938879-Anfnia Seixas-10305.38
863143-Spnia ou Sonia Guerreiro-6932.38
355520-Jussara Varanda-16358.16
530682-Odilia Camello-19754.75
822062-Armindo Castalo-2744.49
780785-Jorgina Bogalho-13696.92
741675-Delfina Garcia de Gondim-15578.66
393113-Antonio Viegas-3801.52
558095-Carminda Morais-2720.96
724631-Fulvio Villegas-2203.16
354051-Spnia ou Sonia Guerreiro-13262.54
884160-Tibofarcio Camacho-14431.18
57699-Cassandra Varejo-6559.89
584754-Andreia Moita-3170.36
255127-Judite Damasceno-16068.58
28441-Feledcia Peassego-1211.56
126046-Tarrataca Soares-18548.97
576126-Almerinda Palmeira-7808.07
940189-Filomena Barrios-3478.81
348008-Fulvio Villegas-7486.06
906205-Delfina Garcia de Gondim-15699.60
2192-Andreia Moita-12373.60
852736-Almor Caiado-2959.34
35708-Spnia ou Sonia Guerreiro-16505.19
693913-Romo Paranage-8672.91
317520-Artur Grillo-7278.35
633361-Odilia Camello-2474.78
331702-Zulmira Becerra-9300.54
182305-Carminda Morais-12419.94
128747-Nuno Balsemeo-3528.59
907045-Daniel Vieyra-15227.65
939725-Estanislau Beserra-14872.83
89930-Letedcia Gago-9396.52
745886-Quintiliano Sousa de Arronches-15156.88
438273-Delfina Garcia de Gondim-8958.98
505507-Celeste Duarte-15022.16
728373-Armanda Amorim-4093.66
364899-Rodolfo Paz-13226.97
808197-Tabalipa Duarte-3273.96
132716-Judite Damasceno-19905.25
579439-Quintino Alcantara-899.48
986064-Guaraci Damasceno-2468.88
269455-Honorina Lira-17569.78
487312-Basilio Pedroso-9812.40
740741-Taercio Mafra-3841.95
284870-Flor Portella-15727.00
180843-Jussara Varanda-3729.45
38355-Cassandra Varejo-7873.10
982588-Tibofarcio Camacho-14491.18
404676-Lurdes Cotrim-5587.67
201683-Polibe Olivares-10123.46
279813-Basilio Pedroso-848.49
641260-Esperada Cardoso-11611.18
171464-Guaraci Damasceno-2421.22
389780-Elisa Themes-11258.63
22826-Oliveira Carmona-3846.64
388122-Feledcia Peassego-8938.45
602677-Liana Cardim-7534.00
547249-Clarindo Areosa-8933.82
371440-Angilica Galante-4083.03
236701-Quintino Alcantara-17985.05
566429-Micaela Chavez-1443.01
783997-Liana Cardim-12279.42
979336-Moaci Mendoa-16941.14
931035-Augusta Paio-9110.20
77368-Ermelinda Quintela-19220.43
440194-Honorina Lira-19344.31
747888-Odete Vasques-13575.50
365347-Edgar Carvalheiro-15140.97
617122-Nuno Balsemeo-5839.85
635929-Filomena Barrios-5577.38
517559-Delfina Garcia de Gondim-15253.04
731724-Oliveira Senchez-15860.88
96936-Ermelinda Quintela-3495.84
67802-Edgar Carvalheiro-9445.15
417769-Joaquim Rufino-16075.92
